Gcc;Name
ALA;Alsa
ESB;ESAB
GSK;GSK
MSM;Mahou San Miguel
ZD1;Internal. Demo ZD1 - PRD
AMR;AmRest
ATR;Aptar
BMW;BMW
Z02;Internal. L&D
JET;Just Eat Takeaway
SIL;Sisal
NES;Nestle
CZB;Commerzbank
ALC;Alcon
REP;Repsol
SAM;Samsung
AON;Aon Corporation
BHI;Baker Hughes
SFY;Sanofi-Aventis
BNS;Scotiabank
RCH;Roche
MRT;Marriott
GFK;NielsenIQ/GFK
SRT;Sartorius
SOL;Solvay
AKN;AkzoNobel
DTV;DirecTv
ADT;Adevinta
BNG;Bunge
ETN;Eaton
FER;Ferrovial
MAE;Maersk
SGR;Siemens Gamesa Renewable Energy
DSM;DSM
SSB;State Street Bank
DEN;Dentsu
SWL;Swiss Life
ECL;Ecolab
SED;Sedgwick
DLX;Deluxe
ONE;OCEAN NETWORK EXPRESS
IIG;Inter IKEA Group
ASM;ASML
ARN;Arconic
BNY;Bank of New York Mellon
LEO;LEO Pharma
PRL;Polo Ralph Lauren
EPI;EUROAPI
IVE;Iveco
MAR;Marelli
INO;Inovyn
BAS;cleaHRsky BASF Corporation
IPI;International Paper
JSE;Johnson Electric
JNJ;Johnson and Johnson
LZA;Lonza
FCA;FrieslandCampina
HWM;Howmet Aerospace Inc.
PFC;Petrofac
COR;Corning
HUF;Huf
EAS;Empark Aparcamientos y Servicios
NCR;NCR
CIB;Canadian Imperial Bank of Commerce
ALQ;Air Liquide Limited
WEC;Westinghouse
CVX;Chevron
ENE;Eneco
COV;Covestro
RKT;Reckitt Benckiser
MMM;3M
AST;Astellas
EXY;Exyte
AMP;AMP
PRY;Prysmian
FLE;Flender
RLH;Resolution Life Holdings Inc
CTY;Coty (MyHRW)
JCC;JNTL Consumer
MPG;Manpower Group
ARI;Ariane Group
BAY;Bayer
LAN;Grupo Lantero
RAB;Rabobank
SIE;Siemens GP
VES;Vestas
THA;Thales
BSE;Bridgestone
ORE;Loreal
HCC;Healthcare Company
NVS;Novartis
ING;ING (MyHRW)
KPN;KPN
JUM;Jumbo
UNI;Unilever
AIT;AIG Time
NGA;NGA HR
SMN;Siemens Energy
TDS;TD Synnex Corporation
EXAMPLE;Use as date modeller
ZCS;ZCS
