GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
AKN,US001,U6,2024-11-27,2024-12-02,5,2024-12-06,2024-12-02
AKN,NL001,N0,2024-12-18,,,2024-12-20,2024-12-09
AKN,FR001,F1,2024-08-29,2024-09-16,18,2024-08-28,2024-08-14
AKN,FR001,F1,2024-09-27,2024-10-17,20,2024-09-26,2024-09-16
AKN,FR001,F1,2024-10-30,2024-11-15,16,2024-10-29,2024-10-17
AKN,FR001,F1,2024-11-28,2024-12-12,14,2024-11-27,2024-11-15
AKN,FR001,F1,2024-12-26,,,2024-12-24,2024-12-12
AKN,US001,U6,2024-10-23,2024-10-28,5,2024-11-01,2024-10-28
AKN,US001,U6,2024-10-30,2024-11-04,5,2024-11-08,2024-11-04
AKN,US001,U6,2024-12-18,2024-12-23,5,2024-12-27,2024-12-23
AKN,US001,U6,2024-11-20,2024-11-25,5,2024-11-29,2024-11-25
AKN,US001,U6,2024-12-11,2024-12-16,5,2024-12-20,2024-12-16
AKN,NL001,N0,2024-11-25,2024-12-09,14,2024-11-27,2024-11-14
AKN,US001,UM,2024-09-25,2024-10-18,23,2024-09-27,2024-09-20
AKN,US001,UM,2024-10-23,2024-11-20,28,2024-10-25,2024-10-18
AKN,US001,UM,2024-11-23,2024-12-18,25,2024-11-27,2024-11-20
AKN,US001,UM,2024-12-21,,,2024-12-27,2024-12-18
AKN,NL001,N0,2024-09-25,2024-10-15,20,2024-09-27,2024-09-16
AKN,NL001,N0,2024-10-24,2024-11-14,21,2024-10-28,2024-10-15
AKN,US001,U6,2024-08-07,2024-08-12,5,2024-08-16,2024-08-12
AKN,US001,U6,2024-10-02,2024-10-07,5,2024-10-11,2024-10-07
AKN,US001,U6,2024-07-31,2024-08-05,5,2024-08-09,2024-08-05
AKN,US001,U6,2024-08-14,2024-08-19,5,2024-08-23,2024-08-19
AKN,US001,U6,2024-08-21,2024-08-26,5,2024-08-30,2024-08-26
AKN,US001,U6,2024-08-28,2024-09-02,5,2024-09-06,2024-09-02
AKN,US001,U6,2024-07-17,2024-07-22,5,2024-07-26,2024-07-22
AKN,US001,U6,2024-07-24,2024-07-29,5,2024-08-02,2024-07-29
AKN,US001,U6,2024-09-04,2024-09-09,5,2024-09-13,2024-09-09
AKN,US001,U6,2024-09-11,2024-09-16,5,2024-09-20,2024-09-16
AKN,US001,U6,2024-09-18,2024-09-23,5,2024-09-27,2024-09-23
AKN,US001,U6,2024-11-13,2024-11-18,5,2024-11-22,2024-11-18
AKN,NL001,N0,2024-07-24,2024-08-16,23,2024-07-26,2024-07-17
AKN,NL001,N0,2024-08-23,2024-09-16,24,2024-08-27,2024-08-16
AKN,US001,UM,2024-07-24,2024-08-20,27,2024-07-26,2024-07-19
AKN,US001,UM,2024-08-23,2024-09-20,28,2024-08-27,2024-08-20
AKN,FR001,F1,2024-07-30,2024-08-14,15,2024-07-29,2024-07-17
AKN,US001,U6,2024-12-24,2024-12-27,3,,
AKN,US001,U6,2024-12-31,,,,
AKN,US001,U6,2024-12-04,2024-12-09,5,2024-12-13,2024-12-09
AKN,US001,U6,2024-10-16,2024-10-21,5,2024-10-25,2024-10-21
AKN,US001,U6,2024-09-25,2024-09-30,5,2024-10-04,2024-09-30
AKN,US001,U6,2024-10-09,2024-10-14,5,2024-10-18,2024-10-14
AKN,US001,U6,2024-12-25,2024-12-27,2,,
AKN,US001,U6,2024-11-06,2024-11-11,5,2024-11-15,2024-11-11
AKN,US001,U9,2024-07-27,2024-08-07,11,2024-07-31,2024-07-24
AKN,US001,U9,2024-08-24,2024-09-04,11,2024-08-30,2024-08-21
AKN,US001,U9,2024-09-07,2024-09-22,15,2024-09-13,2024-09-04
AKN,US001,U9,2024-10-10,2024-10-23,13,2024-10-15,2024-10-06
AKN,US001,U9,2024-10-26,2024-11-06,11,2024-10-31,2024-10-23
AKN,US001,U9,2024-11-23,2024-12-04,11,2024-11-29,2024-11-20
AKN,US001,U9,2024-12-07,2024-12-22,15,2024-12-13,2024-12-04
AKN,US001,U9,2024-08-10,2024-08-21,11,2024-08-15,2024-08-07
AKN,US001,U9,2024-09-26,2024-10-06,10,2024-09-30,2024-09-22
AKN,US001,U9,2024-11-09,2024-11-20,11,2024-11-15,2024-11-06
AKN,US001,U9,2024-12-27,,,2024-12-31,2024-12-22
