GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
AMR,HU001,HU,2024-10-08,2024-10-29,22,2024-11-07,2024-10-29
AMR,HU002,HU,2024-10-08,2024-10-29,22,2024-11-07,2024-10-29
AMR,HU003,HU,2024-10-08,2024-10-29,22,2024-11-07,2024-10-29
AMR,HU001,HU,2024-12-09,2024-12-31,23,2025-01-09,2024-12-31
AMR,HU002,HU,2024-12-09,2024-12-31,23,2025-01-09,2024-12-31
AMR,HU003,HU,2024-12-09,2024-12-31,23,2025-01-09,2024-12-31
AMR,HU001,HU,2025-01-09,,,,
AMR,HU002,HU,2025-01-09,,,,
AMR,HU003,HU,2025-01-09,,,,
AMR,HU001,HU,2024-09-09,2024-09-30,22,2024-10-08,2024-09-30
AMR,HU002,HU,2024-09-09,2024-09-30,22,2024-10-08,2024-09-30
AMR,HU003,HU,2024-09-09,2024-09-30,22,2024-10-08,2024-09-30
AMR,HU001,HU,2024-08-08,2024-08-30,23,2024-09-09,2024-08-30
AMR,HU002,HU,2024-08-08,2024-08-30,23,2024-09-09,2024-08-30
AMR,HU003,HU,2024-08-08,2024-08-30,23,2024-09-09,2024-08-30
AMR,HU001,HU,2024-11-07,2024-11-29,23,2024-12-09,2024-11-29
AMR,HU002,HU,2024-11-07,2024-11-29,23,2024-12-09,2024-11-29
AMR,HU003,HU,2024-11-07,2024-11-29,23,2024-12-09,2024-11-29
