GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
AON,MX001,M2,2024-08-17,2024-08-21,4,2024-08-30,2024-08-20
AON,MX001,M2,2024-10-02,2024-10-04,2,2024-10-15,2024-10-03
AON,MX001,M2,2024-11-20,2024-12-03,13,2024-11-29,2024-11-19
AON,MX001,M2,2025-01-01,,,2024-12-30,2024-12-17
AON,CO001,C7,2024-10-22,2024-11-01,10,2024-10-18,2024-10-02
AON,MX001,M2,2024-07-17,2024-07-19,3,2024-07-30,2024-07-19
AON,MX001,M2,2024-07-29,2024-08-07,9,2024-07-30,2024-07-19
AON,MX001,M2,2024-09-03,2024-09-04,1,2024-09-13,2024-09-03
AON,MX001,M2,2024-09-18,2024-09-19,1,2024-09-30,2024-09-18
AON,MX001,M2,2024-10-17,2024-10-19,2,2024-10-30,2024-10-18
AON,MX001,M2,2024-11-01,2024-11-06,5,2024-10-30,2024-10-18
AON,MX001,M2,2024-12-03,2024-12-18,15,2024-12-13,2024-12-02
AON,MX001,M2,2024-12-17,2024-12-18,1,2024-12-30,2024-12-17
AON,MX001,M4,2024-10-17,2024-10-19,2,2024-10-30,2024-10-18
AON,MX001,M4,2024-09-03,2024-09-04,1,2024-09-13,2024-09-03
AON,PE002,P4,2024-12-31,,,2024-12-27,2024-12-14
AON,PE003,P5,2024-12-31,,,2024-12-27,2024-12-14
AON,PE001,P3,2024-10-30,2024-11-16,17,2024-10-28,2024-10-16
AON,PE001,P3,2024-11-30,2024-12-14,14,2024-11-28,2024-11-16
AON,BR001,BA,2025-01-02,,,,
AON,VE001,V1,2024-07-31,2024-08-19,20,2024-07-29,2024-07-16
AON,VE001,V1,2024-10-01,2024-10-17,17,,
AON,VE001,V1,2024-11-01,2024-11-19,19,,
AON,VE001,V1,2024-12-27,,,2024-12-23,2024-12-11
AON,CO001,C3,2024-07-16,2024-08-15,30,2024-07-19,2024-07-04
AON,CO001,C3,2024-08-22,2024-09-05,15,2024-08-20,2024-08-14
AON,CO001,C3,2024-09-24,2024-10-02,9,2024-09-20,2024-09-05
AON,CO001,C3,2024-11-22,2024-12-05,14,2024-11-20,2024-11-01
AON,CO001,C3,2024-12-24,,,2024-12-20,2024-12-05
AON,CO001,C7,2024-08-22,2024-09-05,15,2024-08-20,2024-08-14
AON,CO001,C7,2024-09-24,2024-10-02,9,2024-09-20,2024-09-05
