GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
BAS,MX001,M2,2024-08-01,2024-08-08,8,,
BAS,DE001,D2,2024-11-04,2024-11-18,14,,
BAS,DE003,D2,2024-11-04,2024-11-18,14,,
BAS,DE001,D2,2024-11-29,2024-12-13,14,,
BAS,DE002,D2,2024-11-04,2024-11-18,14,,
BAS,DE002,D2,2024-11-29,2024-12-13,14,,
BAS,DE003,D2,2024-11-29,2024-12-13,14,,
BAS,MX001,M2,2024-07-17,2024-07-23,7,,
BAS,MX001,M2,2024-08-17,2024-08-23,7,,
BAS,MX001,M2,2024-09-03,2024-09-06,4,,
BAS,MX001,M2,2024-09-18,2024-09-23,6,,
BAS,MX001,M2,2024-10-17,2024-10-23,7,,
BAS,MX001,M2,2024-11-20,2024-11-22,3,,
BAS,MX001,M2,2024-12-03,2024-12-04,2,,
BAS,MX001,M2,2024-12-20,,,,
BAS,MX001,M2,2024-11-01,2024-11-08,8,,
BAS,MX001,M2,2024-12-14,,,,
BAS,MX001,M2,2024-10-03,2024-10-08,6,,
BAS,DE001,D2,2025-01-02,,,,
BAS,DE002,D2,2025-01-02,,,,
BAS,DE003,D2,2025-01-02,,,,
BAS,DE001,D2,2025-01-02,,,,
BAS,DE002,D2,2025-01-02,,,,
BAS,DE003,D2,2025-01-02,,,,
BAS,MX001,M1,2024-08-06,2024-08-06,1,,
BAS,MX001,M1,2024-08-13,2024-08-13,1,,
BAS,MX001,M1,2024-08-20,2024-08-20,1,,
BAS,MX001,M1,2024-07-16,2024-07-16,1,,
BAS,MX001,M1,2024-07-30,2024-07-30,1,,
BAS,DE001,D2,2024-07-31,2024-08-19,19,,
BAS,DE002,D2,2024-07-31,2024-08-19,19,,
BAS,DE003,D2,2024-07-31,2024-08-19,19,,
BAS,DE001,D2,2024-08-30,2024-09-17,18,,
BAS,DE002,D2,2024-08-30,2024-09-17,18,,
BAS,DE003,D2,2024-08-30,2024-09-17,18,,
BAS,DE001,D2,2024-09-30,2024-10-18,18,,
BAS,DE002,D2,2024-09-30,2024-10-18,18,,
BAS,DE003,D2,2024-09-30,2024-10-18,18,,
BAS,ES001,ES,2024-08-27,2024-09-20,24,,
BAS,ES002,ES,2024-08-27,2024-09-20,24,,
BAS,ES001,ES,2024-09-26,2024-10-22,26,,
BAS,ES002,ES,2024-09-26,2024-10-22,26,,
BAS,ES001,ES,2024-10-28,2024-11-20,23,,
BAS,ES002,ES,2024-10-28,2024-11-20,23,,
BAS,ES001,ES,2024-11-26,2024-12-17,21,,
BAS,ES002,ES,2024-11-26,2024-12-17,21,,
BAS,ES001,ES,2024-12-23,,,,
BAS,ES002,ES,2024-12-23,,,,
BAS,MX001,M1,2024-10-08,2024-10-08,1,,
BAS,MX001,M1,2024-10-15,2024-10-15,1,,
BAS,MX001,M1,2024-10-22,2024-10-22,1,,
BAS,MX001,M1,2024-10-29,2024-10-29,1,,
BAS,MX001,M1,2024-11-05,2024-11-05,1,,
BAS,MX001,M1,2024-11-12,2024-11-12,1,,
BAS,MX001,M1,2024-11-20,2024-11-26,7,,
BAS,MX001,M1,2024-12-03,2024-12-03,1,,
BAS,MX001,M1,2024-10-01,2024-10-08,8,,
BAS,MX001,M1,2024-12-14,2024-12-16,3,,
BAS,MX001,M1,2024-12-21,,,,
BAS,MX001,M1,2024-07-23,2024-07-23,1,,
BAS,MX001,M1,2024-08-27,2024-08-27,1,,
BAS,MX001,M1,2024-09-03,2024-09-03,1,,
BAS,MX001,M1,2024-09-18,2024-09-24,7,,
BAS,ES001,ES,2024-07-29,2024-08-21,23,,
BAS,ES002,ES,2024-07-29,2024-08-21,23,,
BAS,MX001,M1,2024-09-24,2024-09-24,1,,
BAS,MX001,M1,2024-11-26,2024-11-26,1,,
BAS,MX001,M1,2024-12-10,2024-12-10,1,,
BAS,MX001,M1,2024-12-18,,,,
BAS,MX001,M1,2024-09-10,2024-09-10,1,,
