GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
BHI,GBR01,GB,2024-10-20,2024-11-11,23,2024-10-18,2024-10-09
BHI,GBG01,G3,2024-08-21,2024-09-11,22,2024-08-20,2024-08-09
BHI,GBG01,GX,2024-10-20,2024-11-11,23,2024-10-18,2024-10-09
BHI,DEU01,D2,2024-12-20,,,2024-12-27,2024-12-10
BHI,GBG01,GU,2025-03-22,,,2025-03-20,2025-03-11
BHI,GBR01,GU,2025-03-22,,,2025-03-20,2025-03-11
BHI,GBG01,GX,2024-12-22,2025-01-09,19,2024-12-20,2024-12-11
BHI,VEN01,E3,2024-08-02,2024-08-16,14,2024-08-23,2024-08-16
BHI,VEN01,E3,2024-12-19,,,2024-12-10,2024-12-04
BHI,DEU01,D2,2024-07-24,2024-08-09,17,2024-07-29,2024-07-10
BHI,DEU01,D2,2024-08-23,2024-09-10,19,2024-08-28,2024-08-09
BHI,DEU01,D2,2024-09-23,2024-10-10,18,2024-09-26,2024-09-10
BHI,DEU01,D2,2024-10-23,2024-11-08,17,2024-10-28,2024-10-10
BHI,DEU01,D2,2024-11-22,2024-12-10,19,2024-11-27,2024-11-08
BHI,GBR01,GD,2024-08-21,2024-09-11,22,2024-08-20,2024-08-09
BHI,GBR01,GZ,2024-07-20,2024-08-09,21,2024-07-19,2024-07-10
BHI,GBG01,GZ,2024-08-22,2024-09-11,21,2024-08-20,2024-08-09
BHI,GBR01,GD,2024-11-22,2024-12-11,20,2024-11-20,2024-11-11
BHI,GBG01,GZ,2024-07-21,2024-08-09,20,2024-07-19,2024-07-10
BHI,GBR01,GZ,2024-08-21,2024-09-11,22,2024-08-20,2024-08-09
BHI,GBG01,GN,2025-02-22,2025-03-11,18,2025-02-20,2025-02-11
BHI,GBG01,G3,2024-09-21,2024-10-09,19,2024-09-20,2024-09-11
BHI,GBG01,GZ,2024-09-22,2024-10-09,18,2024-09-20,2024-09-11
BHI,GBR01,GZ,2024-09-21,2024-10-09,19,2024-09-20,2024-09-11
BHI,GBG01,GZ,2024-11-22,2024-12-11,20,2024-11-20,2024-11-11
BHI,GBR01,GZ,2024-11-22,2024-12-11,20,2024-11-20,2024-11-11
BHI,GBG01,GZ,2024-12-22,2025-01-09,19,2024-12-20,2024-12-11
BHI,GBR01,GZ,2024-12-22,2025-01-09,19,2024-12-20,2024-12-11
BHI,GBG01,GX,2025-01-22,2025-02-11,21,2025-01-20,2025-01-09
BHI,VEN01,E3,2024-12-03,2024-12-04,1,2024-12-10,2024-12-04
BHI,GBG01,GP,2024-07-20,2024-08-09,21,2024-07-19,2024-07-10
BHI,GBG01,GP,2024-08-21,2024-09-11,22,2024-08-20,2024-08-09
BHI,GBG01,GP,2024-11-22,2024-12-11,20,2024-11-20,2024-11-11
BHI,GBG01,GP,2025-01-22,2025-02-11,21,2025-01-20,2025-01-09
BHI,GBG01,GP,2025-03-22,,,2025-03-20,2025-03-11
BHI,GBG01,GV,2025-01-22,2025-02-11,21,2025-01-20,2025-01-09
BHI,GBG01,GV,2025-02-22,2025-03-11,18,2025-02-20,2025-02-11
BHI,VEN01,E3,2024-10-02,2024-10-17,15,2024-10-25,2024-10-17
BHI,GBG01,G3,2025-01-22,2025-02-11,21,2025-01-20,2025-01-09
BHI,GBG01,GX,2024-08-21,2024-09-11,22,2024-08-20,2024-08-09
BHI,GBG01,GX,2024-11-22,2024-12-11,20,2024-11-20,2024-11-11
BHI,ARG01,A2,2024-12-03,2024-12-04,2,2024-12-16,2024-12-04
BHI,GBG01,GS,2024-08-21,2024-09-11,22,2024-08-20,2024-08-09
BHI,GBG01,GS,2024-11-22,2024-12-11,20,2024-11-20,2024-11-11
BHI,GBG01,GS,2025-01-22,2025-02-11,21,2025-01-20,2025-01-09
BHI,GBR01,GB,2024-09-21,2024-10-09,19,2024-09-20,2024-09-11
BHI,GBG01,GZ,2024-10-20,2024-11-11,23,2024-10-18,2024-10-09
BHI,GBR01,GZ,2024-10-20,2024-11-11,23,2024-10-18,2024-10-09
BHI,GBG01,GZ,2025-01-22,2025-02-11,21,2025-01-20,2025-01-09
BHI,GBR01,GZ,2025-01-22,2025-02-11,21,2025-01-20,2025-01-09
BHI,GBG01,GZ,2025-02-22,2025-03-11,18,2025-02-20,2025-02-11
BHI,GBR01,GZ,2025-02-22,2025-03-11,18,2025-02-20,2025-02-11
