GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
CIB,AU001,AU,2024-09-16,2024-09-27,11,2024-09-12,2024-08-30
CIB,AU002,AU,2024-09-16,2024-09-27,11,2024-09-12,2024-08-30
CIB,AU001,AU,2024-08-16,2024-08-30,14,2024-08-13,2024-07-30
CIB,AU002,AU,2024-08-16,2024-08-30,14,2024-08-13,2024-07-30
CIB,AU001,AU,2024-11-15,2024-11-29,14,2024-11-13,2024-10-31
CIB,AU002,AU,2024-11-15,2024-11-29,14,2024-11-13,2024-10-31
CIB,AU001,AU,2024-12-16,,,2024-12-12,2024-11-29
CIB,AU002,AU,2024-12-16,,,2024-12-12,2024-11-29
CIB,JP001,JP,2024-07-23,2024-08-02,11,2024-07-19,2024-07-04
CIB,JP001,JP,2024-08-22,2024-09-05,15,2024-08-20,2024-08-02
CIB,SG001,SG,2024-09-25,2024-10-10,15,2024-09-24,2024-09-10
CIB,LU001,LU,2024-10-28,2024-11-05,8,2024-10-25,2024-10-08
CIB,HK001,HK,2024-07-25,2024-08-08,14,2024-07-25,2024-07-19
CIB,HK001,HK,2024-08-23,2024-09-06,14,2024-08-22,2024-08-08
CIB,HK001,HK,2024-09-23,2024-10-08,15,2024-09-20,2024-09-06
CIB,HK001,HK,2024-10-23,2024-11-11,19,2024-10-22,2024-10-08
CIB,HK001,HK,2024-11-25,2024-12-09,14,2024-11-22,2024-11-11
CIB,HK001,HK,2024-12-23,,,2024-12-20,2024-12-09
CIB,LU001,LU,2024-07-26,2024-08-06,11,2024-07-25,2024-07-08
CIB,LU001,LU,2024-08-26,2024-09-05,10,2024-08-23,2024-08-06
CIB,LU001,LU,2024-09-26,2024-10-08,12,2024-09-25,2024-09-05
CIB,LU001,LU,2024-11-26,2024-11-28,2,2024-11-25,2024-11-05
CIB,LU001,LU,2024-12-19,,,2024-12-18,2024-11-28
CIB,SG001,SG,2024-08-26,2024-09-10,15,2024-08-23,2024-08-07
CIB,JP001,JP,2024-10-22,2024-11-06,16,2024-10-18,2024-10-03
CIB,JP001,JP,2024-09-25,2024-10-03,9,2024-09-20,2024-09-05
CIB,JP001,JP,2024-11-22,2024-12-06,15,2024-11-20,2024-11-06
CIB,JP001,JP,2024-12-24,,,2024-12-20,2024-12-06
CIB,CO001,CO,2024-11-01,2024-11-21,20,2024-10-30,2024-10-22
CIB,CO002,CO,2024-11-01,2024-11-21,20,2024-10-30,2024-10-22
CIB,CO001,CO,2024-12-03,2024-12-12,9,2024-12-20,2024-12-12
CIB,CO002,CO,2024-12-03,2024-12-12,9,2024-12-20,2024-12-12
CIB,SG001,SG,2024-07-25,2024-08-07,13,2024-07-29,2024-07-19
CIB,CO001,CO,2024-08-01,2024-08-22,21,2024-07-30,2024-07-20
CIB,CO002,CO,2024-08-01,2024-08-22,21,2024-07-30,2024-07-20
CIB,CO001,CO,2024-09-03,2024-09-20,17,2024-09-30,2024-09-20
CIB,CO002,CO,2024-09-03,2024-09-20,17,2024-09-30,2024-09-20
CIB,SG001,SG,2024-11-25,2024-12-10,15,2024-11-22,2024-11-08
CIB,SG001,SG,2024-10-25,2024-11-08,14,2024-10-24,2024-10-10
CIB,SG001,SG,2024-12-26,,,2024-12-24,2024-12-10
CIB,AU001,AU,2024-07-31,2024-08-30,30,2024-07-30,2024-07-20
CIB,AU002,AU,2024-07-31,2024-08-30,30,2024-07-30,2024-07-20
CIB,AU001,AU,2024-10-15,2024-10-31,16,2024-10-13,2024-09-27
CIB,AU002,AU,2024-10-15,2024-10-31,16,2024-10-13,2024-09-27
CIB,CO001,CO,2024-10-02,2024-10-22,20,2024-10-30,2024-10-22
CIB,CO002,CO,2024-10-02,2024-10-22,20,2024-10-30,2024-10-22
CIB,CO001,CO,2024-12-24,,,2024-12-20,2024-12-12
CIB,CO002,CO,2024-12-24,,,2024-12-20,2024-12-12
CIB,KY001,KY,2024-07-25,2024-07-31,7,2024-07-23,2024-07-12
CIB,KY001,KY,2024-08-13,2024-08-14,2,2024-08-09,2024-07-31
CIB,KY001,KY,2024-08-27,2024-08-30,4,2024-08-23,2024-08-14
CIB,KY001,KY,2024-09-12,2024-09-12,1,2024-09-10,2024-08-30
CIB,KY001,KY,2024-09-25,2024-10-01,7,2024-09-23,2024-09-12
CIB,KY001,KY,2024-10-12,2024-10-12,1,2024-10-10,2024-10-01
CIB,KY001,KY,2024-10-25,2024-10-30,5,2024-10-23,2024-10-12
CIB,KY001,KY,2024-11-13,2024-11-29,16,2024-11-08,2024-10-30
CIB,KY001,KY,2024-11-26,2024-11-29,3,2024-11-22,2024-11-13
CIB,KY001,KY,2024-12-12,2024-12-14,2,2024-12-10,2024-11-29
CIB,KY001,KY,2024-12-31,,,2024-12-27,2024-12-14
