GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
CTY,GB345,G3,2024-07-30,2024-08-14,16,2024-07-26,2024-07-14
CTY,GB345,G3,2024-08-30,2024-09-17,19,2024-08-28,2024-08-14
CTY,GB345,G3,2024-12-21,2025-01-16,27,2024-12-19,2024-12-09
CTY,GB345,G3,2025-01-30,2025-02-18,20,2025-01-28,2025-01-16
CTY,GB345,G3,2025-03-04,2025-03-18,15,2025-03-28,2025-03-18
CTY,GB345,G3,2025-04-01,,,,
CTY,GB343,G1,2024-07-30,2024-08-14,16,2024-07-26,2024-07-14
CTY,GB343,G1,2024-10-30,2024-11-18,20,2024-10-28,2024-10-15
CTY,GB343,G1,2024-11-30,2024-12-09,10,2024-11-28,2024-11-18
CTY,GB343,G1,2024-12-21,2025-01-16,27,2024-12-19,2024-12-09
CTY,GB343,G1,2025-01-30,2025-02-18,20,2025-01-28,2025-01-16
CTY,GB343,G1,2024-08-30,2024-09-17,19,2024-08-28,2024-08-14
CTY,GB343,G1,2024-10-01,2024-10-16,16,2024-10-28,2024-10-15
CTY,GB343,G1,2025-03-04,2025-03-18,15,2025-03-28,2025-03-18
CTY,GB343,G1,2025-04-01,,,,
CTY,GB345,G3,2024-10-01,2024-10-16,16,2024-10-28,2024-10-15
CTY,GB345,G3,2024-10-30,2024-11-18,20,2024-10-28,2024-10-15
CTY,GB345,G3,2024-11-30,2024-12-09,10,2024-11-28,2024-11-18
CTY,GB050,G2,2024-10-30,2024-11-18,20,2024-10-28,2024-10-15
CTY,GB050,G2,2024-11-30,2024-12-09,10,2024-11-28,2024-11-18
CTY,GB050,G2,2024-12-21,2025-01-16,27,2024-12-19,2024-12-09
CTY,GB050,G2,2025-01-30,2025-02-18,20,2025-01-28,2025-01-16
CTY,GB050,G2,2025-03-04,2025-03-18,15,2025-03-28,2025-03-18
CTY,GB050,G2,2025-04-01,,,,
CTY,GB060,G4,2024-07-30,2024-08-14,16,2024-07-26,2024-07-14
CTY,GB060,G4,2024-08-30,2024-09-17,19,2024-08-28,2024-08-14
CTY,GB050,G2,2024-07-30,2024-08-14,16,2024-07-26,2024-07-14
CTY,GB050,G2,2024-08-30,2024-09-17,19,2024-08-28,2024-08-14
CTY,GB050,G2,2024-10-01,2024-10-16,16,2024-10-28,2024-10-15
CTY,GB060,G4,2024-10-01,2024-10-16,16,2024-10-28,2024-10-15
CTY,GB060,G4,2024-10-30,2024-11-18,20,2024-10-28,2024-10-15
CTY,GB060,G4,2024-12-21,2025-01-16,27,2024-12-19,2024-12-09
CTY,GB060,G4,2025-01-30,2025-02-18,20,2025-01-28,2025-01-16
CTY,GB060,G4,2025-04-01,,,,
CTY,GB060,G4,2024-11-30,2024-12-09,10,2024-11-28,2024-11-18
CTY,GB060,G4,2025-03-04,2025-03-18,15,2025-03-28,2025-03-18
CTY,MX001,M1,2024-07-17,2024-08-09,24,2024-07-15,2024-07-09
CTY,MX002,M1,2024-07-17,2024-08-09,24,2024-07-15,2024-07-09
CTY,MX003,M1,2024-07-17,2024-08-09,24,2024-07-15,2024-07-09
CTY,MX004,M1,2024-07-17,2024-08-09,24,2024-07-15,2024-07-09
CTY,MX005,M1,2024-07-17,2024-08-09,24,2024-07-15,2024-07-09
CTY,MX006,M1,2024-07-17,2024-08-09,24,2024-07-15,2024-07-09
CTY,MX001,M1,2024-12-17,,,2024-12-13,2024-12-06
CTY,MX002,M1,2024-12-17,,,2024-12-13,2024-12-06
CTY,MX003,M1,2024-12-17,,,2024-12-13,2024-12-06
CTY,MX004,M1,2024-12-17,,,2024-12-13,2024-12-06
CTY,MX005,M1,2024-12-17,,,2024-12-13,2024-12-06
CTY,MX006,M1,2024-12-17,,,2024-12-13,2024-12-06
CTY,MX001,M1,2024-08-17,2024-09-09,24,2024-08-15,2024-08-09
CTY,MX002,M1,2024-08-17,2024-09-09,24,2024-08-15,2024-08-09
CTY,MX003,M1,2024-08-17,2024-09-09,24,2024-08-15,2024-08-09
CTY,MX004,M1,2024-08-17,2024-09-09,24,2024-08-15,2024-08-09
CTY,MX005,M1,2024-08-17,2024-09-09,24,2024-08-15,2024-08-09
CTY,MX006,M1,2024-08-17,2024-09-09,24,2024-08-15,2024-08-09
CTY,MX001,M1,2024-09-18,2024-10-09,22,2024-09-12,2024-09-09
CTY,MX002,M1,2024-09-18,2024-10-09,22,2024-09-12,2024-09-09
CTY,MX003,M1,2024-09-18,2024-10-09,22,2024-09-12,2024-09-09
CTY,MX004,M1,2024-09-18,2024-10-09,22,2024-09-12,2024-09-09
CTY,MX005,M1,2024-09-18,2024-10-09,22,2024-09-12,2024-09-09
CTY,MX006,M1,2024-09-18,2024-10-09,22,2024-09-12,2024-09-09
CTY,MX001,M1,2024-10-17,2024-11-11,25,2024-10-15,2024-10-09
CTY,MX002,M1,2024-10-17,2024-11-11,25,2024-10-15,2024-10-09
CTY,MX003,M1,2024-10-17,2024-11-11,25,2024-10-15,2024-10-09
CTY,MX004,M1,2024-10-17,2024-11-11,25,2024-10-15,2024-10-09
CTY,MX005,M1,2024-10-17,2024-11-11,25,2024-10-15,2024-10-09
CTY,MX006,M1,2024-10-17,2024-11-11,25,2024-10-15,2024-10-09
CTY,MX001,M1,2024-11-20,2024-12-06,17,2024-11-14,2024-11-11
CTY,MX002,M1,2024-11-20,2024-12-06,17,2024-11-14,2024-11-11
CTY,MX003,M1,2024-11-20,2024-12-06,17,2024-11-14,2024-11-11
