GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
CZB,LU001,L1,2024-07-16,2024-08-02,17,2024-07-15,2024-07-02
CZB,LU003,L3,2024-07-16,2024-08-02,17,2024-07-15,2024-07-02
CZB,GB002,G2,2024-07-16,2024-08-01,17,2024-07-15,2024-06-30
CZB,GB002,G2,2024-08-16,2024-09-02,18,2024-08-15,2024-08-01
CZB,GB002,G2,2024-09-14,2024-10-01,18,2024-09-13,2024-09-01
CZB,GB002,G2,2024-10-16,2024-11-01,17,2024-10-15,2024-09-30
CZB,GB002,G2,2024-11-16,2024-12-02,17,2024-11-15,2024-11-01
CZB,GB002,G2,2024-12-14,2025-01-03,21,2024-12-13,2024-12-02
CZB,GB002,G2,2025-01-16,2025-02-03,19,2025-01-15,2025-01-03
CZB,GB002,G2,2025-02-15,2025-03-03,17,2025-02-14,2025-02-03
CZB,CZ001,CZ,2024-09-16,2024-10-07,21,2024-10-15,2024-10-06
CZB,CZ001,CZ,2024-12-16,2025-01-07,22,2025-01-15,2025-01-06
CZB,GB002,G2,2025-03-15,,,2025-03-14,2025-03-03
CZB,CN002,C2,2024-09-20,2024-10-09,20,2024-09-13,2024-09-05
CZB,CN002,C2,2024-10-18,2024-11-06,19,2024-10-15,2024-10-09
CZB,CN002,C2,2024-11-20,2024-12-05,16,2024-11-15,2024-11-06
CZB,PL001,P3,2024-07-31,2024-08-27,28,2024-07-31,2024-07-26
CZB,PL001,P3,2024-10-01,2024-10-28,27,2024-10-31,2024-10-28
CZB,PL001,P3,2024-11-04,2024-11-26,22,2024-11-30,2024-11-26
CZB,PL001,P3,2024-12-02,2024-12-24,22,2024-12-31,2024-12-24
CZB,PL001,P3,2025-01-02,,,,
CZB,GB001,G1,2024-08-16,2024-09-02,18,2024-08-15,2024-08-01
CZB,GB001,G1,2024-09-14,2024-10-01,18,2024-09-13,2024-09-01
CZB,GB001,G1,2024-11-16,2024-12-02,17,2024-11-15,2024-11-01
CZB,GB001,G1,2024-12-14,2025-01-03,21,2024-12-13,2024-12-02
CZB,GB001,G1,2025-03-15,,,2025-03-14,2025-03-03
CZB,NL001,N1,2024-07-22,2024-08-09,18,2024-07-19,2024-07-08
CZB,CH001,C5,2024-07-26,2024-08-07,12,2024-07-25,2024-07-09
CZB,CH001,C5,2024-08-24,2024-09-06,13,2024-08-23,2024-08-07
CZB,CH001,C5,2024-11-26,2024-11-27,1,2024-11-25,2024-11-06
CZB,CH001,C5,2024-12-14,,,2024-12-13,2024-11-27
CZB,LU003,L3,2024-08-16,2024-09-03,18,2024-08-14,2024-08-01
CZB,LU003,L3,2024-09-16,2024-10-03,17,2024-09-13,2024-09-02
CZB,LU003,L3,2024-10-16,2024-11-05,20,2024-10-15,2024-10-02
CZB,LU003,L3,2024-11-18,2024-12-03,15,2024-11-15,2024-11-04
CZB,LU003,L3,2024-12-16,,,2024-12-13,2024-12-02
CZB,JP001,J1,2024-08-29,2024-09-09,12,2024-08-23,2024-08-08
CZB,CN002,C2,2024-08-20,2024-09-05,17,2024-08-15,2024-08-07
CZB,CN001,C1,2024-08-20,2024-09-05,17,2024-08-15,2024-08-07
CZB,CN001,C1,2024-09-20,2024-10-09,20,2024-09-13,2024-09-05
CZB,CN001,C1,2024-10-18,2024-11-06,19,2024-10-15,2024-10-09
CZB,CN001,C1,2024-11-20,2024-12-05,16,2024-11-15,2024-11-06
CZB,CN001,C1,2024-12-18,,,2024-12-13,2024-12-05
CZB,CN002,C2,2024-07-18,2024-08-07,21,2024-07-15,2024-07-07
CZB,MY001,M1,2024-07-29,2024-08-11,14,2024-07-26,2024-07-14
CZB,SG001,S1,2024-07-16,2024-07-31,16,2024-07-15,2024-07-10
CZB,SG001,S1,2024-08-16,2024-08-30,15,2024-08-15,2024-07-31
CZB,SG001,S1,2024-10-16,2024-11-01,16,2024-10-15,2024-10-02
CZB,SG001,S1,2024-11-18,2024-11-29,12,2024-11-15,2024-11-01
CZB,GB001,G1,2024-10-16,2024-11-01,17,2024-10-15,2024-09-30
CZB,GB001,G1,2024-07-16,2024-08-01,17,2024-07-15,2024-06-30
CZB,GB001,G1,2025-01-16,2025-02-03,19,2025-01-15,2025-01-03
CZB,GB001,G1,2025-02-15,2025-03-03,17,2025-02-14,2025-02-03
CZB,PL001,P2,2024-09-11,2024-10-02,21,2024-10-10,2024-10-02
CZB,PL001,P2,2024-10-11,2024-11-04,24,2024-11-12,2024-11-04
CZB,PL001,P2,2024-11-13,2024-12-02,19,2024-12-10,2024-12-02
CZB,PL001,P2,2024-12-11,2025-01-02,22,2025-01-10,2025-01-02
CZB,CZ001,CZ,2024-07-16,2024-08-07,22,2024-08-15,2024-08-06
CZB,CZ001,CZ,2024-08-16,2024-09-05,20,2024-09-13,2024-09-04
CZB,CZ001,CZ,2024-10-16,2024-11-07,22,2024-11-15,2024-11-06
CZB,PL001,P1,2024-08-08,2024-08-30,23,2024-09-09,2024-08-30
CZB,PL001,P1,2024-11-08,2024-11-29,21,2024-12-09,2024-11-29
CZB,CZ001,CZ,2024-11-18,2024-12-05,17,2024-12-13,2024-12-04
CZB,CZ001,CZ,2025-01-16,,,,
CZB,MY001,M1,2024-08-27,2024-09-11,16,2024-08-26,2024-08-11
CZB,MY001,M1,2024-12-27,,,2024-12-26,2024-12-11
CZB,CN002,C2,2024-12-18,,,2024-12-13,2024-12-05
CZB,PL001,P2,2024-08-08,2024-09-02,26,2024-09-10,2024-09-02
CZB,PL001,P2,2025-01-13,,,,
CZB,SG001,S1,2024-09-16,2024-10-02,17,2024-09-13,2024-08-30
CZB,SG001,S1,2024-12-16,,,2024-12-13,2024-11-29
CZB,CN001,C1,2024-07-18,2024-08-07,21,2024-07-15,2024-07-07
CZB,CH001,C5,2024-09-26,2024-10-09,13,2024-09-25,2024-09-06
CZB,CH001,C5,2024-10-26,2024-11-06,11,2024-10-25,2024-10-09
CZB,MY001,M1,2024-09-27,2024-10-13,17,2024-09-26,2024-09-11
CZB,MY001,M1,2024-10-28,2024-11-13,17,2024-10-25,2024-10-13
CZB,JP001,J1,2024-10-30,2024-11-11,13,2024-10-25,2024-10-10
CZB,JP001,J1,2024-12-30,,,2024-12-25,2024-12-11
CZB,NL001,N1,2024-10-22,2024-11-11,20,2024-10-21,2024-10-08
