GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
DTV,PE010,PE,2024-09-27,2024-10-15,19,2024-09-25,2024-09-13
DTV,PE010,PE,2024-10-29,2024-11-13,16,2024-10-25,2024-10-15
DTV,PE010,PE,2024-12-27,,,2024-12-25,2024-12-13
DTV,PE010,PE,2024-07-27,2024-08-14,19,2024-07-25,2024-07-15
DTV,PE010,PE,2024-08-27,2024-09-13,18,2024-08-23,2024-08-14
DTV,UY001,UY,2025-01-04,,,,
DTV,PE010,PE,2024-11-27,2024-12-13,17,2024-11-25,2024-11-13
DTV,UY001,UY,2024-09-04,2024-09-17,14,2024-10-01,2024-09-17
DTV,UY001,UY,2024-10-03,2024-10-18,16,2024-11-01,2024-10-18
DTV,UY001,UY,2024-08-03,2024-08-20,17,2024-09-02,2024-08-20
DTV,UY001,UY,2024-11-05,2024-11-18,14,2024-12-02,2024-11-18
DTV,UY001,UY,2024-12-04,2024-12-16,13,2025-01-02,2024-12-16
