GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
EAS,PT001,P3,2025-01-01,,,,
EAS,PT001,P2,2025-01-01,,,,
EAS,PT001,P2,2024-08-30,2024-09-14,15,2024-08-29,2024-08-19
EAS,PT001,P2,2024-11-29,2024-12-17,18,2024-11-28,2024-11-15
EAS,PT001,P2,2024-12-31,,,2024-12-30,2024-12-16
EAS,PT001,P2,2024-09-27,2024-10-18,21,2024-09-26,2024-09-13
EAS,PT001,P2,2024-10-31,2024-11-16,16,2024-10-30,2024-10-17
EAS,ES001,E3,2024-09-30,2024-10-18,18,2024-09-29,2024-09-18
EAS,ES001,E1,2025-01-01,,,,
EAS,PT001,P3,2024-08-30,2024-09-14,15,2024-08-29,2024-08-19
EAS,PT001,P3,2024-09-27,2024-10-18,21,2024-09-26,2024-09-13
EAS,PT001,P3,2024-11-29,2024-12-17,18,2024-11-28,2024-11-15
EAS,ES001,E2,2024-07-30,2024-08-19,20,2024-07-31,2024-07-15
EAS,ES001,E2,2024-10-31,2024-11-19,19,2024-10-30,2024-10-18
EAS,ES001,E2,2025-01-01,,,,
EAS,ES001,E1,2024-07-30,2024-08-20,21,2024-07-30,2024-07-15
EAS,ES001,E1,2024-09-02,2024-09-18,16,2024-09-29,2024-09-18
EAS,ES001,E1,2024-09-30,2024-10-18,18,2024-09-29,2024-09-18
EAS,ES001,E1,2024-10-31,2024-11-19,19,2024-10-30,2024-10-18
EAS,ES001,E1,2024-12-02,2024-12-17,15,2024-12-30,2024-12-17
EAS,ES001,E1,2025-01-01,,,,
EAS,ES001,E3,2024-07-30,2024-08-20,21,2024-07-30,2024-07-15
EAS,ES001,E3,2024-10-31,2024-11-19,19,2024-10-30,2024-10-18
EAS,ES001,E3,2025-01-01,,,,
EAS,PT001,P2,2024-07-31,2024-08-20,20,2024-07-30,2024-07-17
EAS,PT001,P1,2025-01-01,,,,
EAS,PT001,P1,2024-07-31,2024-08-20,20,2024-07-30,2024-07-17
EAS,PT001,P1,2024-09-27,2024-10-18,21,2024-09-26,2024-09-13
EAS,PT001,P1,2024-10-31,2024-11-16,16,2024-10-30,2024-10-17
EAS,ES001,E3,2025-01-01,,,,
EAS,PT001,P3,2024-10-31,2024-11-16,16,2024-10-30,2024-10-17
EAS,PT001,P1,2024-08-30,2024-09-14,15,2024-08-29,2024-08-19
EAS,PT001,P1,2024-11-29,2024-12-17,18,2024-11-28,2024-11-15
EAS,PT001,P1,2024-12-31,,,2024-12-30,2024-12-16
EAS,PT001,P3,2024-07-31,2024-08-20,20,2024-07-30,2024-07-17
EAS,PT001,P3,2024-12-31,,,2024-12-30,2024-12-16
EAS,ES001,E3,2024-09-02,2024-09-18,16,2024-09-29,2024-09-18
EAS,ES001,E3,2024-12-02,2024-12-17,15,2024-12-30,2024-12-17
EAS,ES001,E2,2024-12-02,2024-12-17,15,2024-12-30,2024-12-17
EAS,ES001,E2,2024-08-30,2024-09-17,18,2024-08-29,2024-08-19
EAS,ES001,E2,2024-09-30,2024-10-18,18,2024-09-27,2024-09-17
EAS,ES001,E2,2025-01-01,,,,
