GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
EPI,FR001,F1,2024-08-28,2024-09-12,15,2024-08-28,2024-08-11
EPI,FR002,F0,2024-08-28,2024-09-12,15,2024-08-28,2024-08-11
EPI,FR002,F0,2024-12-27,,,2024-12-27,2024-12-08
EPI,IT001,I0,2024-10-25,2024-11-14,20,2024-10-24,2024-10-14
EPI,GB001,G1,2024-07-27,2024-08-13,18,2024-07-25,2024-07-14
EPI,GB001,G1,2024-12-18,2025-01-14,28,2024-12-16,2024-12-04
EPI,GB001,G1,2025-02-27,2025-03-13,15,2025-02-25,2025-02-13
EPI,IT001,I0,2024-09-27,2024-10-14,17,2024-09-26,2024-09-16
EPI,FR001,99,2024-12-27,,,2024-12-27,2024-12-08
EPI,FR002,99,2024-12-27,,,2024-12-27,2024-12-08
EPI,FR002,F0,2024-11-27,2024-12-09,12,2024-11-27,2024-11-12
EPI,FR002,F0,2024-07-29,2024-08-12,14,2024-07-29,2024-07-14
EPI,IT001,I0,2024-11-27,2024-12-09,12,2024-11-26,2024-11-14
EPI,GB001,G1,2024-08-28,2024-09-13,17,2024-08-23,2024-08-12
EPI,GB001,G1,2024-09-27,2024-10-15,19,2024-09-25,2024-09-12
EPI,GB001,G1,2024-10-29,2024-11-13,16,2024-10-25,2024-10-14
EPI,GB001,G1,2024-11-27,2024-12-04,8,2024-11-25,2024-11-13
EPI,GB001,G1,2025-01-28,2025-02-13,17,2025-01-24,2025-01-14
EPI,GB001,G1,2025-03-27,,,2025-03-25,2025-03-13
EPI,FR001,99,2024-09-26,2024-10-15,19,2024-09-26,2024-09-11
EPI,FR002,99,2024-09-26,2024-10-15,19,2024-09-26,2024-09-11
EPI,FR001,F1,2024-07-29,2024-08-12,14,2024-07-29,2024-07-14
EPI,FR001,F1,2024-09-26,2024-10-15,19,2024-09-26,2024-09-11
EPI,FR001,F1,2024-11-27,2024-12-09,12,2024-11-27,2024-11-12
EPI,FR001,F1,2024-12-27,,,2024-12-27,2024-12-08
EPI,FR001,99,2024-07-29,2024-08-12,14,2024-07-29,2024-07-14
EPI,FR002,99,2024-07-29,2024-08-12,14,2024-07-29,2024-07-14
EPI,FR001,99,2024-08-28,2024-09-12,15,2024-08-28,2024-08-11
EPI,FR002,99,2024-08-28,2024-09-12,15,2024-08-28,2024-08-11
EPI,FR001,99,2024-11-27,2024-12-09,12,2024-11-27,2024-11-12
EPI,FR002,99,2024-11-27,2024-12-09,12,2024-11-27,2024-11-12
EPI,FR002,F0,2024-09-26,2024-10-15,19,2024-09-26,2024-09-11
EPI,FR002,F0,2024-10-29,2024-11-13,15,2024-10-29,2024-10-14
EPI,FR001,99,2024-10-29,2024-11-13,15,2024-10-29,2024-10-14
EPI,FR002,99,2024-10-29,2024-11-13,15,2024-10-29,2024-10-14
EPI,FR001,F1,2024-10-29,2024-11-13,15,2024-10-29,2024-10-14
EPI,IT001,I0,2024-07-26,2024-08-13,18,2024-07-25,2024-07-15
EPI,IT001,I0,2024-12-20,,,2024-12-19,2024-12-09
EPI,IT001,I0,2024-08-27,2024-09-16,20,2024-08-26,2024-08-13
EPI,HU001,H1,2024-12-10,2024-12-19,9,2025-01-10,2024-12-19
EPI,HU001,H1,2024-09-10,2024-09-25,15,2024-10-10,2024-09-25
EPI,HU001,H1,2024-10-08,2024-10-25,17,2024-11-08,2024-10-25
EPI,HU001,H1,2024-08-08,2024-08-28,20,2024-09-10,2024-08-28
EPI,HU001,H1,2024-11-08,2024-11-27,19,2024-12-10,2024-11-27
EPI,HU001,H1,2025-01-08,,,,
