GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
ETN,TR001,01,2024-08-06,2024-08-26,20,2024-09-05,2024-08-26
ETN,TR001,01,2024-09-06,2024-09-25,19,2024-10-05,2024-09-25
ETN,TR001,01,2024-10-07,2024-10-24,17,2024-11-05,2024-10-24
ETN,TR001,01,2024-11-06,2024-11-26,20,2024-12-05,2024-11-26
ETN,TR001,01,2024-12-06,2024-12-26,20,2025-01-04,2024-12-26
ETN,TR001,01,2025-01-06,,,,
ETN,DE010,D2,2024-07-29,2024-08-13,15,2024-07-26,2024-07-16
ETN,DE010,D2,2024-08-28,2024-09-13,16,2024-08-27,2024-08-13
ETN,DE010,D2,2024-10-29,2024-11-14,16,2024-10-28,2024-10-15
ETN,DE010,D2,2024-11-27,2024-12-11,14,2024-11-26,2024-11-14
ETN,DE010,D2,2024-09-26,2024-10-15,19,2024-09-25,2024-09-13
ETN,DE010,D2,2024-12-27,,,2024-12-23,2024-12-11
ETN,DE001,DX,2024-08-02,2024-08-23,21,2024-08-01,2024-07-24
ETN,DE010,DX,2024-08-02,2024-08-23,21,2024-08-01,2024-07-24
ETN,DE001,DX,2024-11-05,2024-11-22,17,2024-11-04,2024-10-24
ETN,DE010,DX,2024-11-05,2024-11-22,17,2024-11-04,2024-10-24
ETN,DE001,D3,2024-07-26,2024-08-08,13,2024-07-25,2024-07-14
ETN,DE002,D3,2024-07-26,2024-08-08,13,2024-07-25,2024-07-14
ETN,DE003,D3,2024-07-26,2024-08-08,13,2024-07-25,2024-07-14
ETN,DE004,D3,2024-07-26,2024-08-08,13,2024-07-25,2024-07-14
ETN,DE005,D3,2024-07-26,2024-08-08,13,2024-07-25,2024-07-14
ETN,DE006,D3,2024-07-26,2024-08-08,13,2024-07-25,2024-07-14
ETN,DE007,D3,2024-07-26,2024-08-08,13,2024-07-25,2024-07-14
ETN,DE008,D3,2024-07-26,2024-08-08,13,2024-07-25,2024-07-14
ETN,DE009,D3,2024-07-26,2024-08-08,13,2024-07-25,2024-07-14
ETN,DE010,D3,2024-07-26,2024-08-08,13,2024-07-25,2024-07-14
ETN,DE011,D3,2024-07-26,2024-08-08,13,2024-07-25,2024-07-14
ETN,DE001,D3,2024-08-26,2024-09-13,18,2024-08-23,2024-08-07
ETN,DE002,D3,2024-08-26,2024-09-13,18,2024-08-23,2024-08-07
ETN,DE003,D3,2024-08-26,2024-09-13,18,2024-08-23,2024-08-07
ETN,DE004,D3,2024-08-26,2024-09-13,18,2024-08-23,2024-08-07
ETN,DE005,D3,2024-08-26,2024-09-13,18,2024-08-23,2024-08-07
ETN,DE006,D3,2024-08-26,2024-09-13,18,2024-08-23,2024-08-07
ETN,DE007,D3,2024-08-26,2024-09-13,18,2024-08-23,2024-08-07
ETN,DE008,D3,2024-08-26,2024-09-13,18,2024-08-23,2024-08-07
ETN,DE009,D3,2024-08-26,2024-09-13,18,2024-08-23,2024-08-07
ETN,DE010,D3,2024-08-26,2024-09-13,18,2024-08-23,2024-08-07
ETN,DE011,D3,2024-08-26,2024-09-13,18,2024-08-23,2024-08-07
ETN,DE001,D3,2024-09-26,2024-10-14,18,2024-09-25,2024-09-12
ETN,DE002,D3,2024-09-26,2024-10-14,18,2024-09-25,2024-09-12
ETN,DE003,D3,2024-09-26,2024-10-14,18,2024-09-25,2024-09-12
ETN,DE004,D3,2024-09-26,2024-10-14,18,2024-09-25,2024-09-12
ETN,DE005,D3,2024-09-26,2024-10-14,18,2024-09-25,2024-09-12
ETN,DE006,D3,2024-09-26,2024-10-14,18,2024-09-25,2024-09-12
ETN,DE007,D3,2024-09-26,2024-10-14,18,2024-09-25,2024-09-12
ETN,DE008,D3,2024-09-26,2024-10-14,18,2024-09-25,2024-09-12
ETN,DE009,D3,2024-09-26,2024-10-14,18,2024-09-25,2024-09-12
ETN,DE010,D3,2024-09-26,2024-10-14,18,2024-09-25,2024-09-12
ETN,DE011,D3,2024-09-26,2024-10-14,18,2024-09-25,2024-09-12
ETN,DE001,D3,2024-10-28,2024-11-13,16,2024-10-25,2024-10-13
ETN,DE002,D3,2024-10-28,2024-11-13,16,2024-10-25,2024-10-13
ETN,DE003,D3,2024-10-28,2024-11-13,16,2024-10-25,2024-10-13
ETN,DE004,D3,2024-10-28,2024-11-13,16,2024-10-25,2024-10-13
ETN,DE005,D3,2024-10-28,2024-11-13,16,2024-10-25,2024-10-13
ETN,DE006,D3,2024-10-28,2024-11-13,16,2024-10-25,2024-10-13
ETN,DE007,D3,2024-10-28,2024-11-13,16,2024-10-25,2024-10-13
ETN,DE008,D3,2024-10-28,2024-11-13,16,2024-10-25,2024-10-13
ETN,DE009,D3,2024-10-28,2024-11-13,16,2024-10-25,2024-10-13
ETN,DE010,D3,2024-10-28,2024-11-13,16,2024-10-25,2024-10-13
ETN,DE011,D3,2024-10-28,2024-11-13,16,2024-10-25,2024-10-13
ETN,DE001,D3,2024-11-26,2024-12-10,14,2024-11-25,2024-11-12
ETN,DE002,D3,2024-11-26,2024-12-10,14,2024-11-25,2024-11-12
ETN,DE003,D3,2024-11-26,2024-12-10,14,2024-11-25,2024-11-12
ETN,DE004,D3,2024-11-26,2024-12-10,14,2024-11-25,2024-11-12
ETN,DE005,D3,2024-11-26,2024-12-10,14,2024-11-25,2024-11-12
