GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
HUF,CN003,C3,2024-08-19,2024-09-09,22,2024-08-16,2024-08-11
HUF,IN001,IN,2024-08-01,2024-08-20,19,2024-08-30,2024-08-20
HUF,IN001,IN,2024-09-02,2024-09-19,17,2024-09-30,2024-09-19
HUF,IN001,IN,2024-10-31,2024-11-20,20,2024-10-30,2024-10-21
HUF,IN001,IN,2024-12-02,2024-12-19,17,2024-12-30,2024-12-19
HUF,CN001,C1,2024-07-16,2024-08-08,24,2024-07-15,2024-07-09
HUF,CN001,C1,2024-08-16,2024-09-09,25,2024-08-15,2024-08-08
HUF,CN001,C1,2024-10-16,2024-11-10,25,2024-10-15,2024-10-08
HUF,CN001,C1,2024-11-18,2024-12-08,21,2024-11-15,2024-11-10
HUF,CN002,C2,2024-07-19,2024-08-11,24,2024-07-18,2024-07-11
HUF,CN002,C2,2024-08-19,2024-09-09,22,2024-08-16,2024-08-11
HUF,CN002,C2,2024-11-19,2024-12-11,23,2024-11-18,2024-11-11
HUF,CN003,C3,2024-09-19,2024-10-13,25,2024-09-18,2024-09-09
HUF,CN003,C3,2024-10-21,2024-11-11,21,2024-10-18,2024-10-13
HUF,CN003,C3,2024-12-19,,,2024-12-18,2024-12-11
HUF,CN004,C4,2024-07-19,2024-08-11,24,2024-07-18,2024-07-11
HUF,CN004,C4,2024-10-21,2024-11-11,21,2024-10-18,2024-10-13
HUF,CN004,C4,2024-11-19,2024-12-11,23,2024-11-18,2024-11-11
HUF,MX001,MX,2024-09-19,2024-10-05,17,2024-09-13,2024-09-05
HUF,MX002,MX,2024-09-19,2024-10-05,17,2024-09-13,2024-09-05
HUF,MX001,MX,2024-11-21,2024-12-05,15,2024-11-15,2024-11-05
HUF,PT001,P1,2024-08-27,2024-09-12,16,2024-08-23,2024-08-11
HUF,PT001,P1,2024-11-27,2024-12-12,15,2024-11-25,2024-11-12
HUF,MX002,MX,2024-11-21,2024-12-05,15,2024-11-15,2024-11-05
HUF,CN004,C4,2024-08-19,2024-09-09,22,2024-08-16,2024-08-11
HUF,CN004,C4,2024-09-19,2024-10-13,25,2024-09-18,2024-09-09
HUF,CN004,C4,2024-12-19,,,2024-12-18,2024-12-11
HUF,MX001,MS,2024-09-27,2024-09-30,4,2024-10-04,2024-09-30
HUF,MX002,MS,2024-09-27,2024-09-30,4,2024-10-04,2024-09-30
HUF,BR001,BA,2024-10-29,2024-11-21,24,2024-10-30,2024-10-22
HUF,MX001,MS,2024-08-16,2024-08-19,4,2024-08-23,2024-08-19
HUF,MX002,MS,2024-08-16,2024-08-19,4,2024-08-23,2024-08-19
HUF,MX001,MS,2024-08-23,2024-08-26,4,2024-08-30,2024-08-26
HUF,MX002,MS,2024-08-23,2024-08-26,4,2024-08-30,2024-08-26
HUF,MX001,MS,2024-12-06,2024-12-09,4,2024-12-13,2024-12-09
HUF,MX002,MS,2024-12-06,2024-12-09,4,2024-12-13,2024-12-09
HUF,MX001,MS,2024-12-13,2024-12-16,4,2024-12-20,2024-12-16
HUF,MX002,MS,2024-12-13,2024-12-16,4,2024-12-20,2024-12-16
HUF,MX001,MS,2024-11-15,2024-11-18,4,2024-11-22,2024-11-18
HUF,MX002,MS,2024-11-15,2024-11-18,4,2024-11-22,2024-11-18
HUF,BR001,BA,2024-09-27,2024-10-22,26,2024-09-30,2024-09-20
HUF,BR001,BA,2024-11-28,2024-12-16,19,2024-11-29,2024-11-21
HUF,BR001,BA,2024-12-24,,,2024-12-30,2024-12-16
HUF,MX001,MS,2024-11-29,2024-12-02,4,2024-12-06,2024-12-02
HUF,MX002,MS,2024-11-29,2024-12-02,4,2024-12-06,2024-12-02
HUF,MX001,MS,2024-12-27,2024-12-30,4,2024-12-27,2024-12-30
HUF,MX002,MS,2024-12-27,2024-12-30,4,2024-12-27,2024-12-30
HUF,MX001,MS,2024-12-27,2024-12-30,4,2024-12-27,2024-12-30
HUF,MX002,MS,2024-12-27,2024-12-30,4,2024-12-27,2024-12-30
HUF,MX001,MX,2024-07-18,2024-08-05,19,2024-07-12,2024-07-05
HUF,MX002,MX,2024-07-18,2024-08-05,19,2024-07-12,2024-07-05
HUF,MX001,MX,2024-08-21,2024-09-05,16,2024-08-15,2024-08-05
HUF,MX002,MX,2024-08-21,2024-09-05,16,2024-08-15,2024-08-05
HUF,MX001,MX,2024-10-21,2024-11-05,16,2024-10-15,2024-10-05
HUF,MX002,MX,2024-10-21,2024-11-05,16,2024-10-15,2024-10-05
HUF,MX001,MX,2024-12-19,,,2024-12-13,2024-12-05
HUF,MX002,MX,2024-12-19,,,2024-12-13,2024-12-05
HUF,MX001,MS,2024-10-04,2024-10-07,4,2024-10-11,2024-10-07
HUF,MX002,MS,2024-10-04,2024-10-07,4,2024-10-11,2024-10-07
HUF,MX001,MS,2024-10-18,2024-10-21,4,2024-10-25,2024-10-21
HUF,MX002,MS,2024-10-18,2024-10-21,4,2024-10-25,2024-10-21
HUF,MX001,MS,2024-09-13,2024-09-16,4,2024-09-20,2024-09-16
HUF,MX002,MS,2024-09-13,2024-09-16,4,2024-09-20,2024-09-16
HUF,PT001,P1,2024-12-27,,,2024-12-24,2024-12-11
HUF,CN001,C1,2024-09-18,2024-10-08,21,2024-09-14,2024-09-09
HUF,CN001,C1,2024-12-16,,,2024-12-13,2024-12-08
HUF,RO001,R1,2024-08-13,2024-09-04,22,2024-09-13,2024-09-03
HUF,RO001,R1,2024-10-14,2024-11-06,23,2024-11-15,2024-11-05
HUF,RO001,R1,2024-12-12,2024-12-31,19,2025-01-15,2024-12-30
HUF,RO001,R1,2025-01-14,,,,
HUF,BR001,BA,2024-08-29,2024-09-20,23,2024-08-30,2024-08-22
HUF,MX001,MS,2024-10-25,2024-10-28,4,2024-11-01,2024-10-28
HUF,MX002,MS,2024-10-25,2024-10-28,4,2024-11-01,2024-10-28
HUF,MX001,MS,2024-11-01,2024-11-04,4,2024-11-08,2024-11-04
HUF,MX002,MS,2024-11-01,2024-11-04,4,2024-11-08,2024-11-04
