GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
IIG,SE004,S4,2024-11-25,2024-12-06,12,2024-11-25,2024-11-11
IIG,SE004,S4,2024-12-20,,,2024-12-20,2024-12-06
IIG,CN008,C8,2024-12-26,,,2024-12-25,2024-12-16
IIG,SE012,SC,2024-08-23,2024-09-11,20,2024-08-23,2024-08-09
IIG,SE012,SC,2024-09-25,2024-10-11,17,2024-09-25,2024-09-11
IIG,SE012,SC,2024-10-25,2024-11-11,18,2024-10-25,2024-10-11
IIG,SE012,SC,2024-12-20,,,2024-12-20,2024-12-06
IIG,SE004,S4,2024-09-25,2024-10-11,17,2024-09-25,2024-09-11
IIG,US001,U1,2024-07-19,2024-07-27,8,2024-08-02,2024-07-27
IIG,US001,U1,2024-08-02,2024-08-10,8,2024-08-16,2024-08-10
IIG,US001,U1,2024-08-30,2024-09-07,8,2024-09-13,2024-09-07
IIG,US001,U1,2024-11-22,2024-11-30,8,2024-12-06,2024-11-30
IIG,SE003,S3,2024-10-25,2024-11-11,18,2024-10-25,2024-10-11
IIG,SE003,S3,2024-11-25,2024-12-06,12,2024-11-25,2024-11-11
IIG,SE006,S6,2024-07-25,2024-08-09,16,2024-07-25,2024-07-11
IIG,SE006,S6,2024-08-23,2024-09-11,20,2024-08-23,2024-08-09
IIG,SE006,S6,2024-10-25,2024-11-11,18,2024-10-25,2024-10-11
IIG,SE006,S6,2024-12-20,,,2024-12-20,2024-12-06
IIG,SE009,S9,2024-08-23,2024-09-11,20,2024-08-23,2024-08-09
IIG,DE001,D2,2024-11-28,2024-12-10,12,2024-11-27,2024-11-13
IIG,IN001,IN,2025-01-29,2025-02-12,15,2025-01-24,2025-01-11
IIG,DE001,D2,2024-08-28,2024-09-12,15,2024-08-27,2024-08-13
IIG,DE001,D2,2024-09-27,2024-10-14,17,2024-09-26,2024-09-12
IIG,DE001,D2,2024-10-29,2024-11-13,15,2024-10-28,2024-10-14
IIG,CN008,C8,2024-11-26,2024-12-16,20,2024-11-25,2024-11-14
IIG,IT001,I1,2024-07-29,2024-08-12,14,2024-07-26,2024-07-17
IIG,IT001,I1,2024-10-28,2024-11-15,18,2024-10-25,2024-10-15
IIG,SE002,S2,2024-11-25,2024-12-06,12,2024-11-25,2024-11-11
IIG,IT001,I1,2024-08-28,2024-09-17,20,2024-08-27,2024-08-12
IIG,IT001,I1,2024-11-28,2024-12-13,15,2024-11-27,2024-11-15
IIG,IT001,I1,2024-12-30,,,2024-12-27,2024-12-13
IIG,CN008,C8,2024-07-26,2024-08-14,19,2024-07-25,2024-07-16
IIG,CN008,C8,2024-08-26,2024-09-12,17,2024-08-23,2024-08-14
IIG,CN008,C8,2024-09-26,2024-10-16,20,2024-09-25,2024-09-12
IIG,CN008,C8,2024-10-28,2024-11-14,17,2024-10-25,2024-10-16
IIG,SE004,S4,2024-08-23,2024-09-11,20,2024-08-23,2024-08-09
IIG,SE009,S9,2024-09-25,2024-10-11,17,2024-09-25,2024-09-11
IIG,SE009,S9,2024-10-25,2024-11-11,18,2024-10-25,2024-10-11
IIG,PL002,P6,2024-08-01,2024-08-21,20,2024-08-30,2024-08-21
IIG,PL002,P6,2025-01-01,,,,
IIG,SE011,SB,2024-08-23,2024-09-11,20,2024-08-23,2024-08-09
IIG,SE011,SB,2024-09-25,2024-10-11,17,2024-09-25,2024-09-11
IIG,SE011,SB,2024-12-20,,,2024-12-20,2024-12-06
IIG,PL001,P5,2024-10-01,2024-10-22,21,2024-10-31,2024-10-22
IIG,PL001,P5,2025-01-01,,,,
IIG,SE009,S9,2024-11-25,2024-12-06,12,2024-11-25,2024-11-11
IIG,SE009,S9,2024-12-20,,,2024-12-20,2024-12-06
IIG,SE009,S9,2024-07-25,2024-08-09,16,2024-07-25,2024-07-11
IIG,IN001,IN,2024-11-26,2024-12-11,16,2024-11-25,2024-11-12
IIG,SE010,SA,2024-08-23,2024-09-11,20,2024-08-23,2024-08-09
IIG,SE006,S6,2024-11-25,2024-12-06,12,2024-11-25,2024-11-11
IIG,SE013,SD,2024-09-25,2024-10-11,17,2024-09-25,2024-09-11
IIG,SE013,SD,2024-10-25,2024-11-11,18,2024-10-25,2024-10-11
IIG,SE013,SD,2024-11-25,2024-12-06,12,2024-11-25,2024-11-11
IIG,SE013,SD,2024-12-20,,,2024-12-20,2024-12-06
IIG,PL002,P6,2024-12-02,2024-12-18,16,2024-12-31,2024-12-18
IIG,SE002,S2,2024-07-25,2024-08-09,16,2024-07-25,2024-07-11
IIG,SE002,S2,2024-12-20,,,2024-12-20,2024-12-06
IIG,SE008,S8,2024-08-23,2024-09-11,20,2024-08-23,2024-08-09
IIG,SE008,S8,2024-09-25,2024-10-11,17,2024-09-25,2024-09-11
IIG,SE008,S8,2024-11-25,2024-12-06,12,2024-11-25,2024-11-11
IIG,SE008,S8,2024-12-20,,,2024-12-20,2024-12-06
IIG,SE005,S5,2024-07-25,2024-08-09,16,2024-07-25,2024-07-11
IIG,IN001,IN,2024-08-27,2024-09-10,15,2024-08-23,2024-08-08
IIG,DE001,D2,2024-12-30,,,2024-12-27,2024-12-10
IIG,SE013,SD,2024-07-25,2024-08-09,16,2024-07-25,2024-07-11
IIG,SE013,SD,2024-08-23,2024-09-11,20,2024-08-23,2024-08-09
IIG,SE002,S2,2024-08-23,2024-09-11,20,2024-08-23,2024-08-09
IIG,SE004,S4,2024-07-25,2024-08-09,16,2024-07-25,2024-07-11
IIG,SE005,S5,2024-09-25,2024-10-11,17,2024-09-25,2024-09-11
IIG,SE005,S5,2024-11-25,2024-12-06,12,2024-11-25,2024-11-11
IIG,DE001,D2,2024-07-29,2024-08-13,15,2024-07-26,2024-07-12
IIG,CZ001,CZ,2024-07-15,2024-08-02,18,2024-08-12,2024-08-01
IIG,CZ001,CZ,2024-08-13,2024-09-04,22,2024-09-12,2024-09-03
IIG,CZ001,CZ,2024-09-13,2024-10-03,20,2024-10-11,2024-10-02
IIG,CZ001,CZ,2024-10-14,2024-11-04,21,2024-11-12,2024-11-03
IIG,SE012,SC,2024-07-25,2024-08-09,16,2024-07-25,2024-07-11
IIG,SE012,SC,2024-11-25,2024-12-06,12,2024-11-25,2024-11-11
IIG,PL002,P6,2024-09-02,2024-09-19,17,2024-09-30,2024-09-19
IIG,SE006,S6,2024-09-25,2024-10-11,17,2024-09-25,2024-09-11
IIG,CN005,C5,2024-07-26,2024-08-14,19,2024-07-25,2024-07-16
IIG,CN005,C5,2024-08-26,2024-09-12,17,2024-08-23,2024-08-14
IIG,CN005,C5,2024-09-26,2024-10-16,20,2024-09-25,2024-09-12
IIG,CN005,C5,2024-10-28,2024-11-14,17,2024-10-25,2024-10-16
IIG,CN005,C5,2024-11-26,2024-12-16,20,2024-11-25,2024-11-14
IIG,IN001,IN,2024-10-28,2024-11-12,16,2024-10-25,2024-10-14
IIG,IN001,IN,2025-02-26,2025-03-12,15,2025-02-25,2025-02-12
IIG,SE011,SB,2024-07-25,2024-08-09,16,2024-07-25,2024-07-11
IIG,SE011,SB,2024-10-25,2024-11-11,18,2024-10-25,2024-10-11
IIG,SE007,S7,2024-09-25,2024-10-11,17,2024-09-25,2024-09-11
IIG,SE007,S7,2024-10-25,2024-11-11,18,2024-10-25,2024-10-11
IIG,SE007,S7,2024-11-25,2024-12-06,12,2024-11-25,2024-11-11
IIG,SE007,S7,2024-12-20,,,2024-12-20,2024-12-06
IIG,SE011,SB,2024-11-25,2024-12-06,12,2024-11-25,2024-11-11
IIG,US001,U1,2024-08-16,2024-08-24,8,2024-08-30,2024-08-24
IIG,US001,U1,2024-09-13,2024-09-21,8,2024-09-27,2024-09-21
IIG,US001,U1,2024-09-27,2024-10-05,8,2024-10-11,2024-10-05
IIG,US001,U1,2024-10-11,2024-10-19,8,2024-10-25,2024-10-19
IIG,US001,U1,2024-10-25,2024-11-02,8,2024-11-08,2024-11-02
IIG,US001,U1,2024-11-08,2024-11-16,8,2024-11-22,2024-11-16
IIG,US001,U1,2024-12-06,2024-12-14,8,2024-12-20,2024-12-14
IIG,US001,U1,2024-12-20,,,,
IIG,IT001,I1,2024-09-30,2024-10-15,15,2024-09-27,2024-09-17
IIG,SE004,S4,2024-10-25,2024-11-11,18,2024-10-25,2024-10-11
IIG,CZ001,CZ,2024-11-13,2024-12-04,21,2024-12-12,2024-12-03
IIG,CZ001,CZ,2024-12-13,2025-01-02,20,2025-01-10,2025-01-01
IIG,CZ001,CZ,2025-01-13,,,,
IIG,SE003,S3,2024-07-25,2024-08-09,16,2024-07-25,2024-07-11
IIG,IN001,IN,2025-03-26,,,2025-03-25,2025-03-12
IIG,PL001,P5,2024-08-01,2024-08-21,20,2024-08-30,2024-08-21
IIG,PL001,P5,2024-09-02,2024-09-19,17,2024-09-30,2024-09-19
IIG,PL001,P5,2024-11-04,2024-11-20,16,2024-11-29,2024-11-20
IIG,SE007,S7,2024-07-25,2024-08-09,16,2024-07-25,2024-07-11
IIG,SE007,S7,2024-08-23,2024-09-11,20,2024-08-23,2024-08-09
IIG,SE005,S5,2024-08-23,2024-09-11,20,2024-08-23,2024-08-09
IIG,SE005,S5,2024-10-25,2024-11-11,18,2024-10-25,2024-10-11
IIG,SE005,S5,2024-12-20,,,2024-12-20,2024-12-06
IIG,SE002,S2,2024-09-25,2024-10-11,17,2024-09-25,2024-09-11
IIG,SE008,S8,2024-07-25,2024-08-09,16,2024-07-25,2024-07-11
IIG,SE008,S8,2024-10-25,2024-11-11,18,2024-10-25,2024-10-11
IIG,SE010,SA,2024-09-25,2024-10-11,17,2024-09-25,2024-09-11
