GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
ING,ES001,E1,2024-11-28,2024-12-16,18,2024-11-27,2024-11-15
ING,ES001,E1,2024-12-30,,,2024-12-27,2024-12-16
ING,NL001,N0,2024-10-21,2024-11-13,24,2024-10-23,2024-10-14
ING,NL001,N0,2024-11-20,2024-12-12,23,2024-11-22,2024-11-13
ING,NL001,N0,2024-12-19,,,2024-12-23,2024-12-12
ING,NL001,N0,2024-07-19,2024-08-14,27,2024-07-23,2024-07-12
ING,NL001,N0,2024-08-21,2024-09-12,23,2024-08-23,2024-08-14
ING,NL001,N0,2024-09-19,2024-10-14,26,2024-09-23,2024-09-12
ING,ES001,E1,2024-10-28,2024-11-15,18,2024-10-25,2024-10-15
ING,ES001,E1,2024-08-27,2024-09-16,20,2024-08-26,2024-08-20
ING,ES001,E1,2024-07-26,2024-08-20,25,2024-08-26,2024-08-20
ING,ES001,E1,2024-09-27,2024-10-15,18,2024-09-26,2024-09-16
