GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
JET,BE001,B0,2024-08-28,2024-09-13,17,2024-08-26,2024-08-13
JET,BE001,B0,2024-09-27,2024-10-15,19,2024-09-25,2024-09-13
JET,BE001,B0,2024-10-29,2024-11-13,16,2024-10-25,2024-10-15
JET,BE001,B1,2024-07-27,2024-08-13,18,2024-07-25,2024-07-15
JET,BE001,B1,2024-09-27,2024-10-15,19,2024-09-25,2024-09-13
JET,BE001,B1,2024-10-29,2024-11-13,16,2024-10-25,2024-10-15
JET,BE001,B1,2024-11-27,2024-12-11,15,2024-11-25,2024-11-13
JET,BE001,B1,2024-12-25,,,2024-12-23,2024-12-11
JET,BE001,B2,2024-10-10,2024-11-04,25,2024-11-07,2024-11-04
JET,NL001,N0,2024-10-26,2024-11-12,18,2024-10-24,2024-10-14
JET,BE001,B2,2024-12-10,2025-01-02,23,2025-01-09,2025-01-02
JET,BE001,B2,2024-08-09,2024-09-02,24,2024-09-09,2024-09-02
JET,BE001,B2,2024-09-10,2024-10-02,22,2024-10-09,2024-10-02
JET,BE001,B0,2024-11-27,2024-12-11,15,2024-11-25,2024-11-13
JET,NL001,N0,2024-08-27,2024-09-11,16,2024-08-23,2024-08-13
JET,BE001,B1,2024-08-28,2024-09-13,17,2024-08-26,2024-08-13
JET,NL001,N0,2024-11-26,2024-12-10,15,2024-11-22,2024-11-12
JET,NL001,N0,2024-12-24,,,2024-12-20,2024-12-10
JET,NL001,N0,2024-09-26,2024-10-14,19,2024-09-24,2024-09-11
JET,BE001,B0,2024-07-27,2024-08-13,18,2024-07-25,2024-07-15
JET,BE001,B0,2024-12-25,,,2024-12-23,2024-12-11
JET,BE001,B2,2024-11-08,2024-12-02,24,2024-12-09,2024-12-02
JET,BE001,B2,2025-01-10,,,,
JET,NL001,N0,2024-07-26,2024-08-13,19,2024-07-24,2024-07-12
