GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
JSE,HK001,H3,2024-12-14,,,2024-12-27,2024-12-11
JSE,IN001,I3,2024-08-14,2024-09-11,28,2024-08-27,2024-08-11
JSE,IN001,I3,2024-11-14,2024-12-11,27,2024-11-27,2024-11-11
JSE,IN001,I3,2024-12-14,,,2024-12-27,2024-12-11
JSE,IN001,I7,2024-08-14,2024-09-11,28,2024-08-27,2024-08-11
JSE,IN001,I7,2024-09-14,2024-10-11,27,2024-09-27,2024-09-11
JSE,IN001,I4,2024-08-14,2024-09-11,28,2024-08-27,2024-08-11
JSE,IN001,I4,2024-09-14,2024-10-11,27,2024-09-27,2024-09-11
JSE,IN001,I4,2024-11-14,2024-12-11,27,2024-11-27,2024-11-11
JSE,IN001,I4,2024-12-14,,,2024-12-27,2024-12-11
JSE,IN001,I5,2024-12-14,,,2024-12-27,2024-12-11
JSE,IN001,I6,2024-12-14,,,2024-12-27,2024-12-11
JSE,IN001,I2,2024-11-14,2024-12-11,27,2024-11-27,2024-11-11
JSE,IN001,I2,2024-12-14,,,2024-12-27,2024-12-11
JSE,IN001,I7,2024-10-14,2024-11-11,28,2024-10-27,2024-10-11
JSE,IN001,I6,2024-09-14,2024-10-11,27,2024-09-27,2024-09-11
JSE,IN001,I6,2024-10-14,2024-11-11,28,2024-10-27,2024-10-11
JSE,IN001,I6,2024-08-14,2024-09-11,28,2024-08-27,2024-08-11
JSE,IN001,I6,2024-11-14,2024-12-11,27,2024-11-27,2024-11-11
JSE,HK001,H5,2024-08-14,2024-09-11,28,2024-08-27,2024-08-11
JSE,HK001,H5,2024-09-14,2024-10-11,27,2024-09-27,2024-09-11
JSE,HK001,H3,2024-11-14,2024-12-11,27,2024-11-27,2024-11-11
JSE,HK001,H1,2024-08-14,2024-09-11,28,2024-08-27,2024-08-11
JSE,HK001,H1,2024-11-14,2024-12-11,27,2024-11-27,2024-11-11
JSE,HK001,H1,2024-12-14,,,2024-12-27,2024-12-11
JSE,HK001,H4,2024-08-14,2024-09-11,28,2024-08-27,2024-08-11
JSE,HK001,H4,2024-09-14,2024-10-11,27,2024-09-27,2024-09-11
JSE,HK001,H5,2024-11-14,2024-12-11,27,2024-11-27,2024-11-11
JSE,HK001,H5,2024-10-14,2024-11-11,28,2024-10-27,2024-10-11
JSE,HK001,H3,2024-08-14,2024-09-11,28,2024-08-27,2024-08-11
JSE,HK001,H3,2024-09-14,2024-10-11,27,2024-09-27,2024-09-11
JSE,HK001,H3,2024-10-14,2024-11-11,28,2024-10-27,2024-10-11
JSE,HK001,H2,2024-08-14,2024-09-11,28,2024-08-27,2024-08-11
JSE,IN001,I5,2024-08-14,2024-09-11,28,2024-08-27,2024-08-11
JSE,IN001,I5,2024-11-14,2024-12-11,27,2024-11-27,2024-11-11
JSE,IN001,I2,2024-08-14,2024-09-11,28,2024-08-27,2024-08-11
JSE,IN001,I2,2024-10-14,2024-11-11,28,2024-10-27,2024-10-11
JSE,IN001,I4,2024-10-14,2024-11-11,28,2024-10-27,2024-10-11
JSE,IN001,I3,2024-09-14,2024-10-11,27,2024-09-27,2024-09-11
JSE,IN001,I3,2024-10-14,2024-11-11,28,2024-10-27,2024-10-11
JSE,IN001,I7,2024-11-14,2024-12-11,27,2024-11-27,2024-11-11
JSE,IN001,I7,2024-12-14,,,2024-12-27,2024-12-11
JSE,IN001,I1,2024-08-14,2024-09-11,28,2024-08-27,2024-08-11
JSE,IN001,I1,2024-09-14,2024-10-11,27,2024-09-27,2024-09-11
JSE,IN001,I1,2024-10-14,2024-11-11,28,2024-10-27,2024-10-11
JSE,IN001,I1,2024-11-14,2024-12-11,27,2024-11-27,2024-11-11
JSE,IN001,I1,2024-12-14,,,2024-12-27,2024-12-11
JSE,HK001,H1,2024-09-14,2024-10-11,27,2024-09-27,2024-09-11
JSE,HK001,H1,2024-10-14,2024-11-11,28,2024-10-27,2024-10-11
JSE,HK001,H2,2024-09-14,2024-10-11,27,2024-09-27,2024-09-11
JSE,HK001,H2,2024-10-14,2024-11-11,28,2024-10-27,2024-10-11
JSE,HK001,H2,2024-11-14,2024-12-11,27,2024-11-27,2024-11-11
JSE,HK001,H2,2024-12-14,,,2024-12-27,2024-12-11
JSE,HK001,H4,2024-10-14,2024-11-11,28,2024-10-27,2024-10-11
JSE,HK001,H4,2024-11-14,2024-12-11,27,2024-11-27,2024-11-11
JSE,HK001,H4,2024-12-14,,,2024-12-27,2024-12-11
JSE,HK001,H5,2024-12-14,,,2024-12-27,2024-12-11
JSE,IN001,I5,2024-09-14,2024-10-11,27,2024-09-27,2024-09-11
JSE,IN001,I5,2024-10-14,2024-11-11,28,2024-10-27,2024-10-11
JSE,IN001,I2,2024-09-14,2024-10-11,27,2024-09-27,2024-09-11
