GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
KPN,NL001,N0,2024-07-22,2024-08-08,18,2024-07-23,2024-07-08
KPN,NL004,N0,2024-07-22,2024-08-08,18,2024-07-23,2024-07-08
KPN,NL001,N0,2024-08-22,2024-09-06,16,2024-08-23,2024-08-08
KPN,NL004,N0,2024-08-22,2024-09-06,16,2024-08-23,2024-08-08
KPN,NL001,N0,2024-10-22,2024-11-07,17,2024-10-23,2024-10-08
KPN,NL004,N0,2024-10-22,2024-11-07,17,2024-10-23,2024-10-08
KPN,NL001,N0,2024-11-21,2024-12-06,16,2024-11-22,2024-11-07
KPN,NL004,N0,2024-11-21,2024-12-06,16,2024-11-22,2024-11-07
KPN,NL001,N0,2024-12-20,,,2024-12-23,2024-12-06
KPN,NL004,N0,2024-12-20,,,2024-12-23,2024-12-06
KPN,NL001,N0,2024-09-20,2024-10-08,19,2024-09-23,2024-09-06
KPN,NL004,N0,2024-09-20,2024-10-08,19,2024-09-23,2024-09-06
