GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
LZA,FR010,FR,2024-08-30,2024-09-18,19,2024-08-29,2024-08-18
LZA,FR040,FR,2024-08-30,2024-09-18,19,2024-08-29,2024-08-18
LZA,FR050,FR,2024-08-30,2024-09-18,19,2024-08-29,2024-08-18
LZA,FR070,FR,2024-08-30,2024-09-18,19,2024-08-29,2024-08-18
LZA,FR080,FR,2024-08-31,2024-09-18,19,2024-08-29,2024-08-18
LZA,FR090,FR,2024-08-31,2024-09-18,19,2024-08-29,2024-08-18
LZA,FR100,FR,2024-08-31,2024-09-18,19,2024-08-29,2024-08-18
LZA,ES020,ES,2024-11-28,2024-12-16,18,2024-11-27,2024-11-18
LZA,ES030,ES,2024-11-28,2024-12-16,18,2024-11-27,2024-11-18
LZA,ES080,ES,2024-11-28,2024-12-16,18,2024-11-27,2024-11-18
LZA,FR010,FR,2024-09-30,2024-10-18,18,2024-09-27,2024-09-17
LZA,FR040,FR,2024-09-30,2024-10-18,18,2024-09-27,2024-09-17
LZA,FR050,FR,2024-09-30,2024-10-18,18,2024-09-27,2024-09-17
LZA,FR070,FR,2024-09-30,2024-10-18,18,2024-09-27,2024-09-17
LZA,FR080,FR,2024-10-01,2024-10-18,18,2024-10-29,2024-10-17
LZA,FR090,FR,2024-10-01,2024-10-18,18,2024-10-29,2024-10-17
LZA,FR100,FR,2024-10-01,2024-10-18,18,2024-10-29,2024-10-17
LZA,FR010,FR,2024-10-30,2024-11-19,20,2024-10-29,2024-10-17
LZA,FR040,FR,2024-10-30,2024-11-19,20,2024-10-29,2024-10-17
LZA,FR050,FR,2024-10-30,2024-11-19,20,2024-10-29,2024-10-17
LZA,FR070,FR,2024-10-30,2024-11-19,20,2024-10-29,2024-10-17
LZA,FR090,FR,2024-10-30,2024-11-19,20,2024-10-29,2024-10-17
LZA,FR080,FR,2024-10-30,2024-11-19,20,2024-10-29,2024-10-17
LZA,FR100,FR,2024-10-30,2024-11-19,20,2024-10-29,2024-10-17
LZA,FR010,FR,2024-11-29,2024-12-11,12,2024-11-28,2024-11-18
LZA,FR040,FR,2024-11-29,2024-12-11,12,2024-11-28,2024-11-18
LZA,FR050,FR,2024-11-29,2024-12-11,12,2024-11-28,2024-11-18
LZA,FR070,FR,2024-11-29,2024-12-11,12,2024-11-28,2024-11-18
LZA,FR080,FR,2024-11-29,2024-12-11,12,2024-11-28,2024-11-18
