GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
MAR,PL003,P3,2024-08-09,2024-09-02,24,2024-09-10,2024-09-01
MAR,PL003,P3,2024-10-10,2024-11-04,25,2024-11-08,2024-11-03
MAR,BR002,B2,2024-09-26,2024-10-18,22,2024-09-27,2024-09-17
MAR,PL001,99,2025-01-10,,,,
MAR,PL002,99,2025-01-10,,,,
MAR,PL003,99,2025-01-10,,,,
MAR,FR001,F0,2024-07-26,2024-08-14,20,2024-07-29,2024-07-16
MAR,FR002,F0,2024-07-26,2024-08-14,20,2024-07-29,2024-07-16
MAR,FR003,F0,2024-07-26,2024-08-14,20,2024-07-29,2024-07-16
MAR,FR004,F0,2024-07-26,2024-08-14,20,2024-07-29,2024-07-16
MAR,FR005,F0,2024-07-26,2024-08-14,20,2024-07-29,2024-07-16
MAR,FR006,F0,2024-07-26,2024-08-14,20,2024-07-29,2024-07-16
MAR,FR007,F0,2024-07-26,2024-08-14,20,2024-07-29,2024-07-16
MAR,FR001,F0,2024-08-27,2024-09-13,17,2024-08-28,2024-08-14
MAR,FR002,F0,2024-08-27,2024-09-13,17,2024-08-28,2024-08-14
MAR,FR003,F0,2024-08-27,2024-09-13,17,2024-08-28,2024-08-14
MAR,FR004,F0,2024-08-27,2024-09-13,17,2024-08-28,2024-08-14
MAR,FR005,F0,2024-08-27,2024-09-13,17,2024-08-28,2024-08-14
MAR,FR006,F0,2024-08-27,2024-09-13,17,2024-08-28,2024-08-14
MAR,FR007,F0,2024-08-27,2024-09-13,17,2024-08-28,2024-08-14
MAR,FR001,F0,2024-09-25,2024-10-16,21,2024-09-26,2024-09-13
MAR,FR002,F0,2024-09-25,2024-10-16,21,2024-09-26,2024-09-13
MAR,FR003,F0,2024-09-25,2024-10-16,21,2024-09-26,2024-09-13
MAR,FR006,F0,2024-09-25,2024-10-16,21,2024-09-26,2024-09-13
MAR,FR007,F0,2024-09-25,2024-10-16,21,2024-09-26,2024-09-13
MAR,FR004,F0,2024-09-25,2024-10-16,21,2024-09-26,2024-09-13
MAR,FR005,F0,2024-09-25,2024-10-16,21,2024-09-26,2024-09-13
MAR,FR001,F0,2024-10-28,2024-11-14,17,2024-10-29,2024-10-16
MAR,FR002,F0,2024-10-28,2024-11-14,17,2024-10-29,2024-10-16
MAR,FR003,F0,2024-10-28,2024-11-14,17,2024-10-29,2024-10-16
MAR,FR004,F0,2024-10-28,2024-11-14,17,2024-10-29,2024-10-16
MAR,FR005,F0,2024-10-28,2024-11-14,17,2024-10-29,2024-10-16
MAR,FR006,F0,2024-10-28,2024-11-14,17,2024-10-29,2024-10-16
MAR,FR007,F0,2024-10-28,2024-11-14,17,2024-10-29,2024-10-16
MAR,FR001,F0,2024-11-26,2024-12-10,14,2024-11-27,2024-11-14
MAR,IT001,99,2024-07-25,2024-08-13,19,2024-07-31,2024-07-15
MAR,IT002,99,2024-07-25,2024-08-13,19,2024-07-31,2024-07-15
MAR,IT003,99,2024-07-25,2024-08-13,19,2024-07-31,2024-07-15
MAR,IT004,99,2024-07-25,2024-08-13,19,2024-07-31,2024-07-15
MAR,FR002,F0,2024-11-26,2024-12-10,14,2024-11-27,2024-11-14
MAR,FR003,F0,2024-11-26,2024-12-10,14,2024-11-27,2024-11-14
MAR,FR004,F0,2024-11-26,2024-12-10,14,2024-11-27,2024-11-14
MAR,FR005,F0,2024-11-26,2024-12-10,14,2024-11-27,2024-11-14
MAR,FR006,F0,2024-11-26,2024-12-10,14,2024-11-27,2024-11-14
MAR,FR007,F0,2024-11-26,2024-12-10,14,2024-11-27,2024-11-14
MAR,FR001,F0,2024-12-20,,,2024-12-27,2024-12-10
MAR,FR002,F0,2024-12-20,,,2024-12-27,2024-12-10
MAR,FR003,F0,2024-12-20,,,2024-12-27,2024-12-10
MAR,FR004,F0,2024-12-20,,,2024-12-27,2024-12-10
MAR,FR006,F0,2024-12-20,,,2024-12-27,2024-12-10
MAR,BR002,B2,2024-07-29,2024-08-17,20,2024-07-30,2024-07-18
MAR,FR007,F0,2024-12-20,,,2024-12-27,2024-12-10
MAR,FR005,F0,2024-12-20,,,2024-12-27,2024-12-10
MAR,IT004,I4,2024-10-25,2024-11-13,19,2024-10-31,2024-10-15
MAR,PL003,P3,2024-11-08,2024-12-02,24,2024-12-10,2024-12-01
MAR,IT002,I2,2024-07-25,2024-08-16,22,2024-07-31,2024-07-15
MAR,IT002,I2,2024-08-27,2024-09-12,16,2024-08-30,2024-08-16
MAR,IT002,I2,2024-10-25,2024-11-13,19,2024-10-31,2024-10-15
MAR,IT002,I2,2024-11-25,2024-12-11,16,2024-11-29,2024-11-13
MAR,IT002,I2,2024-12-23,,,2024-12-31,2024-12-11
