GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
MPG,DE001,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE002,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE004,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE008,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE011,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE016,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE024,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE025,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE026,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE030,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE035,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE037,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE038,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE039,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE041,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE059,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE060,01,2024-12-23,,,2024-12-20,2024-12-09
MPG,DE001,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE002,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE004,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE008,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE011,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE016,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE024,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE025,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE026,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE030,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE035,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE037,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE038,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE039,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE041,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE059,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE060,01,2024-10-28,2024-11-13,16,2024-10-25,2024-10-14
MPG,DE001,01,2024-11-27,2024-12-09,12,2024-11-26,2024-11-13
MPG,DE002,01,2024-11-27,2024-12-09,12,2024-11-26,2024-11-13
MPG,DE004,01,2024-11-27,2024-12-09,12,2024-11-26,2024-11-13
MPG,DE008,01,2024-11-27,2024-12-09,12,2024-11-26,2024-11-13
