GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
MRT,GB054,GN,2025-03-21,,,2025-03-21,2025-03-14
MRT,DE021,D2,2024-09-26,2024-10-17,22,2024-09-26,2024-09-16
MRT,DE021,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE021,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE021,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE021,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,GB054,GN,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB054,GN,2024-07-19,2024-08-09,22,2024-07-19,2024-07-12
MRT,DE002,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE003,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE004,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE005,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE006,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE013,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE014,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE015,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE016,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE017,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE018,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE019,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE020,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE007,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE001,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE008,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE009,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE010,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE011,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,DE012,D2,2024-11-27,2024-12-12,16,2024-11-27,2024-11-15
MRT,ES070,E4,2024-07-29,2024-08-02,4,2024-07-26,2024-07-05
MRT,ES071,E4,2024-07-29,2024-08-02,4,2024-07-26,2024-07-05
MRT,ES072,E4,2024-07-29,2024-08-02,4,2024-07-26,2024-07-05
MRT,ES073,E4,2024-07-29,2024-08-02,4,2024-07-26,2024-07-05
MRT,ES074,E4,2024-07-29,2024-08-02,4,2024-07-26,2024-07-05
MRT,DE001,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,ES068,E4,2024-02-27,2024-03-05,7,2024-02-26,2024-02-05
MRT,ES069,E4,2024-02-27,2024-03-05,7,2024-02-26,2024-02-05
MRT,ES070,E4,2024-02-27,2024-03-05,7,2024-02-26,2024-02-05
MRT,DE002,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE003,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE004,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE005,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE006,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE007,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,ES071,E4,2024-02-27,2024-03-05,7,2024-02-26,2024-02-05
MRT,ES072,E4,2024-02-27,2024-03-05,7,2024-02-26,2024-02-05
MRT,ES073,E4,2024-02-27,2024-03-05,7,2024-02-26,2024-02-05
MRT,ES074,E4,2024-02-27,2024-03-05,7,2024-02-26,2024-02-05
MRT,ES068,E4,2024-05-28,2024-06-04,7,2024-05-27,2024-05-06
MRT,ES069,E4,2024-05-28,2024-06-04,7,2024-05-27,2024-05-06
MRT,ES070,E4,2024-05-28,2024-06-04,7,2024-05-27,2024-05-06
MRT,ES071,E4,2024-05-28,2024-06-04,7,2024-05-27,2024-05-06
MRT,ES072,E4,2024-05-28,2024-06-04,7,2024-05-27,2024-05-06
MRT,ES073,E4,2024-05-28,2024-06-04,7,2024-05-27,2024-05-06
MRT,ES074,E4,2024-05-28,2024-06-04,7,2024-05-27,2024-05-06
MRT,ES068,E4,2024-10-28,2024-11-05,8,2024-10-25,2024-10-04
MRT,ES069,E4,2024-10-28,2024-11-05,8,2024-10-25,2024-10-04
MRT,ES070,E4,2024-10-28,2024-11-05,8,2024-10-25,2024-10-04
MRT,ES071,E4,2024-10-28,2024-11-05,8,2024-10-25,2024-10-04
MRT,ES072,E4,2024-10-28,2024-11-05,8,2024-10-25,2024-10-04
MRT,DE008,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,ES073,E4,2024-10-28,2024-11-05,8,2024-10-25,2024-10-04
MRT,ES074,E4,2024-10-28,2024-11-05,8,2024-10-25,2024-10-04
MRT,ES068,E4,2024-11-27,2024-12-02,5,2024-11-26,2024-11-05
MRT,ES069,E4,2024-11-27,2024-12-02,5,2024-11-26,2024-11-05
MRT,ES070,E4,2024-11-27,2024-12-02,5,2024-11-26,2024-11-05
MRT,ES071,E4,2024-11-27,2024-12-02,5,2024-11-26,2024-11-05
MRT,ES072,E4,2024-11-27,2024-12-02,5,2024-11-26,2024-11-05
MRT,ES073,E4,2024-11-27,2024-12-02,5,2024-11-26,2024-11-05
MRT,ES074,E4,2024-11-27,2024-12-02,5,2024-11-26,2024-11-05
MRT,ES068,E4,2024-12-27,,,2024-12-26,2024-12-02
MRT,ES069,E4,2024-12-27,,,2024-12-26,2024-12-02
MRT,ES070,E4,2024-12-27,,,2024-12-26,2024-12-02
MRT,ES071,E4,2024-12-27,,,2024-12-26,2024-12-02
MRT,ES072,E4,2024-12-27,,,2024-12-26,2024-12-02
MRT,ES073,E4,2024-12-27,,,2024-12-26,2024-12-02
MRT,ES074,E4,2024-12-27,,,2024-12-26,2024-12-02
MRT,GB054,GN,2024-11-15,2024-12-13,29,2024-11-15,2024-11-08
MRT,DE009,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE010,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE011,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE012,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE013,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE014,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE015,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE016,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE017,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE018,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE019,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,DE020,D2,2024-07-29,2024-08-16,19,2024-07-29,2024-07-17
MRT,ES068,E4,2024-03-27,2024-04-05,9,2024-03-26,2024-03-05
MRT,ES069,E4,2024-03-27,2024-04-05,9,2024-03-26,2024-03-05
MRT,ES070,E4,2024-03-27,2024-04-05,9,2024-03-26,2024-03-05
MRT,ES071,E4,2024-03-27,2024-04-05,9,2024-03-26,2024-03-05
MRT,ES072,E4,2024-03-27,2024-04-05,9,2024-03-26,2024-03-05
MRT,ES073,E4,2024-03-27,2024-04-05,9,2024-03-26,2024-03-05
MRT,ES074,E4,2024-03-27,2024-04-05,9,2024-03-26,2024-03-05
MRT,ES068,E4,2024-04-29,2024-05-06,7,2024-04-26,2024-04-05
MRT,ES069,E4,2024-04-29,2024-05-06,7,2024-04-26,2024-04-05
MRT,ES070,E4,2024-04-29,2024-05-06,7,2024-04-26,2024-04-05
MRT,ES071,E4,2024-04-29,2024-05-06,7,2024-04-26,2024-04-05
MRT,ES072,E4,2024-04-29,2024-05-06,7,2024-04-26,2024-04-05
MRT,ES073,E4,2024-04-29,2024-05-06,7,2024-04-26,2024-04-05
MRT,ES074,E4,2024-04-29,2024-05-06,7,2024-04-26,2024-04-05
MRT,ES068,E4,2024-06-27,2024-07-05,8,2024-06-26,2024-06-04
MRT,ES069,E4,2024-06-27,2024-07-05,8,2024-06-26,2024-06-04
MRT,ES070,E4,2024-06-27,2024-07-05,8,2024-06-26,2024-06-04
MRT,ES071,E4,2024-06-27,2024-07-05,8,2024-06-26,2024-06-04
MRT,ES072,E4,2024-06-27,2024-07-05,8,2024-06-26,2024-06-04
MRT,ES073,E4,2024-06-27,2024-07-05,8,2024-06-26,2024-06-04
MRT,ES074,E4,2024-06-27,2024-07-05,8,2024-06-26,2024-06-04
MRT,ES068,E4,2024-07-29,2024-08-02,4,2024-07-26,2024-07-05
MRT,ES069,E4,2024-07-29,2024-08-02,4,2024-07-26,2024-07-05
MRT,DE001,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE002,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE003,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE004,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE005,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE006,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE007,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE008,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE009,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE010,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE011,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE012,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE013,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE014,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE015,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE016,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE017,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE018,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE019,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE020,D2,2024-10-29,2024-11-15,18,2024-10-29,2024-10-17
MRT,DE001,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE002,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE003,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE004,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE005,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE006,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE007,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE008,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE011,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE009,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE012,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE013,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE014,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE015,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE016,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE017,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE018,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE019,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE020,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,DE010,D2,2024-12-20,,,2024-12-20,2024-12-12
MRT,GB038,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB039,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB040,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB011,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB012,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB013,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB014,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB015,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB016,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB017,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB018,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB019,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB020,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB021,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB022,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB024,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB025,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB026,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB027,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB028,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB029,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB030,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB031,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB032,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB033,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB034,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB035,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB036,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB037,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB038,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB039,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB040,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB041,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB042,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB043,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB044,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB045,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB046,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB047,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB048,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB042,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB043,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB044,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB041,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB045,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB046,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB047,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB048,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB053,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB054,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB062,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB063,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB073,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB053,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB054,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB062,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB063,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB073,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB001,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB002,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,ES001,E2,2024-10-28,2024-11-20,23,2024-10-25,2024-10-18
MRT,ES065,E2,2024-10-28,2024-11-20,23,2024-10-25,2024-10-18
MRT,GB003,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,ES001,E2,2024-11-27,2024-12-19,22,2024-11-26,2024-11-19
MRT,GB004,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,ES065,E2,2024-11-27,2024-12-19,22,2024-11-26,2024-11-19
MRT,GB005,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB006,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB007,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB008,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB009,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB010,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB011,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB012,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB013,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB014,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB015,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB016,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB017,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB018,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB019,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB020,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB021,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB022,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB024,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB025,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB026,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB027,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB028,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB029,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB030,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB031,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB032,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB033,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB034,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB035,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB036,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB037,GM,2024-10-18,2024-11-08,22,2024-10-18,2024-10-11
MRT,GB003,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB004,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB005,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB001,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB002,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB006,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB007,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB008,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB009,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,GB010,GM,2025-01-17,2025-02-14,29,2025-01-17,2025-01-10
MRT,ES070,E4,2024-09-27,2024-10-04,7,2024-09-26,2024-09-03
MRT,ES071,E4,2024-09-27,2024-10-04,7,2024-09-26,2024-09-03
