GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
NCR,CY001,Y2,2024-07-26,2024-08-12,17,2024-07-25,2024-07-15
NCR,CY001,Y2,2024-12-12,,,2024-12-11,2024-11-29
NCR,MX003,M1,2024-08-17,2024-09-04,19,2024-08-15,2024-08-06
NCR,MX001,M1,2024-08-17,2024-09-04,19,2024-08-15,2024-08-06
NCR,MX002,M1,2024-08-17,2024-09-04,19,2024-08-15,2024-08-06
NCR,UA001,U0,2024-12-02,2024-12-02,1,2024-12-13,2024-12-02
NCR,MX001,M1,2024-07-17,2024-08-06,21,2024-07-15,2024-07-04
NCR,MX002,M1,2024-07-17,2024-08-06,21,2024-07-15,2024-07-04
NCR,MX003,M1,2024-07-17,2024-08-06,21,2024-07-15,2024-07-04
NCR,MX001,M1,2024-09-18,2024-10-04,17,2024-09-13,2024-09-04
NCR,MX002,M1,2024-09-18,2024-10-04,17,2024-09-13,2024-09-04
NCR,MX003,M1,2024-09-18,2024-10-04,17,2024-09-13,2024-09-04
NCR,MX001,M1,2024-10-17,2024-11-06,20,2024-10-15,2024-10-04
NCR,MX002,M1,2024-10-17,2024-11-06,20,2024-10-15,2024-10-04
NCR,MX003,M1,2024-10-17,2024-11-06,20,2024-10-15,2024-10-04
NCR,MX001,M1,2024-12-17,,,2024-12-13,2024-12-03
NCR,MX002,M1,2024-12-17,,,2024-12-13,2024-12-03
NCR,MX003,M1,2024-12-17,,,2024-12-13,2024-12-03
NCR,CY002,Y3,2024-10-25,2024-11-14,20,2024-10-24,2024-10-14
NCR,BA001,B1,2024-09-12,2024-10-04,22,2024-10-10,2024-10-03
NCR,CO001,C1,2024-08-22,2024-09-11,20,2024-08-20,2024-08-07
NCR,CO001,C2,2024-08-22,2024-09-11,20,2024-08-20,2024-08-07
NCR,CY002,Y3,2024-07-26,2024-08-12,17,2024-07-25,2024-07-15
NCR,UA001,U0,2024-12-31,,,2024-12-30,2024-12-16
NCR,CY002,Y3,2024-12-12,,,2024-12-11,2024-11-29
NCR,CY001,Y2,2024-11-27,2024-11-29,2,2024-11-26,2024-11-14
NCR,BA001,B1,2024-10-14,2024-11-04,21,2024-11-11,2024-11-03
NCR,BA001,B1,2024-11-13,2024-12-04,21,2024-12-10,2024-12-03
NCR,BA001,B1,2024-12-12,2024-12-16,4,2024-12-22,2024-12-15
NCR,CO001,C2,2024-12-24,,,2024-12-20,2024-12-11
NCR,MX001,M1,2024-11-20,2024-12-03,14,2024-11-15,2024-11-06
NCR,MX002,M1,2024-11-20,2024-12-03,14,2024-11-15,2024-11-06
NCR,MX003,M1,2024-11-20,2024-12-03,14,2024-11-15,2024-11-06
NCR,PE001,P1,2024-12-17,,,2024-12-13,2024-12-02
NCR,CY001,Y2,2024-08-28,2024-09-13,16,2024-08-27,2024-08-12
NCR,CY001,Y2,2024-09-26,2024-10-14,18,2024-09-25,2024-09-13
NCR,CY001,Y2,2024-10-25,2024-11-14,20,2024-10-24,2024-10-14
NCR,UA001,U0,2024-12-31,,,2024-12-30,2024-12-16
NCR,PE002,P2,2024-07-17,2024-08-02,17,2024-07-15,2024-07-03
NCR,PE002,P2,2024-08-17,2024-09-03,18,2024-08-15,2024-08-02
NCR,PE002,P2,2024-09-17,2024-10-02,16,2024-09-13,2024-09-03
NCR,PE002,P2,2024-10-17,2024-11-05,20,2024-10-15,2024-10-02
NCR,PE002,P2,2024-11-19,2024-12-02,14,2024-11-15,2024-11-05
NCR,PE002,P2,2024-12-17,,,2024-12-13,2024-12-02
NCR,CO001,C1,2024-12-24,,,2024-12-20,2024-12-11
NCR,CY002,Y3,2024-08-28,2024-09-13,16,2024-08-27,2024-08-12
NCR,CY002,Y3,2024-09-26,2024-10-14,18,2024-09-25,2024-09-13
NCR,CY002,Y3,2024-11-27,2024-11-29,2,2024-11-26,2024-11-14
NCR,CO001,C2,2024-09-24,2024-10-08,14,2024-09-20,2024-09-11
NCR,CO001,C1,2024-07-23,2024-08-07,15,2024-07-19,2024-07-12
NCR,CO001,C1,2024-09-24,2024-10-08,14,2024-09-20,2024-09-11
NCR,CO001,C1,2024-10-22,2024-11-08,17,2024-10-18,2024-10-08
NCR,CO001,C1,2024-11-22,2024-12-11,19,2024-11-20,2024-11-08
NCR,UA001,U0,2024-09-02,2024-09-02,1,2024-09-13,2024-09-02
NCR,CO001,C2,2024-11-22,2024-12-11,19,2024-11-20,2024-11-08
NCR,UA001,U0,2024-09-16,2024-09-17,2,2024-09-30,2024-09-17
NCR,UA001,U0,2024-10-02,2024-10-20,19,2024-10-14,2024-10-01
NCR,UA001,U0,2024-10-15,2024-10-20,6,2024-10-14,2024-10-01
NCR,UA001,U0,2024-11-01,2024-11-03,3,2024-11-15,2024-11-03
NCR,UA001,U0,2024-11-18,2024-11-18,1,2024-11-29,2024-11-18
NCR,UA001,U0,2024-07-17,2024-07-18,2,2024-07-31,2024-07-18
NCR,UA001,U0,2024-08-01,2024-08-04,4,2024-08-15,2024-08-04
NCR,UA001,U0,2024-08-16,2024-08-18,3,2024-08-30,2024-08-18
NCR,UA001,U0,2024-12-16,2024-12-16,1,2024-12-30,2024-12-16
NCR,UA001,U0,2024-12-31,,,2024-12-30,2024-12-16
NCR,PE001,P1,2024-07-17,2024-08-02,17,2024-07-15,2024-07-03
NCR,PE001,P1,2024-08-17,2024-09-03,18,2024-08-15,2024-08-02
NCR,PE001,P1,2024-09-17,2024-10-02,16,2024-09-13,2024-09-03
NCR,PE001,P1,2024-10-17,2024-11-05,20,2024-10-15,2024-10-02
NCR,PE001,P1,2024-11-19,2024-12-02,14,2024-11-15,2024-11-05
NCR,BA001,B1,2024-08-13,2024-09-04,22,2024-09-10,2024-09-03
NCR,BA001,B1,2024-12-26,,,2024-12-22,2024-12-15
NCR,CO001,C2,2024-07-23,2024-08-07,15,2024-07-19,2024-07-12
NCR,CO001,C2,2024-10-22,2024-11-08,17,2024-10-18,2024-10-08
