GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
NGA,ID001,ID,2024-12-31,,,2024-12-30,2024-12-15
NGA,ID001,ID,2024-10-31,2024-11-18,19,2024-10-30,2024-10-17
NGA,ID001,ID,2024-08-30,2024-09-16,18,2024-08-29,2024-08-18
NGA,ID001,ID,2024-12-02,2024-12-15,14,2024-12-30,2024-12-15
NGA,ES001,E0,2024-08-29,2024-09-12,15,2024-08-27,2024-08-12
NGA,ES002,E0,2024-08-29,2024-09-12,15,2024-08-27,2024-08-12
NGA,ES003,E0,2024-08-29,2024-09-12,15,2024-08-27,2024-08-12
NGA,ES001,E0,2024-09-01,2024-09-12,11,2024-09-27,2024-09-12
NGA,ES002,E0,2024-09-01,2024-09-12,11,2024-09-27,2024-09-12
NGA,ES003,E0,2024-09-01,2024-09-12,11,2024-09-27,2024-09-12
NGA,ES001,E0,2024-10-01,2024-10-11,10,2024-10-25,2024-10-11
NGA,ES002,E0,2024-10-01,2024-10-11,10,2024-10-25,2024-10-11
NGA,ES001,E0,2024-11-01,2024-11-12,11,2024-11-27,2024-11-12
NGA,ES002,E0,2024-11-01,2024-11-12,11,2024-11-27,2024-11-12
NGA,ES003,E0,2024-11-01,2024-11-12,11,2024-11-27,2024-11-12
NGA,ES003,E0,2024-10-01,2024-10-11,10,2024-10-25,2024-10-11
NGA,PT001,P1,2024-07-26,2024-08-14,19,2024-07-25,2024-07-17
NGA,PT001,P1,2024-10-28,2024-11-15,18,2024-10-25,2024-10-17
NGA,PH001,PH,2024-07-26,2024-07-31,6,2024-07-25,2024-07-16
NGA,PH001,PH,2024-08-12,2024-08-13,2,2024-08-09,2024-07-31
NGA,PH001,PH,2024-09-11,2024-09-16,6,2024-09-10,2024-09-01
NGA,PH001,PH,2024-09-26,2024-10-01,6,2024-09-25,2024-09-16
NGA,PH001,PH,2024-10-28,2024-10-29,2,2024-10-25,2024-10-16
NGA,PH001,PH,2024-12-18,,,2024-12-17,2024-12-08
NGA,PH002,P2,2024-07-26,2024-07-31,6,2024-07-25,2024-07-16
NGA,PH002,P2,2024-09-11,2024-09-16,6,2024-09-10,2024-09-01
NGA,PH002,P2,2024-10-28,2024-10-29,2,2024-10-25,2024-10-16
NGA,PH002,P2,2024-12-11,,,2024-12-10,2024-12-01
NGA,PH001,PH,2024-08-27,2024-09-01,6,2024-08-23,2024-08-13
NGA,PH001,PH,2024-10-11,2024-10-16,6,2024-10-10,2024-10-01
NGA,PH001,PH,2024-11-11,2024-11-13,3,2024-11-08,2024-10-29
NGA,PT001,P1,2024-08-26,2024-09-17,22,2024-08-23,2024-08-14
NGA,PT001,P1,2024-09-26,2024-10-17,21,2024-09-25,2024-09-17
NGA,PT001,P1,2024-11-26,2024-12-12,16,2024-11-25,2024-11-15
NGA,PT001,P1,2024-12-23,,,2024-12-20,2024-12-12
NGA,ES001,E0,2024-12-01,2024-12-10,9,2024-12-20,2024-12-10
NGA,ES002,E0,2024-12-01,2024-12-10,9,2024-12-20,2024-12-10
NGA,ES003,E0,2024-12-01,2024-12-10,9,2024-12-20,2024-12-10
NGA,ES001,E0,2024-12-31,,,2024-12-20,2024-12-10
NGA,ES002,E0,2024-12-31,,,2024-12-20,2024-12-10
NGA,ES003,E0,2024-12-31,,,2024-12-20,2024-12-10
NGA,ID001,ID,2024-07-31,2024-08-18,19,2024-07-30,2024-07-17
NGA,ID001,ID,2024-09-30,2024-10-17,18,2024-09-27,2024-09-16
NGA,PH001,PH,2024-11-25,2024-12-01,7,2024-11-22,2024-11-13
NGA,IN002,I1,2024-10-01,2024-10-16,15,2024-10-31,2024-10-16
NGA,PH002,P2,2024-08-12,2024-08-13,2,2024-08-09,2024-07-31
NGA,PH002,P2,2024-08-27,2024-09-01,6,2024-08-23,2024-08-13
NGA,PH002,P2,2024-09-26,2024-10-01,6,2024-09-25,2024-09-16
NGA,PH002,P2,2024-10-11,2024-10-16,6,2024-10-10,2024-10-01
NGA,PH002,P2,2024-11-11,2024-11-13,3,2024-11-08,2024-10-29
NGA,PH002,P2,2024-11-25,2024-12-01,7,2024-11-22,2024-11-13
NGA,PH002,P2,2024-12-18,,,2024-12-17,2024-12-08
NGA,PH001,PH,2024-12-11,,,2024-12-10,2024-12-01
NGA,IN002,I1,2024-08-01,2024-08-16,15,2024-08-30,2024-08-16
NGA,IN002,I1,2024-09-01,2024-09-16,15,2024-09-27,2024-09-16
NGA,IN002,I1,2024-11-01,2024-11-16,15,2024-11-29,2024-11-16
NGA,IN002,I1,2024-12-01,2024-12-16,15,2024-12-31,2024-12-16
NGA,IN002,I1,2025-01-01,,,,
NGA,IN001,IA,2024-08-01,2024-08-16,15,2024-08-30,2024-08-16
NGA,IN001,IA,2024-10-01,2024-10-16,15,2024-10-31,2024-10-16
NGA,IN001,IA,2024-11-01,2024-11-16,15,2024-11-29,2024-11-16
NGA,IN001,IA,2024-09-01,2024-09-16,15,2024-09-27,2024-09-16
NGA,IN002,I2,2024-08-01,2024-08-16,15,2024-08-30,2024-08-16
NGA,IN002,I2,2025-01-01,,,,
NGA,IN001,IA,2024-12-01,2024-12-16,15,2024-12-31,2024-12-16
NGA,IN001,IA,2025-01-01,,,,
NGA,IN002,I2,2024-09-01,2024-09-16,15,2024-09-27,2024-09-16
NGA,IN002,I2,2024-10-01,2024-10-16,15,2024-10-31,2024-10-16
NGA,IN002,I2,2024-11-01,2024-11-16,15,2024-11-29,2024-11-16
NGA,IN002,I2,2024-12-01,2024-12-16,15,2024-12-31,2024-12-16
