GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
PFC,IN002,I2,2024-11-01,2024-11-13,12,2024-11-29,2024-11-13
PFC,KW001,K2,2024-08-30,2024-09-17,19,2024-08-23,2024-08-15
PFC,IN002,I2,2024-08-01,2024-08-15,14,2024-08-30,2024-08-14
PFC,IN002,I2,2024-09-01,2024-09-11,10,2024-09-30,2024-09-11
PFC,IN002,I2,2024-10-01,2024-10-14,13,2024-10-31,2024-10-14
PFC,IN002,I2,2024-12-01,2024-12-12,11,2024-12-31,2024-12-12
PFC,IN002,I2,2025-01-01,,,,
PFC,IN003,I3,2024-08-01,2024-08-15,14,2024-08-30,2024-08-14
PFC,IN003,I3,2024-10-01,2024-10-14,13,2024-10-31,2024-10-14
PFC,IN003,I3,2024-11-01,2024-11-13,12,2024-11-29,2024-11-13
PFC,IN003,I3,2024-12-01,2024-12-12,11,2024-12-31,2024-12-12
PFC,IN004,I5,2024-11-01,2024-11-13,12,2024-11-29,2024-11-13
PFC,IN004,I5,2024-12-01,2024-12-12,11,2024-12-31,2024-12-12
PFC,IN004,I6,2024-10-01,2024-10-14,13,2024-10-31,2024-10-14
PFC,IN004,I6,2025-01-01,,,,
PFC,IN004,I4,2024-08-01,2024-08-15,14,2024-08-30,2024-08-14
PFC,IN004,I4,2025-01-01,,,,
PFC,IQ001,R1,2024-10-27,2024-11-13,17,2024-10-25,2024-10-14
PFC,IN004,I5,2024-10-01,2024-10-14,13,2024-10-31,2024-10-14
PFC,IQ001,R1,2024-08-25,2024-09-12,18,2024-08-23,2024-08-12
PFC,IQ001,R1,2024-09-26,2024-10-14,18,2024-09-25,2024-09-12
PFC,IQ001,R1,2024-11-26,2024-12-12,16,2024-11-25,2024-11-13
PFC,IQ001,R1,2024-12-26,,,2024-12-24,2024-12-12
PFC,IN001,I1,2024-08-01,2024-08-15,14,2024-08-30,2024-08-14
PFC,IN001,I1,2024-10-01,2024-10-14,13,2024-10-31,2024-10-14
PFC,IN001,I1,2024-11-01,2024-11-13,12,2024-11-29,2024-11-13
PFC,IN001,I1,2025-01-01,,,,
PFC,IN003,I3,2024-09-01,2024-09-11,10,2024-09-30,2024-09-11
PFC,IN003,I3,2025-01-01,,,,
PFC,IN004,I4,2024-09-01,2024-09-11,10,2024-09-30,2024-09-11
PFC,IN004,I4,2024-10-01,2024-10-14,13,2024-10-31,2024-10-14
PFC,IN004,I4,2024-11-01,2024-11-13,12,2024-11-29,2024-11-13
PFC,IN004,I4,2024-12-01,2024-12-12,11,2024-12-31,2024-12-12
PFC,IN003,I3,2025-01-01,,,,
PFC,IN001,I1,2024-09-01,2024-09-11,10,2024-09-30,2024-09-11
PFC,IN004,I6,2024-08-01,2024-08-15,14,2024-08-30,2024-08-14
PFC,IN004,I6,2024-09-01,2024-09-11,10,2024-09-30,2024-09-11
PFC,IN004,I6,2024-11-01,2024-11-13,12,2024-11-29,2024-11-13
PFC,IN004,I6,2024-12-01,2024-12-12,11,2024-12-31,2024-12-12
PFC,IQ001,R2,2024-10-27,2024-11-13,17,2024-10-25,2024-10-13
PFC,IQ001,R2,2024-07-28,2024-08-12,15,2024-07-25,2024-07-14
PFC,IQ001,R2,2024-08-25,2024-09-12,18,2024-08-23,2024-08-12
PFC,IQ001,R2,2024-11-26,2024-12-12,16,2024-11-25,2024-11-13
PFC,DZ001,A1,2024-10-27,2024-11-13,17,2024-10-25,2024-10-14
PFC,DZ001,A1,2024-12-26,,,2024-12-24,2024-12-12
PFC,IN004,I5,2024-08-01,2024-08-15,14,2024-08-30,2024-08-14
PFC,IN004,I5,2024-09-01,2024-09-11,10,2024-09-30,2024-09-11
PFC,IN004,I5,2025-01-01,,,,
PFC,IN001,I1,2024-12-01,2024-12-12,11,2024-12-31,2024-12-12
PFC,IN004,I4,2025-01-01,,,,
PFC,IQ001,R1,2024-07-28,2024-08-12,15,2024-07-25,2024-07-14
PFC,IN004,I6,2025-01-01,,,,
PFC,BH001,B1,2024-08-30,2024-09-17,19,2024-08-23,2024-08-15
PFC,BH001,B1,2024-09-30,2024-10-16,17,2024-09-25,2024-09-17
PFC,IQ001,R2,2024-12-26,,,2024-12-24,2024-12-12
PFC,IQ001,R2,2024-09-26,2024-10-13,17,2024-09-25,2024-09-12
PFC,KW001,K2,2024-10-31,2024-11-14,15,2024-10-24,2024-10-16
PFC,DZ001,A1,2024-07-29,2024-08-13,15,2024-07-25,2024-07-14
PFC,DZ001,A1,2024-08-26,2024-09-13,18,2024-08-23,2024-08-12
PFC,DZ001,A1,2024-09-27,2024-10-15,18,2024-09-25,2024-09-12
PFC,DZ001,A1,2024-11-26,2024-12-12,16,2024-11-25,2024-11-13
PFC,QA001,Q1,2024-07-31,2024-08-15,16,2024-07-24,2024-07-15
PFC,QA001,Q1,2024-08-30,2024-09-17,19,2024-08-23,2024-08-15
PFC,QA001,Q1,2024-11-29,2024-12-16,18,2024-11-25,2024-11-14
PFC,QA001,Q1,2024-09-30,2024-10-16,17,2024-09-25,2024-09-17
PFC,QA001,Q1,2024-12-27,,,2024-12-24,2024-12-16
PFC,KW001,K2,2024-07-31,2024-08-15,16,2024-07-24,2024-07-15
PFC,KW001,K2,2024-09-30,2024-10-16,17,2024-09-25,2024-09-17
PFC,KW001,K2,2024-11-29,2024-12-16,18,2024-11-25,2024-11-14
PFC,KW001,K2,2024-12-27,,,2024-12-24,2024-12-16
PFC,IN004,I5,2025-01-01,,,,
PFC,IN002,I2,2025-01-01,,,,
PFC,BH001,B1,2024-07-31,2024-08-15,16,2024-07-24,2024-07-15
PFC,BH001,B1,2024-12-27,,,2024-12-24,2024-12-16
PFC,QA001,Q1,2024-10-31,2024-11-14,15,2024-10-24,2024-10-16
PFC,KW001,K1,2024-07-31,2024-08-15,16,2024-07-24,2024-07-15
PFC,KW001,K1,2024-08-30,2024-09-17,19,2024-08-23,2024-08-15
PFC,KW001,K1,2024-09-30,2024-10-16,17,2024-09-25,2024-09-17
PFC,KW001,K1,2024-10-31,2024-11-14,15,2024-10-24,2024-10-16
PFC,KW001,K1,2024-11-29,2024-12-16,18,2024-11-25,2024-11-14
PFC,KW001,K1,2024-12-27,,,2024-12-24,2024-12-16
PFC,OM001,O1,2024-08-30,2024-09-17,19,2024-08-23,2024-08-15
PFC,OM001,O1,2024-09-30,2024-10-16,17,2024-09-25,2024-09-17
PFC,OM001,O1,2024-10-31,2024-11-14,15,2024-10-24,2024-10-16
PFC,OM001,O1,2024-11-29,2024-12-16,18,2024-11-25,2024-11-14
PFC,OM001,O1,2024-12-27,,,2024-12-24,2024-12-16
PFC,OM001,O1,2024-07-31,2024-08-15,16,2024-07-24,2024-07-15
PFC,OM001,O2,2024-08-30,2024-09-17,19,2024-08-23,2024-08-15
PFC,OM001,O2,2024-10-31,2024-11-14,15,2024-10-24,2024-10-16
PFC,OM001,O2,2024-12-27,,,2024-12-24,2024-12-16
PFC,OM001,O2,2024-07-31,2024-08-15,16,2024-07-24,2024-07-15
PFC,OM001,O2,2024-09-30,2024-10-16,17,2024-09-25,2024-09-17
PFC,OM001,O2,2024-11-29,2024-12-16,18,2024-11-25,2024-11-14
PFC,SA001,S1,2024-07-31,2024-08-15,16,2024-07-24,2024-07-15
PFC,SA001,S1,2024-08-30,2024-09-17,19,2024-08-23,2024-08-15
PFC,SA001,S1,2024-09-30,2024-10-16,17,2024-09-25,2024-09-17
PFC,SA001,S1,2024-10-31,2024-11-14,15,2024-10-24,2024-10-16
PFC,SA001,S1,2024-11-29,2024-12-16,18,2024-11-25,2024-11-14
PFC,SA001,S1,2024-12-27,,,2024-12-24,2024-12-16
PFC,BH001,B1,2024-11-29,2024-12-16,18,2024-11-25,2024-11-14
PFC,BH001,B1,2024-10-31,2024-11-14,15,2024-10-24,2024-10-16
