GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
PRL,MO001,U1,2024-07-31,2024-08-20,21,2024-07-31,2024-07-21
PRL,MO001,U1,2024-10-31,2024-11-19,20,2024-10-31,2024-10-21
PRL,MY001,L1,2024-09-02,2024-09-11,9,2024-09-27,2024-09-11
PRL,MY001,L1,2024-09-30,2024-10-14,14,2024-09-27,2024-09-11
PRL,MY001,L1,2024-12-02,2024-12-11,9,2024-12-30,2024-12-11
PRL,MY001,L1,2024-12-31,,,2024-12-30,2024-12-11
PRL,MO001,U2,2024-10-08,2024-10-31,23,2024-11-07,2024-10-31
PRL,MO001,U2,2024-08-08,2024-09-01,25,2024-09-06,2024-09-01
PRL,MO001,U2,2024-09-07,2024-09-29,23,2024-10-07,2024-09-29
PRL,MO001,U2,2024-11-08,2024-12-01,24,2024-12-06,2024-12-01
PRL,MO001,U2,2024-12-07,2025-01-02,27,2025-01-07,2025-01-02
PRL,MO001,U2,2025-01-08,,,,
PRL,HK001,H1,2024-09-26,2024-10-15,19,2024-09-25,2024-09-12
PRL,HK002,H1,2024-09-26,2024-10-15,19,2024-09-25,2024-09-12
PRL,HK003,H1,2024-09-26,2024-10-15,19,2024-09-25,2024-09-12
PRL,HK001,H1,2024-11-26,2024-12-12,16,2024-11-25,2024-11-13
PRL,HK002,H1,2024-11-26,2024-12-12,16,2024-11-25,2024-11-13
PRL,HK003,H1,2024-11-26,2024-12-12,16,2024-11-25,2024-11-13
PRL,HK001,H1,2024-12-25,,,2024-12-24,2024-12-12
PRL,HK002,H1,2024-12-25,,,2024-12-24,2024-12-12
PRL,HK003,H1,2024-12-25,,,2024-12-24,2024-12-12
PRL,MO001,U1,2024-08-31,2024-09-18,19,2024-08-30,2024-08-20
PRL,MO001,U1,2024-09-30,2024-10-21,22,2024-09-30,2024-09-18
PRL,MO001,U1,2024-11-30,2024-12-17,18,2024-11-29,2024-11-19
PRL,MO001,U1,2024-12-31,,,2024-12-31,2024-12-17
PRL,MO001,U2,2025-01-08,,,,
PRL,HK001,H2,2024-07-25,2024-08-01,7,2024-08-07,2024-08-01
PRL,HK001,H2,2024-09-25,2024-10-02,7,2024-10-07,2024-10-02
PRL,HK001,H2,2024-10-25,2024-10-31,6,2024-11-07,2024-10-31
PRL,MY001,L1,2024-07-31,2024-08-12,12,2024-07-30,2024-07-12
PRL,MY001,L1,2024-10-31,2024-11-12,12,2024-10-30,2024-10-14
PRL,MO001,U1,2024-12-31,,,2024-12-31,2024-12-17
PRL,HK001,H2,2024-12-24,,,,
PRL,HK001,H2,2024-08-23,2024-09-02,10,2024-09-06,2024-09-02
PRL,HK001,H2,2024-11-25,2024-12-02,7,2024-12-06,2024-12-02
PRL,HK001,H2,2024-12-24,,,,
PRL,HK001,H1,2024-07-26,2024-08-13,18,2024-07-25,2024-07-18
PRL,HK002,H1,2024-07-26,2024-08-13,18,2024-07-25,2024-07-18
PRL,HK003,H1,2024-07-26,2024-08-13,18,2024-07-25,2024-07-18
PRL,HK001,H1,2024-08-26,2024-09-12,17,2024-08-23,2024-08-13
PRL,HK002,H1,2024-08-26,2024-09-12,17,2024-08-23,2024-08-13
PRL,HK003,H1,2024-08-26,2024-09-12,17,2024-08-23,2024-08-13
PRL,HK001,H1,2024-10-28,2024-11-13,16,2024-10-25,2024-10-15
PRL,HK002,H1,2024-10-28,2024-11-13,16,2024-10-25,2024-10-15
PRL,HK003,H1,2024-10-28,2024-11-13,16,2024-10-25,2024-10-15
PRL,SG001,R1,2024-07-26,2024-08-11,17,2024-07-30,2024-07-11
PRL,SG001,R1,2024-09-26,2024-10-13,18,2024-09-27,2024-09-10
PRL,SG001,R1,2024-10-28,2024-11-11,15,2024-10-30,2024-10-13
PRL,SG001,R1,2024-12-26,,,2024-12-30,2024-12-10
PRL,TW001,T1,2024-07-31,2024-08-20,20,2024-07-30,2024-07-19
PRL,TW001,T1,2024-11-29,2024-12-17,18,2024-11-28,2024-11-19
PRL,SG001,R1,2024-08-26,2024-09-10,16,2024-08-30,2024-08-11
PRL,SG001,R1,2024-11-26,2024-12-10,15,2024-11-29,2024-11-11
PRL,TW001,T1,2024-10-31,2024-11-19,19,2024-10-30,2024-10-21
PRL,TW001,T1,2024-12-31,,,2024-12-30,2024-12-17
PRL,TW001,T1,2024-08-30,2024-09-18,19,2024-08-29,2024-08-20
PRL,TW001,T1,2024-09-30,2024-10-21,21,2024-09-27,2024-09-18
