GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
RLH,AU001,Q5,2024-07-16,2024-08-08,24,2024-07-14,2024-07-08
RLH,AU001,Q5,2024-08-16,2024-09-08,24,2024-08-14,2024-08-08
RLH,AU001,Q5,2024-09-16,2024-10-08,22,2024-09-12,2024-09-08
RLH,AU001,Q5,2024-11-18,2024-12-08,21,2024-11-14,2024-11-10
RLH,AU001,Q5,2024-12-16,2025-01-08,24,2024-12-12,2024-12-08
RLH,AU001,Q5,2025-02-17,2025-03-09,21,2025-02-13,2025-02-09
RLH,AU001,Q5,2025-03-17,2025-04-08,23,2025-03-13,2025-03-09
RLH,AU001,Q5,2025-05-16,2025-06-05,21,2025-05-14,2025-05-08
RLH,AU001,Q5,2025-06-16,,,2025-06-12,2025-06-05
RLH,AU001,Q4,2024-12-20,2024-12-27,7,2025-01-01,2024-12-27
RLH,AU001,Q4,2025-05-09,2025-05-16,7,2025-05-21,2025-05-16
RLH,AU001,Q4,2025-05-23,2025-05-30,7,2025-06-04,2025-05-30
RLH,AU001,Q5,2025-04-16,2025-05-08,23,2025-04-14,2025-04-08
RLH,AU001,Q5,2024-10-16,2024-11-10,25,2024-10-14,2024-10-08
RLH,AU001,Q5,2025-01-16,2025-02-09,25,2025-01-14,2025-01-08
RLH,NZ001,N4,2024-07-30,2024-08-06,7,2024-07-28,2024-07-23
RLH,NZ001,N4,2024-08-13,2024-08-20,7,2024-08-11,2024-08-06
RLH,NZ001,N4,2024-09-10,2024-09-17,7,2024-09-08,2024-09-03
RLH,NZ001,N4,2024-09-24,2024-10-01,7,2024-09-22,2024-09-17
RLH,NZ001,N4,2024-10-22,2024-10-29,7,2024-10-20,2024-10-15
RLH,NZ001,N4,2024-11-19,2024-11-26,7,2024-11-17,2024-11-12
RLH,NZ001,N4,2024-12-17,2024-12-24,7,2024-12-15,2024-12-10
RLH,NZ001,N4,2025-01-14,2025-01-21,7,2025-01-12,2025-01-07
RLH,NZ001,N4,2025-01-28,2025-02-04,7,2025-01-26,2025-01-21
RLH,NZ001,N4,2025-02-25,2025-03-04,7,2025-02-23,2025-02-18
RLH,NZ001,N4,2025-03-11,2025-03-18,7,2025-03-09,2025-03-04
RLH,NZ001,N4,2025-03-25,,,2025-03-23,2025-03-18
RLH,AU001,Q4,2024-07-19,2024-07-26,7,2024-07-31,2024-07-26
RLH,AU001,Q4,2024-08-16,2024-08-23,7,2024-08-28,2024-08-23
RLH,AU001,Q4,2024-09-27,2024-10-04,7,2024-10-09,2024-10-04
RLH,AU001,Q4,2024-11-08,2024-11-15,7,2024-11-20,2024-11-15
RLH,AU001,Q4,2024-12-06,2024-12-13,7,2024-12-18,2024-12-13
RLH,AU001,Q4,2025-01-17,2025-01-24,7,2025-01-29,2025-01-24
RLH,AU001,Q4,2025-02-28,2025-03-07,7,2025-03-12,2025-03-07
RLH,AU001,Q4,2025-01-31,2025-02-07,7,2025-02-12,2025-02-07
RLH,AU001,Q4,2025-03-28,2025-04-04,7,2025-04-09,2025-04-04
RLH,AU001,Q4,2025-04-28,2025-05-02,4,2025-05-07,2025-05-02
RLH,AU001,Q4,2024-08-02,2024-08-09,7,2024-08-14,2024-08-09
RLH,AU001,Q4,2024-08-30,2024-09-06,7,2024-09-11,2024-09-06
RLH,AU001,Q4,2024-09-13,2024-09-20,7,2024-09-25,2024-09-20
RLH,AU001,Q4,2024-10-11,2024-10-18,7,2024-10-23,2024-10-18
RLH,AU001,Q4,2024-10-25,2024-11-01,7,2024-11-06,2024-11-01
RLH,AU001,Q4,2024-11-22,2024-11-29,7,2024-12-04,2024-11-29
RLH,AU001,Q4,2025-01-03,2025-01-10,7,2025-01-15,2025-01-10
RLH,AU001,Q4,2025-02-14,2025-02-21,7,2025-02-26,2025-02-21
RLH,AU001,Q4,2025-04-11,2025-04-18,7,2025-04-23,2025-04-18
RLH,AU001,Q4,2025-06-20,,,,
RLH,AU001,Q4,2025-03-14,2025-03-21,7,2025-03-26,2025-03-21
RLH,AU001,Q4,2025-06-06,2025-06-13,7,2025-06-18,2025-06-13
RLH,NZ001,N4,2024-07-16,2024-07-23,7,2024-07-14,2024-07-09
RLH,NZ001,N4,2024-08-27,2024-09-03,7,2024-08-25,2024-08-20
RLH,NZ001,N4,2024-10-08,2024-10-15,7,2024-10-06,2024-10-01
RLH,NZ001,N4,2024-11-05,2024-11-12,7,2024-11-03,2024-10-29
RLH,NZ001,N4,2024-12-03,2024-12-10,7,2024-12-01,2024-11-26
RLH,NZ001,N4,2024-12-31,2025-01-07,7,2024-12-29,2024-12-24
RLH,NZ001,N4,2025-02-11,2025-02-18,7,2025-02-09,2025-02-04
