GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
SBD,DE002,D2,2024-11-25,2024-12-09,14,2024-11-26,2024-11-12
SBD,DE003,D2,2024-11-25,2024-12-09,14,2024-11-26,2024-11-12
SBD,DE004,D2,2024-11-25,2024-12-09,14,2024-11-26,2024-11-12
SBD,DE006,D2,2024-11-25,2024-12-09,14,2024-11-26,2024-11-12
SBD,DE007,D2,2024-11-25,2024-12-09,14,2024-11-26,2024-11-12
SBD,DE008,D2,2024-11-25,2024-12-09,14,2024-11-26,2024-11-12
SBD,DE009,D2,2024-11-25,2024-12-09,14,2024-11-26,2024-11-12
SBD,DE011,D2,2024-11-25,2024-12-09,14,2024-11-26,2024-11-12
SBD,DE001,D2,2024-07-25,2024-08-13,19,2024-07-26,2024-07-12
SBD,DE002,D2,2024-07-25,2024-08-13,19,2024-07-26,2024-07-12
SBD,DE003,D2,2024-07-25,2024-08-13,19,2024-07-26,2024-07-12
SBD,DE004,D2,2024-07-25,2024-08-13,19,2024-07-26,2024-07-12
SBD,DE006,D2,2024-07-25,2024-08-13,19,2024-07-26,2024-07-12
SBD,DE007,D2,2024-07-25,2024-08-13,19,2024-07-26,2024-07-12
SBD,DE008,D2,2024-07-25,2024-08-13,19,2024-07-26,2024-07-12
SBD,DE009,D2,2024-07-25,2024-08-13,19,2024-07-26,2024-07-12
SBD,DE011,D2,2024-07-25,2024-08-13,19,2024-07-26,2024-07-12
SBD,DE001,D2,2024-08-26,2024-09-11,16,2024-08-27,2024-08-13
SBD,DE002,D2,2024-08-26,2024-09-11,16,2024-08-27,2024-08-13
SBD,DE003,D2,2024-08-26,2024-09-11,16,2024-08-27,2024-08-13
SBD,DE004,D2,2024-08-26,2024-09-11,16,2024-08-27,2024-08-13
SBD,DE006,D2,2024-08-26,2024-09-11,16,2024-08-27,2024-08-13
SBD,DE007,D2,2024-08-26,2024-09-11,16,2024-08-27,2024-08-13
SBD,DE008,D2,2024-08-26,2024-09-11,16,2024-08-27,2024-08-13
SBD,DE009,D2,2024-08-26,2024-09-11,16,2024-08-27,2024-08-13
SBD,DE011,D2,2024-08-26,2024-09-11,16,2024-08-27,2024-08-13
SBD,DE001,D2,2024-11-25,2024-12-09,14,2024-11-26,2024-11-12
SBD,DE001,D2,2024-10-25,2024-11-12,18,2024-10-28,2024-10-14
SBD,DE002,D2,2024-10-25,2024-11-12,18,2024-10-28,2024-10-14
SBD,DE003,D2,2024-10-25,2024-11-12,18,2024-10-28,2024-10-14
SBD,DE004,D2,2024-10-25,2024-11-12,18,2024-10-28,2024-10-14
SBD,DE006,D2,2024-10-25,2024-11-12,18,2024-10-28,2024-10-14
SBD,DE007,D2,2024-10-25,2024-11-12,18,2024-10-28,2024-10-14
SBD,DE008,D2,2024-10-25,2024-11-12,18,2024-10-28,2024-10-14
SBD,DE009,D2,2024-10-25,2024-11-12,18,2024-10-28,2024-10-14
SBD,DE011,D2,2024-10-25,2024-11-12,18,2024-10-28,2024-10-14
SBD,DE001,D2,2024-12-20,,,2024-12-23,2024-12-09
SBD,DE002,D2,2024-12-20,,,2024-12-23,2024-12-09
SBD,DE003,D2,2024-12-20,,,2024-12-23,2024-12-09
SBD,DE004,D2,2024-12-20,,,2024-12-23,2024-12-09
SBD,DE006,D2,2024-12-20,,,2024-12-23,2024-12-09
SBD,DE007,D2,2024-12-20,,,2024-12-23,2024-12-09
SBD,DE008,D2,2024-12-20,,,2024-12-23,2024-12-09
SBD,DE009,D2,2024-12-20,,,2024-12-23,2024-12-09
SBD,DE011,D2,2024-12-20,,,2024-12-23,2024-12-09
SBD,DE001,D2,2024-09-24,2024-10-14,20,2024-09-25,2024-09-11
SBD,DE002,D2,2024-09-24,2024-10-14,20,2024-09-25,2024-09-11
SBD,DE003,D2,2024-09-24,2024-10-14,20,2024-09-25,2024-09-11
SBD,DE004,D2,2024-09-24,2024-10-14,20,2024-09-25,2024-09-11
SBD,DE006,D2,2024-09-24,2024-10-14,20,2024-09-25,2024-09-11
SBD,DE007,D2,2024-09-24,2024-10-14,20,2024-09-25,2024-09-11
SBD,DE008,D2,2024-09-24,2024-10-14,20,2024-09-25,2024-09-11
SBD,DE009,D2,2024-09-24,2024-10-14,20,2024-09-25,2024-09-11
SBD,DE011,D2,2024-09-24,2024-10-14,20,2024-09-25,2024-09-11
SBD,FR001,F0,2024-12-30,,,2024-12-27,2024-12-17
SBD,FR002,F0,2024-12-30,,,2024-12-27,2024-12-17
SBD,FR013,F0,2024-12-30,,,2024-12-27,2024-12-17
SBD,FR014,F0,2024-12-30,,,2024-12-27,2024-12-17
SBD,FR015,F0,2024-12-30,,,2024-12-27,2024-12-17
SBD,FR016,F0,2024-12-30,,,2024-12-27,2024-12-17
SBD,FR017,F0,2024-12-30,,,2024-12-27,2024-12-17
SBD,FR018,F0,2024-12-30,,,2024-12-27,2024-12-17
SBD,FR020,F0,2024-12-30,,,2024-12-27,2024-12-17
SBD,FR022,F0,2024-12-30,,,2024-12-27,2024-12-17
SBD,FR024,F0,2024-12-30,,,2024-12-27,2024-12-17
SBD,FR026,F0,2024-12-30,,,2024-12-27,2024-12-17
SBD,FR029,F0,2024-12-30,,,2024-12-27,2024-12-17
SBD,FR001,F0,2024-07-30,2024-08-19,20,2024-07-29,2024-07-18
SBD,FR002,F0,2024-07-30,2024-08-19,20,2024-07-29,2024-07-18
SBD,FR013,F0,2024-07-30,2024-08-19,20,2024-07-29,2024-07-18
SBD,FR014,F0,2024-07-30,2024-08-19,20,2024-07-29,2024-07-18
SBD,FR015,F0,2024-07-30,2024-08-19,20,2024-07-29,2024-07-18
SBD,FR016,F0,2024-07-30,2024-08-19,20,2024-07-29,2024-07-18
SBD,FR017,F0,2024-07-30,2024-08-19,20,2024-07-29,2024-07-18
SBD,FR018,F0,2024-07-30,2024-08-19,20,2024-07-29,2024-07-18
SBD,FR020,F0,2024-07-30,2024-08-19,20,2024-07-29,2024-07-18
SBD,FR022,F0,2024-07-30,2024-08-19,20,2024-07-29,2024-07-18
SBD,FR024,F0,2024-07-30,2024-08-19,20,2024-07-29,2024-07-18
SBD,FR026,F0,2024-07-30,2024-08-19,20,2024-07-29,2024-07-18
SBD,FR029,F0,2024-07-30,2024-08-19,20,2024-07-29,2024-07-18
SBD,FR001,F0,2024-08-29,2024-09-17,19,2024-08-28,2024-08-19
SBD,FR002,F0,2024-08-29,2024-09-17,19,2024-08-28,2024-08-19
SBD,FR013,F0,2024-08-29,2024-09-17,19,2024-08-28,2024-08-19
SBD,FR014,F0,2024-08-29,2024-09-17,19,2024-08-28,2024-08-19
SBD,FR015,F0,2024-08-29,2024-09-17,19,2024-08-28,2024-08-19
SBD,FR016,F0,2024-08-29,2024-09-17,19,2024-08-28,2024-08-19
SBD,FR017,F0,2024-08-29,2024-09-17,19,2024-08-28,2024-08-19
SBD,FR018,F0,2024-08-29,2024-09-17,19,2024-08-28,2024-08-19
SBD,FR020,F0,2024-08-29,2024-09-17,19,2024-08-28,2024-08-19
SBD,FR022,F0,2024-08-29,2024-09-17,19,2024-08-28,2024-08-19
SBD,FR024,F0,2024-08-29,2024-09-17,19,2024-08-28,2024-08-19
SBD,FR026,F0,2024-08-29,2024-09-17,19,2024-08-28,2024-08-19
SBD,FR029,F0,2024-08-29,2024-09-17,19,2024-08-28,2024-08-19
SBD,FR001,F0,2024-11-28,2024-12-17,19,2024-11-27,2024-11-18
SBD,FR002,F0,2024-11-28,2024-12-17,19,2024-11-27,2024-11-18
SBD,FR013,F0,2024-11-28,2024-12-17,19,2024-11-27,2024-11-18
SBD,FR014,F0,2024-11-28,2024-12-17,19,2024-11-27,2024-11-18
SBD,FR015,F0,2024-11-28,2024-12-17,19,2024-11-27,2024-11-18
SBD,FR016,F0,2024-11-28,2024-12-17,19,2024-11-27,2024-11-18
SBD,FR017,F0,2024-11-28,2024-12-17,19,2024-11-27,2024-11-18
SBD,FR018,F0,2024-11-28,2024-12-17,19,2024-11-27,2024-11-18
SBD,FR020,F0,2024-11-28,2024-12-17,19,2024-11-27,2024-11-18
SBD,FR022,F0,2024-11-28,2024-12-17,19,2024-11-27,2024-11-18
SBD,FR024,F0,2024-11-28,2024-12-17,19,2024-11-27,2024-11-18
SBD,FR026,F0,2024-11-28,2024-12-17,19,2024-11-27,2024-11-18
SBD,FR029,F0,2024-11-28,2024-12-17,19,2024-11-27,2024-11-18
SBD,FR001,F0,2024-10-30,2024-11-18,19,2024-10-29,2024-10-18
SBD,FR002,F0,2024-10-30,2024-11-18,19,2024-10-29,2024-10-18
SBD,FR013,F0,2024-10-30,2024-11-18,19,2024-10-29,2024-10-18
SBD,FR014,F0,2024-10-30,2024-11-18,19,2024-10-29,2024-10-18
SBD,FR015,F0,2024-10-30,2024-11-18,19,2024-10-29,2024-10-18
SBD,FR016,F0,2024-10-30,2024-11-18,19,2024-10-29,2024-10-18
SBD,FR017,F0,2024-10-30,2024-11-18,19,2024-10-29,2024-10-18
SBD,FR018,F0,2024-10-30,2024-11-18,19,2024-10-29,2024-10-18
SBD,FR020,F0,2024-10-30,2024-11-18,19,2024-10-29,2024-10-18
SBD,FR022,F0,2024-10-30,2024-11-18,19,2024-10-29,2024-10-18
SBD,FR024,F0,2024-10-30,2024-11-18,19,2024-10-29,2024-10-18
SBD,FR026,F0,2024-10-30,2024-11-18,19,2024-10-29,2024-10-18
SBD,FR029,F0,2024-10-30,2024-11-18,19,2024-10-29,2024-10-18
SBD,FR001,F0,2024-09-27,2024-10-18,21,2024-09-26,2024-09-17
SBD,FR002,F0,2024-09-27,2024-10-18,21,2024-09-26,2024-09-17
SBD,FR013,F0,2024-09-27,2024-10-18,21,2024-09-26,2024-09-17
SBD,FR014,F0,2024-09-27,2024-10-18,21,2024-09-26,2024-09-17
SBD,FR015,F0,2024-09-27,2024-10-18,21,2024-09-26,2024-09-17
SBD,FR016,F0,2024-09-27,2024-10-18,21,2024-09-26,2024-09-17
SBD,FR017,F0,2024-09-27,2024-10-18,21,2024-09-26,2024-09-17
SBD,FR018,F0,2024-09-27,2024-10-18,21,2024-09-26,2024-09-17
SBD,FR020,F0,2024-09-27,2024-10-18,21,2024-09-26,2024-09-17
SBD,FR022,F0,2024-09-27,2024-10-18,21,2024-09-26,2024-09-17
SBD,FR024,F0,2024-09-27,2024-10-18,21,2024-09-26,2024-09-17
SBD,FR026,F0,2024-09-27,2024-10-18,21,2024-09-26,2024-09-17
SBD,FR029,F0,2024-09-27,2024-10-18,21,2024-09-26,2024-09-17
