GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
SED,NL001,N0,2024-07-25,2024-08-09,15,2024-07-24,2024-07-10
SED,NL001,N0,2024-08-26,2024-09-10,15,2024-08-23,2024-08-09
SED,NL001,N0,2024-09-25,2024-10-10,15,2024-09-24,2024-09-10
SED,NL001,N0,2024-10-25,2024-11-08,14,2024-10-24,2024-10-10
SED,NL001,N0,2024-11-25,2024-12-06,11,2024-11-22,2024-11-08
SED,NL001,N0,2024-12-23,,,2024-12-20,2024-12-06
SED,IE001,IE,2024-08-01,2024-08-13,13,2024-08-23,2024-08-13
SED,IE001,IE,2024-11-02,2024-11-13,12,2024-11-25,2024-11-13
SED,NL002,N1,2024-08-26,2024-09-10,15,2024-08-23,2024-08-09
SED,NL002,N1,2024-09-25,2024-10-10,15,2024-09-24,2024-09-10
SED,NL002,N1,2024-10-25,2024-11-08,14,2024-10-24,2024-10-10
SED,NL002,N1,2024-12-23,,,2024-12-20,2024-12-06
SED,IE001,IE,2024-08-30,2024-09-13,15,2024-08-23,2024-08-13
SED,IE001,IE,2024-10-02,2024-10-15,14,2024-10-25,2024-10-15
SED,IE001,IE,2024-11-30,2024-12-03,4,2024-11-25,2024-11-13
SED,IE001,IE,2024-12-25,,,2024-12-13,2024-12-03
SED,NL002,N1,2024-07-25,2024-08-09,15,2024-07-24,2024-07-10
SED,NL002,N1,2024-11-25,2024-12-06,11,2024-11-22,2024-11-08
