GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
SFY,GB003,G3,2024-08-28,2024-09-09,13,2024-08-23,2024-08-09
SFY,CN001,CA,2024-08-31,2024-09-20,20,2024-08-29,2024-08-21
SFY,GB003,G3,2024-10-29,2024-11-07,10,2024-10-25,2024-10-08
SFY,GB003,G3,2025-01-28,2025-02-11,15,2025-01-24,2025-01-10
SFY,JP001,J1,2024-09-26,2024-10-08,13,2024-09-25,2024-09-05
SFY,GB002,G2,2024-08-28,2024-09-09,13,2024-08-23,2024-08-09
SFY,GB002,G2,2024-09-27,2024-10-09,13,2024-09-25,2024-09-08
SFY,GB002,G2,2024-11-27,2024-12-05,9,2024-11-25,2024-11-07
SFY,GB002,G2,2024-12-24,2025-01-10,18,2024-12-20,2024-12-05
SFY,GB002,G2,2025-02-27,2025-03-11,13,2025-02-25,2025-02-11
SFY,GB002,G2,2025-03-27,,,2025-03-25,2025-03-11
SFY,MY002,M2,2024-07-26,2024-08-13,18,2024-07-25,2024-07-15
SFY,MY002,M2,2024-09-26,2024-10-16,20,2024-09-25,2024-09-11
SFY,MY002,M2,2024-10-28,2024-11-13,17,2024-10-25,2024-10-15
SFY,MY002,M2,2024-12-26,,,2024-12-20,2024-12-09
SFY,MY002,M2,2024-08-27,2024-09-12,16,2024-08-23,2024-08-12
SFY,MY002,M2,2024-11-26,2024-12-09,14,2024-11-25,2024-11-13
SFY,CN004,CD,2024-12-31,,,2024-12-30,2024-12-20
SFY,GB003,G3,2024-07-27,2024-08-09,14,2024-07-25,2024-07-08
SFY,GB001,G1,2024-07-27,2024-08-09,14,2024-07-25,2024-07-08
SFY,GB001,G1,2024-09-27,2024-10-09,13,2024-09-25,2024-09-08
SFY,GB001,G1,2024-10-29,2024-11-07,10,2024-10-25,2024-10-08
SFY,GB001,G1,2024-12-24,2025-01-10,18,2024-12-20,2024-12-05
SFY,GB001,G1,2025-03-27,,,2025-03-25,2025-03-11
SFY,JP001,J1,2024-10-28,2024-11-07,11,2024-10-25,2024-10-08
SFY,JP001,J1,2024-12-26,,,2024-12-25,2024-12-09
SFY,GB003,G3,2025-02-27,2025-03-11,13,2025-02-25,2025-02-11
SFY,TH003,T3,2024-12-26,,,2024-12-25,2024-12-12
