GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
SGR,AU416,A1,2024-09-16,2024-10-08,22,2024-09-13,2024-09-06
SGR,AU416,A1,2024-10-16,2024-11-08,23,2024-10-15,2024-10-08
SGR,AU416,A1,2024-12-16,,,2024-12-13,2024-12-06
SGR,AU416,A2,2024-11-21,2024-12-02,11,2024-12-03,2024-12-02
SGR,AU416,A2,2024-07-04,2024-07-15,11,2024-07-16,2024-07-15
SGR,AU416,A2,2024-08-01,2024-08-12,11,2024-08-13,2024-08-12
SGR,AU416,A2,2024-10-24,2024-11-04,11,2024-11-05,2024-11-04
SGR,AU416,A2,2024-12-19,2024-12-27,8,2024-12-30,2024-12-27
SGR,AU416,A2,2024-12-05,2024-12-16,11,2024-12-17,2024-12-16
SGR,NZ416,N1,2025-03-26,,,,
SGR,NZ416,N1,2025-03-26,,,,
SGR,NZ416,N1,2025-03-26,,,,
SGR,AU416,A2,2024-11-07,2024-11-18,11,2024-11-19,2024-11-18
SGR,NZ416,N1,2025-03-27,,,,
SGR,NZ416,N1,2025-03-27,,,,
SGR,AU416,A2,2024-09-12,2024-09-23,11,2024-09-24,2024-09-23
SGR,AU416,A2,2024-09-26,2024-10-07,11,2024-10-08,2024-10-07
SGR,AU416,A2,2024-10-10,2024-10-21,11,2024-10-22,2024-10-21
SGR,NZ416,N1,2025-03-27,,,,
SGR,NZ416,N1,2024-07-18,2024-07-29,12,2024-07-31,2024-07-29
SGR,NZ416,N1,2024-08-01,2024-08-12,12,2024-08-14,2024-08-12
SGR,NZ416,N1,2024-08-29,2024-09-09,12,2024-09-11,2024-09-09
SGR,NZ416,N1,2024-09-12,2024-09-23,12,2024-09-25,2024-09-23
SGR,NZ416,N1,2024-09-26,2024-10-07,12,2024-10-09,2024-10-07
SGR,NZ416,N1,2024-10-10,2024-10-21,12,2024-10-23,2024-10-21
SGR,NZ416,N1,2024-10-24,2024-11-04,12,2024-11-06,2024-11-04
SGR,NZ416,N1,2024-11-21,2024-12-02,12,2024-12-04,2024-12-02
SGR,NZ416,N1,2024-12-05,2024-12-16,12,2024-12-18,2024-12-16
SGR,NZ416,N1,2025-01-02,2025-01-13,12,2025-01-15,2025-01-13
SGR,NZ416,N1,2025-01-16,2025-01-27,12,2025-01-29,2025-01-27
SGR,NZ416,N1,2025-02-13,2025-02-24,12,2025-02-26,2025-02-24
SGR,NZ416,N1,2025-02-27,2025-03-10,12,2025-03-12,2025-03-10
SGR,NZ416,N1,2025-03-27,,,,
SGR,NZ416,N1,2025-03-27,,,,
SGR,AU416,A2,2024-07-18,2024-07-29,11,2024-07-30,2024-07-29
SGR,AU416,A2,2024-08-15,2024-08-26,11,2024-08-27,2024-08-26
SGR,AU416,A2,2024-08-29,2024-09-09,11,2024-09-10,2024-09-09
SGR,NZ416,N1,2025-03-23,2025-03-23,1,2025-03-26,2025-03-24
SGR,NZ416,N1,2024-08-15,2024-08-26,12,2024-08-28,2024-08-26
SGR,NZ416,N1,2024-11-07,2024-11-18,12,2024-11-20,2024-11-18
SGR,NZ416,N1,2024-12-19,2024-12-30,12,2025-01-01,2024-12-30
SGR,NZ416,N1,2025-01-30,2025-02-10,12,2025-02-12,2025-02-10
SGR,NZ416,N1,2025-03-13,2025-03-23,10,2025-03-26,2025-03-24
SGR,NZ416,N1,2025-03-26,,,,
SGR,NZ416,N1,2025-03-23,2025-03-23,1,2025-03-26,2025-03-24
SGR,AU416,A2,2025-01-02,,,,
SGR,AU416,A2,2025-01-02,,,,
SGR,AU416,A1,2024-07-16,2024-08-08,23,2024-07-15,2024-07-08
SGR,AU416,A1,2024-08-16,2024-09-06,21,2024-08-15,2024-08-08
SGR,AU416,A1,2024-11-18,2024-12-06,18,2024-11-15,2024-11-08
SGR,NZ416,N1,2025-03-23,2025-03-23,1,2025-03-26,2025-03-24
SGR,NZ416,N1,2025-03-27,,,,
SGR,NZ416,N1,2025-03-27,,,,
