GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
SOL,TH001,TA,2024-09-26,2024-10-09,14,2024-09-25,2024-09-11
SOL,TH002,TA,2024-09-26,2024-10-09,14,2024-09-25,2024-09-11
SOL,TH003,TA,2024-09-26,2024-10-09,14,2024-09-25,2024-09-11
SOL,TH004,TA,2024-09-26,2024-10-09,14,2024-09-25,2024-09-11
SOL,TH001,TA,2024-12-26,,,2024-12-25,2024-12-11
SOL,TH002,TA,2024-12-26,,,2024-12-25,2024-12-11
SOL,DE002,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE003,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE004,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE005,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE006,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE007,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE008,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE009,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE010,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE011,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE012,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE013,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE014,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE015,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE016,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE017,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE018,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE019,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
SOL,DE020,90,2024-10-22,2024-11-14,24,2024-10-25,2024-10-15
