GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
SRT,IN340,D1,2024-09-01,2024-09-15,15,2024-09-30,2024-09-15
SRT,IN510,D2,2024-08-01,2024-08-16,15,,
SRT,IN510,D2,2024-09-01,2024-09-15,15,2024-09-30,2024-09-15
SRT,IN510,D2,2024-10-01,2024-10-15,15,2024-10-30,2024-10-15
SRT,IN510,D2,2024-11-01,2024-11-14,14,2024-11-29,2024-11-14
SRT,NL230,N0,2024-10-25,2024-11-15,21,2024-10-29,2024-10-16
SRT,NL380,N1,2024-08-27,2024-09-16,20,2024-08-29,2024-08-16
SRT,NL380,N1,2024-10-25,2024-11-15,21,2024-10-29,2024-10-16
SRT,IN510,D2,2024-12-01,2024-12-15,15,2024-12-31,2024-12-15
SRT,IN510,D2,2025-01-01,,,,
SRT,IT290,T1,2024-11-05,2024-11-19,14,2024-12-02,2024-11-18
SRT,IT290,T1,2025-01-03,,,,
SRT,IN510,D2,2025-01-01,,,,
SRT,IN510,D2,2025-01-01,,,,
SRT,IN340,D1,2025-01-01,,,,
SRT,CA220,C0,2024-09-14,2024-09-19,6,2024-09-13,2024-09-05
SRT,HU030,H1,2024-09-03,2024-09-20,17,2024-10-02,2024-09-20
SRT,HU030,H1,2024-08-05,2024-08-21,16,2024-09-02,2024-08-21
SRT,AT001,A0,2024-07-30,2024-08-16,17,2024-07-29,2024-07-17
SRT,AT001,A0,2024-09-27,2024-10-17,20,2024-09-26,2024-09-16
SRT,AT001,A0,2024-10-30,2024-11-15,16,2024-10-29,2024-10-17
SRT,AT001,A0,2024-12-23,,,2024-12-20,2024-12-10
SRT,US005,U2,2024-07-25,2024-07-28,3,2024-08-01,2024-07-28
SRT,US001,U2,2024-08-08,2024-08-11,3,2024-08-15,2024-08-11
SRT,US002,U2,2024-08-08,2024-08-11,3,2024-08-15,2024-08-11
SRT,US003,U2,2024-08-08,2024-08-11,3,2024-08-15,2024-08-11
SRT,US004,U2,2024-08-08,2024-08-11,3,2024-08-15,2024-08-11
SRT,US005,U2,2024-08-08,2024-08-11,3,2024-08-15,2024-08-11
SRT,US001,U2,2024-10-24,2024-10-27,3,2024-10-31,2024-10-27
SRT,US002,U2,2024-10-24,2024-10-27,3,2024-10-31,2024-10-27
SRT,US003,U2,2024-10-24,2024-10-27,3,2024-10-31,2024-10-27
SRT,US004,U2,2024-10-24,2024-10-27,3,2024-10-31,2024-10-27
SRT,US005,U2,2024-10-24,2024-10-27,3,2024-10-31,2024-10-27
SRT,US001,U2,2024-12-26,,,,
SRT,US002,U2,2024-12-26,,,,
SRT,US003,U2,2024-12-26,,,,
SRT,US004,U2,2024-12-26,,,,
SRT,US005,U2,2024-12-26,,,,
SRT,HU920,H2,2024-10-03,2024-10-21,18,2024-11-04,2024-10-21
SRT,HU920,H2,2025-01-06,,,,
SRT,FR003,F3,2024-08-01,2024-08-19,18,2024-08-30,2024-08-19
SRT,GB520,G7,2024-10-01,2024-10-15,15,2024-10-25,2024-10-15
SRT,FR003,F3,2025-01-02,,,,
SRT,AT002,A1,2024-07-30,2024-08-16,17,2024-07-29,2024-07-17
SRT,AT002,A1,2024-12-23,,,2024-12-20,2024-12-10
SRT,AT002,A1,2024-08-29,2024-09-16,18,2024-08-28,2024-08-16
SRT,AT002,A1,2024-09-27,2024-10-17,20,2024-09-26,2024-09-16
SRT,AT002,A1,2024-10-30,2024-11-15,16,2024-10-29,2024-10-17
SRT,AT002,A1,2024-11-28,2024-12-10,12,2024-11-27,2024-11-15
SRT,CA220,C0,2024-08-16,2024-08-22,7,2024-08-15,2024-08-07
SRT,CA220,C0,2024-11-01,2024-11-07,7,2024-10-31,2024-10-23
SRT,CA220,C0,2024-11-30,2024-12-05,6,2024-11-29,2024-11-21
SRT,US001,U2,2024-07-25,2024-07-28,3,2024-08-01,2024-07-28
SRT,US002,U2,2024-07-25,2024-07-28,3,2024-08-01,2024-07-28
SRT,US003,U2,2024-07-25,2024-07-28,3,2024-08-01,2024-07-28
SRT,US004,U2,2024-07-25,2024-07-28,3,2024-08-01,2024-07-28
SRT,HU030,H1,2024-10-03,2024-10-21,18,2024-11-04,2024-10-21
SRT,PL930,L1,2024-11-30,2024-12-11,12,2024-11-28,2024-11-19
SRT,HU030,H1,2024-12-03,2024-12-16,13,2025-01-03,2024-12-16
SRT,GB520,G7,2024-07-30,2024-08-15,17,2024-07-26,2024-07-16
SRT,GB520,G7,2024-11-30,2024-12-10,11,2024-11-28,2024-11-18
SRT,GB520,G7,2025-01-30,2025-02-18,20,2025-01-28,2025-01-16
SRT,GB520,G7,2025-03-04,2025-03-18,15,2025-03-28,2025-03-18
SRT,GB520,G7,2025-04-01,,,,
SRT,HU920,H2,2024-11-05,2024-11-20,15,2024-12-02,2024-11-20
SRT,US001,U2,2024-10-11,2024-10-13,2,2024-10-17,2024-10-13
SRT,US002,U2,2024-10-11,2024-10-13,2,2024-10-17,2024-10-13
SRT,US003,U2,2024-10-11,2024-10-13,2,2024-10-17,2024-10-13
SRT,US004,U2,2024-10-11,2024-10-13,2,2024-10-17,2024-10-13
SRT,US005,U2,2024-10-11,2024-10-13,2,2024-10-17,2024-10-13
SRT,US001,U4,2024-08-01,2024-08-11,10,2024-08-15,2024-08-11
SRT,US002,U4,2024-08-01,2024-08-11,10,2024-08-15,2024-08-11
SRT,US003,U4,2024-08-01,2024-08-11,10,2024-08-15,2024-08-11
SRT,US004,U4,2024-08-01,2024-08-11,10,2024-08-15,2024-08-11
SRT,US005,U4,2024-08-01,2024-08-11,10,2024-08-15,2024-08-11
SRT,US001,U4,2024-08-15,2024-08-25,10,2024-08-29,2024-08-25
SRT,US002,U4,2024-08-15,2024-08-25,10,2024-08-29,2024-08-25
SRT,US003,U4,2024-08-15,2024-08-25,10,2024-08-29,2024-08-25
SRT,US004,U4,2024-08-15,2024-08-25,10,2024-08-29,2024-08-25
SRT,US005,U4,2024-08-15,2024-08-25,10,2024-08-29,2024-08-25
SRT,US001,U4,2024-09-26,2024-10-06,10,2024-10-10,2024-10-06
SRT,US002,U4,2024-09-26,2024-10-06,10,2024-10-10,2024-10-06
SRT,US004,U4,2024-09-26,2024-10-06,10,2024-10-10,2024-10-06
SRT,US005,U4,2024-09-26,2024-10-06,10,2024-10-10,2024-10-06
SRT,US001,U4,2024-10-26,2024-10-28,2,2024-11-07,2024-10-28
SRT,US002,U4,2024-10-26,2024-10-28,2,2024-11-07,2024-10-28
SRT,US003,U4,2024-09-26,2024-10-06,10,2024-10-10,2024-10-06
SRT,US003,U4,2024-10-26,2024-10-28,2,2024-11-07,2024-10-28
SRT,US004,U4,2024-10-26,2024-10-28,2,2024-11-07,2024-10-28
SRT,US005,U4,2024-10-26,2024-10-28,2,2024-11-07,2024-10-28
SRT,GB360,G5,2024-10-01,2024-10-15,15,2024-10-25,2024-10-15
SRT,GB360,G5,2024-10-29,2024-11-18,21,2024-10-25,2024-10-15
SRT,GB360,G5,2024-12-24,2025-01-16,24,2024-12-20,2024-12-10
SRT,GB130,G6,2025-04-01,,,,
SRT,IN340,D1,2024-12-01,2024-12-15,15,2024-12-31,2024-12-15
SRT,GB130,G6,2025-03-04,2025-03-18,15,2025-03-28,2025-03-18
SRT,HU920,H2,2024-09-03,2024-09-20,17,2024-10-02,2024-09-20
SRT,GB660,G8,2024-07-30,2024-08-15,17,2024-07-26,2024-07-16
SRT,GB660,G8,2024-08-30,2024-09-17,19,2024-08-28,2024-08-15
SRT,GB660,G8,2024-10-29,2024-11-18,21,2024-10-25,2024-10-15
SRT,GB660,G8,2025-01-30,2025-02-18,20,2025-01-28,2025-01-16
SRT,GB660,G8,2025-03-04,2025-03-18,15,2025-03-28,2025-03-18
SRT,CA220,C0,2024-11-16,2024-11-21,6,2024-11-15,2024-11-07
SRT,CA220,C0,2024-12-27,,,2024-12-31,2024-12-18
SRT,ES001,E1,2024-09-27,2024-10-18,21,2024-09-26,2024-09-19
SRT,ES001,E1,2024-10-28,2024-11-19,22,2024-10-25,2024-10-18
SRT,ES001,E1,2024-11-27,2024-12-17,20,2024-11-26,2024-11-19
SRT,PL930,L1,2024-08-31,2024-09-18,19,2024-08-29,2024-08-19
SRT,HU030,H1,2024-11-05,2024-11-20,15,2024-12-02,2024-11-20
SRT,IN340,D1,2024-08-01,2024-08-16,15,,
SRT,ES001,E1,2024-07-29,2024-08-19,21,2024-07-26,2024-07-18
SRT,ES001,E1,2024-08-27,2024-09-19,23,2024-08-26,2024-08-19
SRT,ES001,E1,2024-12-27,,,2024-12-26,2024-12-17
SRT,GB360,G5,2024-07-30,2024-08-15,17,2024-07-26,2024-07-16
SRT,GB360,G5,2024-08-30,2024-09-17,19,2024-08-28,2024-08-15
SRT,GB360,G5,2024-11-30,2024-12-10,11,2024-11-28,2024-11-18
SRT,GB360,G5,2025-01-30,2025-02-18,20,2025-01-28,2025-01-16
SRT,GB360,G5,2025-03-04,2025-03-18,15,2025-03-28,2025-03-18
SRT,GB360,G5,2025-04-01,,,,
SRT,FR003,F3,2024-10-01,2024-10-17,16,2024-10-31,2024-10-17
SRT,FR004,F4,2024-09-02,2024-09-16,14,2024-09-30,2024-09-16
SRT,IN510,D2,2025-01-01,,,,
SRT,US001,U4,2024-11-09,2024-11-21,13,2024-11-21,2024-11-08
SRT,US002,U4,2024-11-09,2024-11-21,13,2024-11-21,2024-11-08
SRT,IT290,T1,2024-10-02,2024-10-21,19,2024-11-04,2024-10-20
SRT,IN510,D2,2025-01-01,,,,
SRT,FR005,F5,2024-09-02,2024-09-16,14,2024-09-30,2024-09-16
SRT,FR005,F5,2025-01-02,,,,
SRT,IN340,D1,2024-11-01,2024-11-14,14,2024-11-29,2024-11-14
SRT,CA220,C0,2024-07-30,2024-08-07,9,2024-07-31,2024-07-23
SRT,US003,U4,2024-11-09,2024-11-21,13,2024-11-21,2024-11-08
SRT,US004,U4,2024-11-09,2024-11-21,13,2024-11-21,2024-11-08
SRT,US005,U4,2024-11-09,2024-11-21,13,2024-11-21,2024-11-08
SRT,US001,U4,2024-11-23,2024-12-09,17,2024-12-05,2024-11-21
SRT,US002,U4,2024-11-23,2024-12-09,17,2024-12-05,2024-11-21
SRT,US003,U4,2024-11-23,2024-12-09,17,2024-12-05,2024-11-21
SRT,US004,U4,2024-11-23,2024-12-09,17,2024-12-05,2024-11-21
SRT,US005,U4,2024-11-23,2024-12-09,17,2024-12-05,2024-11-21
SRT,US001,U4,2024-12-07,2024-12-09,3,2024-12-19,2024-12-09
SRT,US002,U4,2024-12-07,2024-12-09,3,2024-12-19,2024-12-09
SRT,US003,U4,2024-12-07,2024-12-09,3,2024-12-19,2024-12-09
SRT,IT290,T1,2024-12-03,2024-12-18,15,2025-01-02,2024-12-17
SRT,US004,U4,2024-12-07,2024-12-09,3,2024-12-19,2024-12-09
SRT,US005,U4,2024-12-07,2024-12-09,3,2024-12-19,2024-12-09
SRT,US001,U4,2024-12-21,,,,
SRT,US002,U4,2024-12-21,,,,
SRT,US003,U4,2024-12-21,,,,
SRT,US004,U4,2024-12-21,,,,
SRT,US005,U4,2024-12-21,,,,
SRT,CA220,C0,2024-08-31,2024-09-05,6,2024-08-30,2024-08-22
SRT,IE480,I1,2024-08-29,2024-09-17,19,2024-08-28,2024-08-15
SRT,IE480,I1,2024-09-30,2024-10-15,15,2024-09-27,2024-09-17
SRT,IE480,I1,2024-11-29,2024-12-10,11,2024-11-28,2024-11-18
