GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
VES,PL001,P6,2024-11-09,2024-12-02,24,2024-11-08,2024-10-31
VES,PL003,95,2024-09-11,2024-10-02,21,2024-09-10,2024-09-02
VES,PL001,P5,2024-08-01,2024-08-19,19,2024-08-30,2024-08-19
VES,PL001,P5,2024-08-31,2024-09-17,18,2024-08-30,2024-08-19
VES,PL001,P5,2024-10-01,2024-10-18,18,2024-10-31,2024-10-18
VES,PL003,92,2024-08-12,2024-09-02,21,2024-08-09,2024-08-02
VES,PL003,92,2024-09-11,2024-10-02,21,2024-09-10,2024-09-02
VES,PL003,95,2024-08-12,2024-09-02,21,2024-08-09,2024-08-02
VES,PL001,P5,2024-11-01,2024-11-15,15,2024-11-29,2024-11-15
VES,PL001,P5,2024-11-30,2024-12-12,13,2024-11-29,2024-11-15
VES,PL001,P5,2024-12-31,,,2024-12-30,2024-12-12
VES,PL003,92,2024-10-11,2024-10-31,20,2024-10-10,2024-10-02
VES,PL003,92,2024-11-12,2024-12-02,20,2024-11-08,2024-10-31
VES,PL003,92,2024-12-11,,,2024-12-10,2024-12-02
VES,DE001,D2,2024-09-23,2024-10-14,22,2024-09-24,2024-09-12
VES,DE002,D2,2024-09-23,2024-10-14,22,2024-09-24,2024-09-12
VES,DE003,D2,2024-09-23,2024-10-14,22,2024-09-24,2024-09-12
VES,DE004,D2,2024-09-23,2024-10-14,22,2024-09-24,2024-09-12
VES,PL002,P7,2024-08-31,2024-09-17,18,2024-08-30,2024-08-19
VES,PL002,P7,2024-10-01,2024-10-18,18,2024-10-31,2024-10-18
VES,PL001,P6,2024-09-11,2024-10-02,22,2024-09-10,2024-09-02
VES,PL001,P6,2024-12-11,,,2024-12-10,2024-12-02
VES,PL001,P6,2024-10-11,2024-10-31,21,2024-10-10,2024-10-02
VES,PL003,95,2024-10-11,2024-10-31,20,2024-10-10,2024-10-02
VES,PL002,P7,2024-08-01,2024-08-19,19,2024-08-30,2024-08-19
VES,PL002,P7,2024-11-01,2024-11-15,15,2024-11-29,2024-11-15
VES,PL002,P7,2024-11-30,2024-12-12,13,2024-11-29,2024-11-15
VES,PL002,P7,2024-12-31,,,2024-12-30,2024-12-12
VES,PL001,P6,2024-08-10,2024-09-02,24,2024-08-09,2024-08-02
VES,PL003,95,2024-11-12,2024-12-02,20,2024-11-08,2024-10-31
VES,PL003,95,2024-12-11,,,2024-12-10,2024-12-02
VES,MX001,MX,2024-09-14,2024-10-02,19,2024-09-12,2024-09-02
VES,MX002,MX,2024-09-14,2024-10-02,19,2024-09-12,2024-09-02
VES,MX001,MX,2024-09-28,2024-10-02,5,2024-09-26,2024-09-13
VES,MX002,MX,2024-09-28,2024-10-02,5,2024-09-26,2024-09-13
VES,MX001,MX,2024-10-31,2024-11-05,6,2024-10-29,2024-10-17
VES,MX002,MX,2024-10-31,2024-11-05,6,2024-10-29,2024-10-17
VES,MX001,MX,2024-11-20,2024-12-02,13,2024-11-28,2024-11-15
VES,MX002,MX,2024-11-20,2024-12-02,13,2024-11-28,2024-11-15
VES,MX001,MX,2024-12-17,,,2024-12-26,2024-12-11
VES,MX002,MX,2024-12-17,,,2024-12-26,2024-12-11
VES,MX001,MX,2024-12-28,,,2024-12-26,2024-12-11
VES,MX002,MX,2024-12-28,,,2024-12-26,2024-12-11
VES,NI001,NI,2024-07-31,2024-08-15,15,2024-07-29,2024-07-12
VES,NI001,NI,2024-08-31,2024-09-13,13,2024-08-29,2024-08-15
VES,NI001,NI,2024-10-30,2024-11-14,15,2024-10-28,2024-10-15
VES,NI001,NI,2024-11-29,2024-12-07,8,2024-11-27,2024-11-14
VES,CV001,CV,2024-08-26,2024-09-12,17,2024-08-23,2024-08-11
VES,NI001,NI,2024-10-01,2024-10-15,14,2024-09-27,2024-09-13
VES,NI001,NI,2024-12-25,,,2024-12-23,2024-12-07
VES,MX001,MX,2024-07-16,2024-07-16,1,2024-07-12,2024-07-02
VES,MX002,MX,2024-07-16,2024-07-16,1,2024-07-12,2024-07-02
VES,CV001,CV,2024-12-24,,,2024-12-23,2024-12-10
VES,MX001,MX,2024-08-31,2024-09-02,3,2024-08-29,2024-08-16
VES,MX002,MX,2024-08-31,2024-09-02,3,2024-08-29,2024-08-16
VES,CV001,CV,2024-09-25,2024-10-15,20,2024-09-24,2024-09-11
VES,DE001,D2,2024-11-22,2024-12-10,19,2024-11-25,2024-11-12
VES,DE002,D2,2024-11-22,2024-12-10,19,2024-11-25,2024-11-12
VES,DE003,D2,2024-11-22,2024-12-10,19,2024-11-25,2024-11-12
VES,DE004,D2,2024-11-22,2024-12-10,19,2024-11-25,2024-11-12
VES,DE004,D2,2024-10-23,2024-11-12,21,2024-10-24,2024-10-14
VES,DE001,D2,2024-12-19,,,2024-12-20,2024-12-10
VES,DE002,D2,2024-12-19,,,2024-12-20,2024-12-10
VES,DE003,D2,2024-12-19,,,2024-12-20,2024-12-10
VES,DE004,D2,2024-12-19,,,2024-12-20,2024-12-10
VES,DE001,D2,2024-10-23,2024-11-12,21,2024-10-24,2024-10-14
VES,DE002,D2,2024-10-23,2024-11-12,21,2024-10-24,2024-10-14
VES,DE003,D2,2024-10-23,2024-11-12,21,2024-10-24,2024-10-14
VES,AR001,AR,2024-08-31,2024-09-18,19,2024-08-29,2024-08-20
VES,AR001,AR,2024-11-30,2024-12-11,12,2024-11-28,2024-11-15
VES,CV001,CV,2024-07-26,2024-08-12,17,2024-07-24,2024-07-11
VES,CV001,CV,2024-10-28,2024-11-12,16,2024-10-25,2024-10-14
VES,PE001,PE,2024-08-01,2024-08-15,14,2024-07-30,2024-07-13
