GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
WEC,ES004,E4,2024-11-29,2024-12-12,13,2024-11-29,2024-11-18
WEC,ES001,ES,2024-08-29,2024-09-16,18,2024-08-29,2024-08-16
WEC,ES002,ES,2024-08-29,2024-09-16,18,2024-08-29,2024-08-16
WEC,ES004,E4,2024-12-27,,,2024-12-27,2024-12-12
WEC,SK001,SK,2024-08-09,2024-08-28,19,2024-09-09,2024-08-28
WEC,SK001,SK,2024-09-10,2024-10-01,21,2024-10-10,2024-10-01
WEC,SK001,SK,2024-10-11,2024-10-29,18,2024-11-08,2024-10-29
WEC,SK001,SK,2024-11-11,2024-11-28,17,2024-12-09,2024-11-28
WEC,SK001,SK,2024-12-10,2024-12-27,17,2025-01-10,2024-12-27
WEC,SK001,SK,2025-01-13,,,,
WEC,JP001,JP,2024-08-21,2024-09-03,14,2024-08-20,2024-07-31
WEC,JP001,JP,2024-09-24,2024-10-01,8,2024-09-20,2024-09-03
WEC,JP001,JP,2024-10-21,2024-11-04,14,2024-10-18,2024-10-01
WEC,ES004,E4,2024-07-29,2024-08-16,18,2024-07-29,2024-07-16
WEC,ES004,E4,2024-08-29,2024-09-16,18,2024-08-29,2024-08-16
WEC,ES004,E4,2024-09-27,2024-10-15,18,2024-09-27,2024-09-16
WEC,ES004,E4,2024-10-28,2024-11-18,21,2024-10-28,2024-10-15
WEC,ES001,ES,2024-10-28,2024-11-18,21,2024-10-28,2024-10-15
WEC,ES002,ES,2024-10-28,2024-11-18,21,2024-10-28,2024-10-15
WEC,GB001,G3,2024-07-17,2024-08-02,17,2024-07-15,2024-07-02
WEC,GB001,G3,2025-02-18,2025-03-03,14,2025-02-14,2025-02-03
WEC,GB001,G3,2025-03-18,,,2025-03-14,2025-03-03
WEC,GB001,G3,2024-11-19,2024-12-02,14,2024-11-15,2024-11-04
WEC,GB002,G2,2024-08-17,2024-09-02,17,2024-08-15,2024-08-02
WEC,BG001,BG,2024-08-29,2024-09-18,20,2024-08-28,2024-08-19
WEC,BG001,BG,2024-10-01,2024-10-17,16,2024-10-28,2024-10-17
WEC,BG001,BG,2024-10-29,2024-11-19,21,2024-10-28,2024-10-17
WEC,ES006,E6,2024-07-29,2024-08-16,18,2024-07-29,2024-07-16
WEC,ES006,E6,2024-12-27,,,2024-12-27,2024-12-12
WEC,GB002,G2,2024-07-17,2024-08-02,17,2024-07-15,2024-07-02
WEC,GB002,G2,2024-10-17,2024-11-04,19,2024-10-15,2024-10-02
WEC,ES002,ES,2024-11-29,2024-12-12,13,2024-11-29,2024-11-18
WEC,GB002,G2,2024-12-15,2025-01-02,19,2024-12-13,2024-12-02
WEC,ES001,ES,2024-11-29,2024-12-12,13,2024-11-29,2024-11-18
WEC,ES001,ES,2024-07-29,2024-08-16,18,2024-07-29,2024-07-16
WEC,ES002,ES,2024-07-29,2024-08-16,18,2024-07-29,2024-07-16
WEC,CA002,CB,2024-08-09,2024-08-16,8,,
WEC,CA002,CB,2024-09-06,2024-09-13,8,,
WEC,CA002,CB,2024-09-20,2024-09-27,8,,
WEC,CA002,CB,2024-10-04,2024-10-10,7,,
WEC,CA002,CB,2024-10-18,2024-10-25,8,,
WEC,CA002,CB,2024-11-29,2024-12-06,8,,
WEC,GB001,G3,2025-01-17,2025-02-03,18,2025-01-15,2025-01-02
WEC,GB002,G2,2024-11-19,2024-12-02,14,2024-11-15,2024-11-04
WEC,GB002,G2,2024-12-15,2025-01-02,19,2024-12-13,2024-12-02
WEC,DE001,DE,2024-07-29,2024-08-13,15,2024-07-26,2024-07-15
WEC,DE001,DE,2024-09-27,2024-10-15,18,2024-09-26,2024-09-13
WEC,DE001,DE,2024-10-29,2024-11-13,15,2024-10-28,2024-10-15
WEC,DE001,DE,2024-11-27,2024-12-11,14,2024-11-26,2024-11-13
WEC,DE001,DE,2024-12-30,,,2024-12-27,2024-12-11
WEC,ES005,E5,2024-08-29,2024-09-16,18,2024-08-29,2024-08-16
WEC,ES005,E5,2024-11-29,2024-12-12,13,2024-11-29,2024-11-18
WEC,CN001,CN,2024-07-31,2024-08-20,20,2024-07-30,2024-07-19
WEC,CN001,CN,2024-10-30,2024-11-19,20,2024-10-29,2024-10-18
WEC,GB003,GB,2024-10-17,2024-11-04,19,2024-10-15,2024-10-02
WEC,GB003,GB,2024-11-19,2024-12-02,14,2024-11-15,2024-11-04
WEC,GB003,GB,2024-12-15,2025-01-02,19,2024-12-13,2024-12-02
WEC,GB003,GB,2025-01-17,2025-02-03,18,2025-01-15,2025-01-02
WEC,GB003,GB,2025-02-18,2025-03-03,14,2025-02-14,2025-02-03
WEC,FR001,FR,2024-07-30,2024-08-14,15,2024-07-29,2024-07-15
WEC,FR002,FR,2024-07-30,2024-08-14,15,2024-07-29,2024-07-15
WEC,FR001,FR,2024-08-29,2024-09-13,15,2024-08-28,2024-08-13
WEC,FR002,FR,2024-08-29,2024-09-13,15,2024-08-28,2024-08-13
WEC,FR002,FR,2024-09-27,2024-10-16,19,2024-09-26,2024-09-12
WEC,FR001,FR,2024-09-27,2024-10-16,19,2024-09-26,2024-09-12
WEC,BE001,B1,2024-08-28,2024-09-13,16,2024-08-27,2024-08-13
WEC,BE001,B1,2024-09-26,2024-10-15,19,2024-09-25,2024-09-13
WEC,BE001,B1,2024-11-27,2024-12-10,13,2024-11-26,2024-11-14
WEC,KR001,KR,2024-08-26,2024-09-01,7,2024-08-23,2024-08-05
WEC,KR001,KR,2024-09-24,2024-10-03,10,2024-09-23,2024-09-01
WEC,KR001,KR,2024-11-25,2024-12-04,10,2024-11-22,2024-11-05
WEC,KR001,KR,2024-12-24,,,2024-12-23,2024-12-04
WEC,GB002,G2,2025-01-17,2025-02-03,18,2025-01-15,2025-01-02
WEC,GB002,G2,2025-02-18,2025-03-03,14,2025-02-14,2025-02-03
WEC,GB002,G2,2025-03-18,,,2025-03-14,2025-03-03
WEC,ES001,ES,2024-09-27,2024-10-15,18,2024-09-27,2024-09-16
WEC,ES002,ES,2024-09-27,2024-10-15,18,2024-09-27,2024-09-16
WEC,ES006,E6,2024-08-29,2024-09-16,18,2024-08-29,2024-08-16
WEC,ES006,E6,2024-09-27,2024-10-15,18,2024-09-27,2024-09-16
WEC,ES006,E6,2024-10-28,2024-11-18,21,2024-10-28,2024-10-15
WEC,ES006,E6,2024-11-29,2024-12-12,13,2024-11-29,2024-11-18
WEC,GB002,G2,2024-09-17,2024-10-02,16,2024-09-13,2024-09-02
WEC,GB003,GB,2025-03-18,,,2025-03-14,2025-03-03
WEC,ES005,E5,2024-07-29,2024-08-16,18,2024-07-29,2024-07-16
WEC,ES005,E5,2024-09-27,2024-10-15,18,2024-09-27,2024-09-16
WEC,ES005,E5,2024-10-28,2024-11-18,21,2024-10-28,2024-10-15
WEC,ES005,E5,2024-12-27,,,2024-12-27,2024-12-12
WEC,FR001,FR,2024-10-30,2024-11-14,15,2024-10-29,2024-10-15
WEC,FR002,FR,2024-10-30,2024-11-14,15,2024-10-29,2024-10-15
