GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
ZCS,GB001,G3,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,GB002,G3,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,GB003,G3,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,GB004,G3,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,ES001,E6,2024-12-31,,,2024-12-27,2024-12-17
ZCS,FR001,F0,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZCS,FR001,F0,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZCS,GB004,G3,2024-12-31,,,2024-12-27,2024-12-17
ZCS,GB001,G3,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZCS,GB002,G3,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZCS,GB003,G3,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZCS,GB004,G3,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZCS,GB001,G3,2024-12-31,,,2024-12-27,2024-12-17
ZCS,GB002,G3,2024-12-31,,,2024-12-27,2024-12-17
ZCS,GB003,G3,2024-12-31,,,2024-12-27,2024-12-17
ZCS,IT001,I0,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZCS,IT001,I0,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZCS,IT001,I0,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,DE001,D0,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZCS,DE001,D0,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,IT001,I0,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZCS,IT001,I0,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,IT001,I0,2024-12-31,,,2024-12-27,2024-12-17
ZCS,NL001,N9,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZCS,BR001,BA,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZCS,FR001,F0,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,FR001,F0,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZCS,FR001,F0,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,NL001,N9,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZCS,DK001,D6,2024-07-31,2024-08-20,21,2024-07-31,2024-07-18
ZCS,DK001,D6,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZCS,DK001,D6,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,DK001,D6,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZCS,DK001,D6,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,DK001,D6,2024-12-31,,,2024-12-27,2024-12-17
ZCS,SG001,YS,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,SG001,YS,2024-12-31,,,2024-12-27,2024-12-17
ZCS,BE001,B6,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZCS,BE001,B6,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,BE001,B6,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,BE001,B6,2024-12-31,,,2024-12-27,2024-12-17
ZCS,DE001,D0,2024-08-02,2024-08-22,21,2024-08-30,2024-08-21
ZCS,DE001,D0,2024-08-30,2024-09-17,19,,
ZCS,DE001,D0,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,DE001,D0,2024-12-31,,,2024-12-27,2024-12-17
ZCS,ES001,E6,2024-07-31,2024-08-20,21,2024-07-31,2024-07-18
ZCS,ES001,E6,2024-09-02,2024-09-17,16,2024-09-27,2024-09-16
ZCS,ES001,E6,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,ES001,E6,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZCS,GB001,G3,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZCS,GB002,G3,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZCS,GB003,G3,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZCS,GB004,G3,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZCS,GB001,G3,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZCS,GB002,G3,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZCS,GB003,G3,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZCS,GB004,G3,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZCS,GB001,G3,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,GB002,G3,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,ES001,E6,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,BR001,BA,2024-12-31,,,2024-12-27,2024-12-17
ZCS,GB003,G3,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,GB004,G3,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,SG001,YS,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,NL001,N9,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZCS,US001,X3,2024-08-07,2024-08-28,22,2024-08-11,2024-07-30
ZCS,US001,X3,2024-09-10,2024-09-30,21,2024-09-07,2024-08-27
ZCS,US001,X3,2024-10-12,2024-10-30,19,2024-10-10,2024-09-29
ZCS,US001,X3,2024-11-12,2024-11-27,16,2024-11-09,2024-10-30
ZCS,US001,X3,2024-12-10,,,2024-12-08,2024-11-27
ZCS,BR001,BA,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZCS,BR001,BA,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZCS,BR001,BA,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,FR001,F0,2024-12-31,,,2024-12-27,2024-12-17
ZCS,NL001,N9,2024-12-31,,,2024-12-27,2024-12-17
ZCS,BR001,BA,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,BE001,B6,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZCS,BE001,B6,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZCS,NL001,N9,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,NL001,N9,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,CN001,CN,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZCS,CN001,CN,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZCS,CN001,CN,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZCS,CN001,CN,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZCS,CN001,CN,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZCS,CN001,CN,2024-12-31,,,2024-12-27,2024-12-17
ZCS,SG001,YS,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZCS,SG001,YS,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZCS,SG001,YS,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
