GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
ZD1,US003,U0,2025-02-19,2025-02-25,6,2025-12-12,2025-12-12
ZD1,US003,U0,2025-03-19,2025-03-28,9,2025-12-12,2025-12-12
ZD1,US003,U0,2025-04-04,2025-04-12,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-06-19,2025-06-27,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-07-19,2025-07-28,9,2025-12-12,2025-12-12
ZD1,BE001,B0,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZD1,BE001,B0,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZD1,BE001,B0,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZD1,BE001,B0,2024-12-31,,,2024-12-27,2024-12-17
ZD1,ID002,06,2024-10-01,2024-10-21,21,,
ZD1,ID002,06,2024-12-03,2024-12-17,15,,
ZD1,US003,U0,2024-09-04,2024-09-12,8,2024-09-12,2024-09-12
ZD1,US003,U0,2024-11-04,2024-11-12,8,2024-11-12,2024-11-12
ZD1,US003,U0,2025-01-04,2025-01-12,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-03-04,2025-03-12,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-05-04,2025-05-12,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-07-04,2025-07-12,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-08-04,2025-08-12,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-09-04,2025-09-12,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-09-19,2025-09-27,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-10-04,2025-10-12,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-11-04,2025-11-12,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-11-19,2025-11-27,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-12-04,2025-12-12,8,2025-12-12,2025-12-12
ZD1,US003,U0,2026-01-04,,,,
ZD1,US003,U0,2024-07-19,2024-07-28,9,2024-07-28,2024-07-28
ZD1,US003,U0,2024-08-04,2024-08-12,8,2024-08-12,2024-08-12
ZD1,US003,U0,2024-08-19,2024-08-28,9,2024-08-28,2024-08-28
ZD1,US003,U0,2024-09-19,2024-09-27,8,2024-09-27,2024-09-27
ZD1,US003,U0,2024-10-04,2024-10-12,8,2024-10-12,2024-10-12
ZD1,US003,U0,2024-10-19,2024-10-28,9,2024-10-28,2024-10-28
ZD1,US003,U0,2024-11-19,2024-11-27,8,2024-11-27,2024-11-27
ZD1,US003,U0,2024-12-04,2024-12-12,8,2024-12-12,2024-12-12
ZD1,US003,U0,2024-12-19,2024-12-28,9,2024-12-28,2024-12-28
ZD1,US003,U0,2025-01-19,2025-01-28,9,2025-12-12,2025-12-12
ZD1,US003,U0,2025-02-04,2025-02-12,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-04-19,2025-04-27,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-05-19,2025-05-28,9,2025-12-12,2025-12-12
ZD1,US003,U0,2025-06-04,2025-06-12,8,2025-12-12,2025-12-12
ZD1,US003,U0,2025-08-19,2025-08-28,9,2025-12-12,2025-12-12
ZD1,US003,U0,2025-10-19,2025-10-28,9,2025-12-12,2025-12-12
ZD1,US003,U0,2025-12-19,2025-12-28,9,2025-12-28,2025-12-28
ZD1,KR001,K0,2024-09-02,2024-09-16,15,,
ZD1,KR001,K0,2024-09-30,2024-10-20,21,,
ZD1,KR001,K0,2024-11-01,2024-11-18,18,,
ZD1,KR001,K0,2024-12-02,2024-12-16,15,,
ZD1,NZ001,NM,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZD1,US001,ZX,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZD1,GB002,35,2025-01-31,2025-02-24,24,2025-01-28,2025-01-27
ZD1,GB002,35,2025-02-28,2025-03-27,27,2025-02-25,2025-02-24
ZD1,GB002,35,2025-03-31,2025-04-26,26,2025-03-28,2025-03-27
ZD1,GB002,35,2025-04-30,2025-05-27,27,2025-04-27,2025-04-26
ZD1,GB002,35,2025-06-30,2025-07-27,27,2025-06-27,2025-06-26
ZD1,GB002,35,2025-10-31,2025-11-26,26,2025-10-28,2025-10-27
ZD1,GB002,35,2025-11-30,2025-12-27,27,2025-11-27,2025-11-26
ZD1,GB002,35,2024-07-31,2024-08-27,27,2024-07-28,2024-07-27
ZD1,GB002,35,2024-08-31,2024-09-26,26,2024-08-28,2024-08-27
ZD1,GB002,35,2024-12-31,2025-01-27,27,,
ZD1,US001,ZX,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZD1,IN001,Y4,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZD1,IN002,Y4,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZD1,NZ001,NM,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZD1,NZ001,NM,2024-12-31,,,2024-12-27,2024-12-17
ZD1,BE001,B0,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZD1,BE001,B0,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZD1,US001,ZX,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZD1,US001,ZX,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZD1,US001,ZX,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZD1,US001,ZX,2024-12-31,,,2024-12-27,2024-12-17
ZD1,ES001,E1,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZD1,ES001,E1,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZD1,ES001,E1,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZD1,KR001,K0,2024-12-30,,,,
ZD1,NZ001,NM,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZD1,GB001,G0,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZD1,GB001,G0,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZD1,GB001,G0,2024-12-31,,,2024-12-27,2024-12-17
ZD1,SE001,S0,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZD1,SE001,S0,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZD1,SE001,S0,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZD1,SE001,S0,2024-12-31,,,2024-12-27,2024-12-17
ZD1,IT001,20,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZD1,IT001,20,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZD1,IT001,20,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZD1,IN002,Y4,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZD1,TH001,TA,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZD1,TH001,TA,2024-12-31,,,2024-12-27,2024-12-17
ZD1,IN001,Y4,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZD1,SG007,S7,2024-12-31,,,2024-12-27,2024-12-17
ZD1,ID002,06,2024-08-02,2024-08-20,19,,
ZD1,ES001,E1,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZD1,ES001,E1,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZD1,ES001,E1,2024-12-31,,,2024-12-27,2024-12-17
ZD1,QA001,39,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZD1,NL001,N4,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZD1,NL001,N4,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZD1,NL001,N4,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZD1,SG007,S7,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZD1,SG007,S7,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZD1,SG007,S7,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZD1,SG007,S7,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZD1,SG007,S7,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZD1,GB002,35,2025-05-31,2025-06-26,26,2025-05-28,2025-05-27
ZD1,GB002,35,2025-07-31,2025-08-27,27,2025-07-28,2025-07-27
ZD1,GB002,35,2025-08-31,2025-09-26,26,2025-08-28,2025-08-27
ZD1,GB002,35,2025-09-30,2025-10-27,27,2025-09-27,2025-09-26
ZD1,GB002,35,2025-12-31,,,,
ZD1,GB002,35,2024-09-30,2024-10-27,27,2024-09-27,2024-09-26
ZD1,GB002,35,2024-10-31,2024-11-26,26,2024-10-28,2024-10-27
ZD1,GB002,35,2024-11-30,2024-12-27,27,2024-11-27,2024-11-26
ZD1,SG001,YS,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZD1,KR001,K0,2024-08-01,2024-08-19,19,,
ZD1,PL001,PL,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZD1,SG007,S7,2024-12-31,,,2024-12-27,2024-12-17
ZD1,SG001,YS,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZD1,AU003,QM,2024-08-01,2024-08-20,20,2024-08-30,2024-08-19
ZD1,AU003,QM,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZD1,AU003,QM,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZD1,AU003,QM,2024-12-31,,,2024-12-27,2024-12-17
ZD1,ID002,06,2024-12-31,,,,
ZD1,TH001,TA,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZD1,TH001,TA,2024-11-02,2024-11-19,18,2024-11-29,2024-11-19
ZD1,PH003,25,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZD1,BR001,BA,2024-12-03,2024-12-17,15,2024-12-27,2024-12-17
ZD1,BR001,BA,2024-12-31,,,2024-12-27,2024-12-17
ZD1,NL001,N4,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
ZD1,NL001,N4,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZD1,NL001,N4,2024-12-31,,,2024-12-27,2024-12-17
ZD1,SA003,19,2024-10-01,2024-10-21,21,2024-10-31,2024-10-20
ZD1,CH001,C2,2024-08-02,2024-08-20,19,2024-08-30,2024-08-19
ZD1,CH001,C2,2024-09-03,2024-09-17,15,2024-09-27,2024-09-16
