GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
ZXO,GB001,G3,2024-09-10,2024-09-30,21,2024-09-07,2024-08-27
ZXO,GB002,G3,2024-09-10,2024-09-30,21,2024-09-07,2024-08-27
ZXO,GB003,G3,2024-09-10,2024-09-30,21,2024-09-07,2024-08-27
ZXO,GB001,G3,2024-12-10,,,2024-12-08,2024-11-27
ZXO,GB002,G3,2024-12-10,,,2024-12-08,2024-11-27
ZXO,GB003,G3,2024-12-10,,,2024-12-08,2024-11-27
ZXO,GB002,G3,2024-10-12,2024-10-30,19,2024-10-10,2024-09-29
ZXO,GB003,G3,2024-10-12,2024-10-30,19,2024-10-10,2024-09-29
ZXO,GB001,G3,2024-11-12,2024-11-27,16,2024-11-09,2024-10-30
ZXO,GB002,G3,2024-11-12,2024-11-27,16,2024-11-09,2024-10-30
ZXO,GB003,G3,2024-11-12,2024-11-27,16,2024-11-09,2024-10-30
ZXO,GB001,G3,2024-08-13,2024-08-28,16,2024-08-11,2024-07-30
ZXO,GB002,G3,2024-08-13,2024-08-28,16,2024-08-11,2024-07-30
ZXO,GB003,G3,2024-08-13,2024-08-28,16,2024-08-11,2024-07-30
ZXO,GB001,G3,2024-10-12,2024-10-30,19,2024-10-10,2024-09-29
